| date | open | last | high | low | volume | amount | exchange |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 2021-07-30 | 132.528 | 133.931 | 135.775 | 132.184 | 0 | 0 | 0.00 |
| 2021-07-23 | 131.081 | 132.925 | 135.581 | 128.575 | 0 | 0 | 0.00 |
| 2021-07-16 | 136.199 | 134.046 | 140.443 | 133.26 | 0 | 0 | 0.00 |
| 2021-07-09 | 137.461 | 137.452 | 137.787 | 132.396 | 0 | 0 | 0.00 |
| 2021-07-02 | 134.852 | 137.681 | 137.937 | 133.466 | 0 | 0 | 0.00 |
| 2021-06-25 | 130.799 | 135.159 | 135.554 | 130.43 | 0 | 0 | 0.00 |
| 2021-06-18 | 140.511 | 129.781 | 140.669 | 129.465 | 0 | 0 | 0.00 |
| 2021-06-11 | 146.521 | 140.634 | 146.609 | 139.555 | 0 | 0 | 0.00 |
| 2021-06-04 | 145.53 | 146.03 | 146.907 | 144.468 | 0 | 0 | 0.00 |
| 2021-05-28 | 143.328 | 144.1 | 145.381 | 141.529 | 0 | 0 | 0.00 |
| 2021-05-21 | 143.336 | 142.713 | 145.205 | 139.186 | 0 | 0 | 0.00 |
| 2021-05-14 | 141.696 | 143.898 | 144.284 | 137.774 | 0 | 0 | 0.00 |
| 2021-05-07 | 135.861 | 141.468 | 141.696 | 133.483 | 0 | 0 | 0.00 |
| 2021-04-30 | 132.29 | 134.949 | 136.238 | 131.702 | 0 | 0 | 0.00 |
| 2021-04-23 | 134.606 | 131.773 | 135.01 | 128.702 | 0 | 0 | 0.00 |
| 2021-04-16 | 136.502 | 134.501 | 137.967 | 131.009 | 0 | 0 | 0.00 |
| 2021-04-09 | 135.466 | 137.116 | 137.783 | 133.238 | 0 | 0 | 0.00 |
| 2021-04-01 | 132.679 | 134.065 | 135.949 | 131.737 | 0 | 0 | 0.00 |
| 2021-03-26 | 133.272 | 135.269 | 135.583 | 129.922 | 0 | 0 | 0.00 |
| 2021-03-19 | 136.368 | 135.313 | 141.025 | 131.867 | 0 | 0 | 0.00 |
| 2021-03-12 | 132.984 | 136.193 | 137.484 | 130.672 | 0 | 0 | 0.00 |
| 2021-03-05 | 130.411 | 131.623 | 135.173 | 129.059 | 0 | 0 | 0.00 |
| 2021-02-26 | 128.099 | 128.361 | 135.103 | 127.785 | 0 | 0 | 0.00 |
| 2021-02-19 | 125.204 | 129.103 | 129.818 | 124.201 | 0 | 0 | 0.00 |
| 2021-02-12 | 120.538 | 123.198 | 123.512 | 120.52 | 0 | 0 | 0.00 |
| 2021-02-05 | 112.862 | 120.346 | 121.663 | 112.06 | 0 | 0 | 0.00 |
| 2021-01-29 | 115.252 | 112.226 | 116.15 | 111.074 | 0 | 0 | 0.00 |
| 2021-01-22 | 121.985 | 116.691 | 122.718 | 115.304 | 0 | 0 | 0.00 |
| 2021-01-15 | 117.38 | 120.921 | 124.506 | 116.97 | 0 | 0 | 0.00 |
| 2021-01-08 | 110.404 | 118.636 | 120.529 | 107.952 | 0 | 0 | 0.00 |
| 2020-12-31 | 108.95 | 110.032 | 110.257 | 108.058 | 0 | 0 | 0.00 |
| 2020-12-24 | 106.655 | 107.824 | 109.556 | 104.854 | 0 | 0 | 0.00 |
| 2020-12-18 | 105.07 | 103.113 | 105.166 | 102.273 | 0 | 0 | 0.00 |
| 2020-12-11 | 104.906 | 103.529 | 106.767 | 102.499 | 0 | 0 | 0.00 |
| 2020-12-04 | 103.91 | 105.936 | 106.759 | 101.979 | 0 | 0 | 0.00 |
| 2020-11-27 | 100.49 | 104.966 | 106.941 | 100.074 | 0 | 0 | 0.00 |
| 2020-11-20 | 101.996 | 99.208 | 102.706 | 98.333 | 0 | 0 | 0.00 |
| 2020-11-13 | 97.987 | 98.784 | 102.957 | 95.554 | 0 | 0 | 0.00 |
| 2020-11-06 | 86.063 | 89.155 | 91.008 | 84.739 | 0 | 0 | 0.00 |
| 2020-10-30 | 88.886 | 84.894 | 88.93 | 82.47 | 0 | 0 | 0.00 |
| 2020-10-23 | 87.977 | 89.891 | 90.445 | 85.994 | 0 | 0 | 0.00 |
| 2020-10-16 | 87.544 | 87.899 | 89.38 | 85.76 | 0 | 0 | 0.00 |
| 2020-10-09 | 85.137 | 87.631 | 88.419 | 84.436 | 0 | 0 | 0.00 |
| 2020-10-02 | 81.557 | 83.985 | 84.585 | 80.93 | 0 | 0 | 0.00 |
| 2020-09-25 | 81.677 | 80.193 | 82.406 | 78.4 | 0 | 0 | 0.00 |
| 2020-09-18 | 87.091 | 84.379 | 88.764 | 83.599 | 0 | 0 | 0.00 |
