| date | open | last | high | low | volume | amount | exchange |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 2026-07-29 | 357.89 | 344.71 | 359.3 | 343.78 | 22636559 | 7994400234 | 0.86 |
| 2026-07-24 | 341.8 | 353.21 | 353.37 | 337.3 | 40212677 | 13941043892 | 1.51 |
| 2026-07-17 | 338.34 | 341.1 | 351.24 | 325.75 | 54091396 | 18510629625 | 2.03 |
| 2026-07-10 | 335 | 336.47 | 341.4 | 330.13 | 56164208 | 18818693058 | 2.10 |
| 2026-07-02 | 326.803 | 332.965 | 338.47 | 323.548 | 39687458 | 13166172708 | 1.48 |
| 2026-06-26 | 328.216 | 327.569 | 341.905 | 325.28 | 53362430 | 17735999562 | 2.00 |
| 2026-06-18 | 322.462 | 323.757 | 336.569 | 317.405 | 51441252 | 16927040065 | 1.92 |
| 2026-06-12 | 311.84 | 319.277 | 319.854 | 307.49 | 42410576 | 13295420464 | 1.58 |
| 2026-06-05 | 296.35 | 310.964 | 313.583 | 293.941 | 42694086 | 12999366366 | 1.60 |
| 2026-05-29 | 307.102 | 297.963 | 308.535 | 293.872 | 43257148 | 12969924333 | 1.61 |
| 2026-05-22 | 296.659 | 305.001 | 306.067 | 292.349 | 38793181 | 11685454249 | 1.44 |
| 2026-05-15 | 300.741 | 296.47 | 304.683 | 294.22 | 42783292 | 12862687641 | 1.58 |
| 2026-05-08 | 309.222 | 300.741 | 314.877 | 299.148 | 40108428 | 12376193402 | 1.49 |
| 2026-05-01 | 305.499 | 311.064 | 314.658 | 305.19 | 38356464 | 11954936787 | 1.44 |
| 2026-04-24 | 309.451 | 306.893 | 318.799 | 306.505 | 35587153 | 11158287374 | 1.32 |
| 2026-04-17 | 306.086 | 308.894 | 313.483 | 302.891 | 48950561 | 15179034398 | 1.83 |
| 2026-04-10 | 292.737 | 308.476 | 309.859 | 291.383 | 38238163 | 11616591067 | 1.42 |
| 2026-04-02 | 282.013 | 291.779 | 295.859 | 279.626 | 42627649 | 12419582735 | 1.59 |
| 2026-03-27 | 291.491 | 280.131 | 294.79 | 279.052 | 53293821 | 15517998651 | 1.98 |
| 2026-03-20 | 283.598 | 283.816 | 288.966 | 281.884 | 59450428 | 17070024657 | 2.20 |
| 2026-03-13 | 282.766 | 280.726 | 289.946 | 276.427 | 53642610 | 15318078836 | 1.99 |
| 2026-03-06 | 291.987 | 286.708 | 299.494 | 280.993 | 53071813 | 15629237530 | 1.97 |
| 2026-02-27 | 305.843 | 297.424 | 308.022 | 288.59 | 60233665 | 18038533954 | 2.23 |
| 2026-02-20 | 299.861 | 307.814 | 309.289 | 299.603 | 30636749 | 9445675644 | 1.14 |
| 2026-02-13 | 318.263 | 299.653 | 323.274 | 293.68 | 52641105 | 16442355085 | 1.96 |
| 2026-02-06 | 301.544 | 319.312 | 321.145 | 298.484 | 59561567 | 18767318374 | 2.21 |
| 2026-01-30 | 294.958 | 302.961 | 304.981 | 294.601 | 56370024 | 17042442567 | 2.09 |
| 2026-01-23 | 303.277 | 294.869 | 308.17 | 293.67 | 44814511 | 13570978275 | 1.66 |
| 2026-01-16 | 318.797 | 309.478 | 323.73 | 303.188 | 87531652 | 27391241960 | 3.23 |
| 2026-01-09 | 320.932 | 326.037 | 332.653 | 320.626 | 46703865 | 15461629809 | 1.71 |
| 2026-01-02 | 322.411 | 320.912 | 323.17 | 316.239 | 29642172 | 9599694515 | 1.10 |
| 2025-12-26 | 313.054 | 323.308 | 326.217 | 313.054 | 23470492 | 7638611777 | 0.86 |
| 2025-12-19 | 315.105 | 312.758 | 318.349 | 307.838 | 63853432 | 20213398571 | 2.35 |
| 2025-12-12 | 310.638 | 314.05 | 315.775 | 294.271 | 63045276 | 19548837120 | 2.31 |
| 2025-12-05 | 308.558 | 310.619 | 314.02 | 302.494 | 39658369 | 12384631748 | 1.45 |
| 2025-11-28 | 294.055 | 308.686 | 309.317 | 290.377 | 32050673 | 9723328374 | 1.18 |
| 2025-11-21 | 299.734 | 293.838 | 305.571 | 288.701 | 41236308 | 12380300026 | 1.52 |
| 2025-11-14 | 310.579 | 299.349 | 317.728 | 297.003 | 40703228 | 12760027242 | 1.49 |
| 2025-11-07 | 306.635 | 309.8 | 310.422 | 300.818 | 36228860 | 11267496948 | 1.33 |
| 2025-10-31 | 297.92 | 306.754 | 308.479 | 296.786 | 34734392 | 10673741150 | 1.28 |
| 2025-10-24 | 294.311 | 296.224 | 299.783 | 286.463 | 34988869 | 10427196423 | 1.29 |
| 2025-10-17 | 301.311 | 293.384 | 307.74 | 290.071 | 59025114 | 17895850927 | 2.16 |
| 2025-10-10 | 305.827 | 296.667 | 307.375 | 296.588 | 37816318 | 11583469136 | 1.38 |
| 2025-10-03 | 311.11 | 304.212 | 312.042 | 300.395 | 41150795 | 12841849727 | 1.51 |
| 2025-09-26 | 303.986 | 310.129 | 311.846 | 303.751 | 37756457 | 11846938101 | 1.37 |
| 2025-09-19 | 301.405 | 308.873 | 309.873 | 301.366 | 57924596 | 18063274469 | 2.10 |
