,band3 wc0.0,band3 wc0.5,band3 wc1.0,band4 wc0.0,band4 wc0.5,band4 wc1.0,band5 wc0.0,band5 wc0.5,band5 wc1.0,band6 wc0.0,band6 wc0.5,band6 wc1.0,最优 逐周无前视,SPY_buyhold
2016-08-01,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2016-08-08,10042.127938769223,10042.127938769223,10042.127938769223,10042.127938769223,10042.127938769223,10042.127938769223,10042.127938769223,10042.127938769223,10042.127938769223,10042.127938769223,10042.127938769223,10042.127938769223,10042.127938769223,10012.81499030799
2016-08-15,10025.343426617355,10025.343426617355,10025.343426617355,10025.343426617355,10025.343426617355,10025.343426617355,10025.343426617355,10025.343426617355,10025.343426617355,10025.343426617355,10025.343426617355,10025.343426617355,10025.343426617355,10016.530260607366
2016-08-22,9927.810835558417,9927.810835558417,9927.810835558417,9927.810835558417,9927.810835558417,9927.810835558417,9927.810835558417,9927.810835558417,9927.810835558417,9927.810835558417,9927.810835558417,9927.810835558417,9927.810835558417,9959.239715701055
2016-08-29,9931.906212633441,9931.906212633441,9931.906212633441,9931.906212633441,9931.906212633441,9931.906212633441,9931.906212633441,9931.906212633441,9931.906212633441,9931.906212633441,9931.906212633441,9931.906212633441,9931.906212633441,10008.722808528968
2016-09-06,9838.299408054256,9838.299408054256,9838.299408054256,9838.299408054256,9838.299408054256,9838.299408054256,9838.299408054256,9838.299408054256,9838.299408054256,9838.299408054256,9838.299408054256,9838.299408054256,9838.299408054256,9775.414602627612
2016-09-12,9854.129059447538,9854.129059447538,9854.129059447538,9854.129059447538,9854.129059447538,9854.129059447538,9854.129059447538,9854.129059447538,9854.129059447538,9854.129059447538,9854.129059447538,9854.129059447538,9854.129059447538,9829.151410725824
2016-09-19,9934.41575430449,9934.41575430449,9934.41575430449,9934.41575430449,9934.41575430449,9934.41575430449,9934.41575430449,9934.41575430449,9934.41575430449,9934.41575430449,9934.41575430449,9934.41575430449,9934.41575430449,9949.816928709886
2016-09-26,9858.621250052815,9858.621250052815,9858.621250052815,9858.621250052815,9858.621250052815,9858.621250052815,9858.621250052815,9858.621250052815,9858.621250052815,9858.621250052815,9858.621250052815,9858.621250052815,9858.621250052815,9964.139564936464
2016-10-03,9813.08146426449,9813.08146426449,9813.08146426449,9813.08146426449,9813.08146426449,9813.08146426449,9813.08146426449,9813.08146426449,9813.08146426449,9813.08146426449,9813.08146426449,9813.08146426449,9813.08146426449,9906.09519707086
2016-10-10,9753.54561707128,9753.54561707128,9753.54561707128,9753.54561707128,9753.54561707128,9753.54561707128,9753.54561707128,9753.54561707128,9753.54561707128,9753.54561707128,9753.54561707128,9753.54561707128,9753.54561707128,9817.628688348052
2016-10-17,9790.667362990102,9790.667362990102,9790.667362990102,9790.667362990102,9790.667362990102,9790.667362990102,9790.667362990102,9790.667362990102,9790.667362990102,9790.667362990102,9790.667362990102,9790.667362990102,9790.667362990102,9857.258238208055
2016-10-24,9702.237459473243,9702.237459473243,9702.237459473243,9702.237459473243,9702.237459473243,9702.237459473243,9702.237459473243,9702.237459473243,9702.237459473243,9702.237459473243,9702.237459473243,9702.237459473243,9702.237459473243,9790.921817790222
2016-10-31,9622.517962169313,9622.517962169313,9622.517962169313,9622.517962169313,9622.517962169313,9622.517962169313,9622.517962169313,9622.517962169313,9622.517962169313,9622.517962169313,9622.517962169313,9622.517962169313,9622.517962169313,9607.096704716778
2016-11-07,9807.729689357942,9807.729689357942,9807.729689357942,9807.729689357942,9807.729689357942,9807.729689357942,9807.729689357942,9807.729689357942,9807.729689357942,9807.729689357942,9807.729689357942,9807.729689357942,9807.729689357942,9969.631703639889
2016-11-14,9733.644863842836,9733.644863842836,9733.644863842836,9733.644863842836,9733.644863842836,9733.644863842836,9733.644863842836,9733.644863842836,9733.644863842836,9733.644863842836,9733.644863842836,9733.644863842836,9733.644863842836,10065.474908464355
2016-11-21,9771.117554514465,9771.117554514465,9771.117554514465,9771.117554514465,9771.117554514465,9771.117554514465,9771.117554514465,9771.117554514465,9771.117554514465,9771.117554514465,9771.117554514465,9771.117554514465,9771.117554514465,10204.555244454017
2016-11-28,9698.600592162635,9698.600592162635,9698.600592162635,9698.600592162635,9698.600592162635,9698.600592162635,9698.600592162635,9698.600592162635,9698.600592162635,9698.600592162635,9698.600592162635,9698.600592162635,9698.600592162635,10119.804006030583
2016-12-05,9843.395202792068,9843.395202792068,9843.395202792068,9843.395202792068,9843.395202792068,9843.395202792068,9843.395202792068,9843.395202792068,9843.395202792068,9843.395202792068,9843.395202792068,9843.395202792068,9843.395202792068,10434.471247038551
2016-12-12,9858.385393487184,9858.385393487184,9858.385393487184,9858.385393487184,9858.385393487184,9858.385393487184,9858.385393487184,9858.385393487184,9858.385393487184,9858.385393487184,9858.385393487184,9858.385393487184,9858.385393487184,10427.956062890373
