,close
2018-12-14,14.98
2018-12-21,15.6
2018-12-28,15.6
2019-01-04,15.64
2019-01-11,13.14
2019-01-18,14.3
2019-01-25,15.56
2019-02-01,15.5
2019-02-08,15.38
2019-02-15,14.7
2019-02-22,15.08
2019-03-01,15.54
2019-03-08,15.7
2019-03-15,16.0
2019-03-22,15.52
2019-03-29,15.12
2019-04-04,15.14
2019-04-12,14.9
2019-04-18,14.98
2019-04-26,15.0
2019-05-03,16.3
2019-05-10,15.5
2019-05-17,15.12
2019-05-24,13.4
2019-05-31,13.56
2019-06-06,11.9
2019-06-14,11.06
2019-06-21,11.28
2019-06-28,11.1
2019-07-05,12.54
2019-07-12,12.46
2019-07-19,11.5
2019-07-26,11.7
2019-08-02,10.94
2019-08-09,8.57
2019-08-16,7.99
2019-08-23,8.71
2019-08-30,8.71
2019-09-06,8.65
2019-09-13,10.72
2019-09-20,10.56
2019-09-27,10.4
2019-10-04,10.27
2019-10-11,10.19
2019-10-18,10.15
2019-10-25,10.23
2019-11-01,10.87
2019-11-08,10.57
2019-11-15,10.07
2019-11-22,9.97
2019-11-29,10.33
2019-12-06,10.21
2019-12-13,10.27
2019-12-20,10.57
2019-12-27,10.59
2020-01-03,11.17
2020-01-10,11.49
2020-01-17,11.41
2020-01-24,10.89
2020-01-31,10.29
2020-02-07,9.67
2020-02-14,9.67
2020-02-21,9.44
2020-02-28,8.87
2020-03-06,8.32
2020-03-13,7.52
2020-03-20,6.37
2020-03-27,6.72
2020-04-03,6.35
2020-04-09,6.77
2020-04-17,6.87
2020-04-24,6.74
2020-04-29,7.08
2020-05-08,7.07
2020-05-15,6.96
2020-05-22,6.77
2020-05-29,6.45
2020-06-05,8.04
2020-06-12,6.76
2020-06-19,7.32
2020-06-26,7.03
2020-07-03,7.09
2020-07-10,7.51
2020-07-17,7.74
2020-07-24,7.09
2020-07-31,7.11
2020-08-07,7.5
2020-08-14,8.94
2020-08-21,8.49
2020-08-28,8.35
2020-09-04,7.8
2020-09-11,7.73
2020-09-18,8.29
2020-09-25,7.57
2020-09-30,7.68
2020-10-09,8.02
2020-10-16,7.47
2020-10-23,7.54
2020-10-30,6.56
2020-11-06,6.56
2020-11-13,7.16
2020-11-20,7.84
2020-11-27,8.46
2020-12-04,8.1
2020-12-11,7.88
2020-12-18,8.25
2020-12-24,8.06
2020-12-31,8.34
2021-01-08,8.53
2021-01-15,8.88
2021-01-22,8.08
2021-01-29,8.04
2021-02-05,8.8
2021-02-11,11.85
2021-02-19,11.11
2021-02-26,12.13
2021-03-05,11.67
2021-03-12,11.47
2021-03-19,12.75
2021-03-26,11.27
2021-04-01,11.41
2021-04-09,12.79
2021-04-16,11.71
2021-04-23,12.31
2021-04-30,12.39
2021-05-07,12.97
2021-05-14,12.45
2021-05-21,13.41
2021-05-28,15.55
2021-06-04,14.95
2021-06-11,14.79
2021-06-18,13.27
2021-06-25,12.63
2021-07-02,11.97
2021-07-09,11.65
2021-07-16,12.83
2021-07-23,10.43
2021-07-30,9.14
2021-08-06,10.04
2021-08-13,9.59
2021-08-20,9.07
2021-08-27,10.93
2021-09-03,12.43
2021-09-10,11.39
2021-09-17,10.09
2021-09-24,10.11
2021-09-30,10.19
2021-10-08,10.87
2021-10-15,11.43
2021-10-22,11.19
2021-10-29,9.8
2021-11-05,9.78
2021-11-12,11.25
2021-11-19,11.09
2021-11-26,9.54
2021-12-03,10.02
2021-12-10,9.75
2021-12-17,9.11
2021-12-24,9.88
2021-12-31,10.57
2022-01-07,10.35
2022-01-14,10.41
2022-01-21,11.27
2022-01-28,10.29
2022-02-04,10.83
2022-02-11,13.79
2022-02-18,13.89
2022-02-25,13.09
2022-03-04,12.41
2022-03-11,11.11
2022-03-18,11.09
2022-03-25,11.37
2022-04-01,11.23
2022-04-08,10.39
2022-04-14,11.09
2022-04-22,11.09
2022-04-29,10.81
2022-05-06,10.25
2022-05-13,10.21
2022-05-20,10.71
2022-05-27,10.09
2022-06-02,11.07
2022-06-10,11.47
2022-06-17,10.23
2022-06-24,10.23
2022-06-30,13.39
2022-07-08,11.29
2022-07-15,10.77
2022-07-22,11.47
2022-07-29,11.29
2022-08-05,10.99
2022-08-12,10.87
2022-08-19,10.61
2022-08-26,11.23
2022-09-02,10.71
2022-09-09,7.59
2022-09-16,7.21
2022-09-23,7.3
2022-09-30,7.39
2022-10-07,7.88
2022-10-14,7.31
2022-10-21,6.92
2022-10-28,7.06
2022-11-04,8.18
2022-11-11,8.6
2022-11-18,8.69
2022-11-25,7.64
2022-12-02,9.19
2022-12-09,11.51
2022-12-16,10.77
2022-12-23,10.93
2022-12-30,11.67
2023-01-06,12.23
2023-01-13,11.55
2023-01-20,12.01
2023-01-27,12.35
2023-02-03,11.67
2023-02-10,11.01
2023-02-17,10.71
2023-02-24,10.19
2023-03-03,10.27
2023-03-10,9.77
2023-03-17,9.85
2023-03-24,9.81
2023-03-31,10.15
2023-04-06,10.23
2023-04-14,9.79
2023-04-21,9.26
2023-04-28,9.19
2023-05-05,9.05
2023-05-12,8.46
2023-05-19,8.03
2023-05-25,7.67
2023-06-02,7.6
2023-06-09,7.87
2023-06-16,7.95
2023-06-23,7.18
2023-06-30,7.48
2023-07-07,7.42
2023-07-14,7.79
2023-07-21,7.72
2023-07-28,8.51
2023-08-04,8.96
2023-08-11,9.0
2023-08-18,8.34
2023-08-25,7.89
2023-09-01,8.14
2023-09-08,8.13
2023-09-15,7.95
2023-09-22,7.59
2023-09-29,7.52
2023-10-06,7.44
2023-10-13,7.34
2023-10-20,6.99
2023-10-27,7.09
2023-11-03,6.73
2023-11-10,6.13
2023-11-17,6.13
2023-11-24,6.13
2023-12-01,5.99
2023-12-08,5.9
2023-12-15,5.72
2023-12-22,5.78
2023-12-29,5.88
2024-01-05,5.73
2024-01-12,5.61
2024-01-19,5.53
2024-01-26,5.2
2024-02-02,4.13
2024-02-09,4.47
2024-02-16,4.4
2024-02-23,4.81
2024-03-01,4.51
2024-03-08,4.17
2024-03-15,4.3
2024-03-22,3.57
2024-03-28,3.65
2024-04-05,3.75
2024-04-12,3.61
2024-04-19,3.25
2024-04-26,3.89
2024-05-03,4.12
2024-05-10,4.17
2024-05-17,4.39
2024-05-24,4.22
2024-05-31,3.88
2024-06-07,4.01
2024-06-14,3.73
2024-06-21,3.56
2024-06-28,3.71
2024-07-05,4.1
2024-07-12,4.02
2024-07-19,3.87
2024-07-26,3.7
2024-08-02,3.69
2024-08-09,3.7
2024-08-16,3.67
2024-08-23,3.59
2024-08-30,3.62
2024-09-05,3.46
2024-09-13,3.34
2024-09-20,3.49
2024-09-27,4.21
2024-10-04,4.87
2024-10-10,4.15
2024-10-18,3.78
2024-10-25,3.77
2024-11-01,3.8
2024-11-08,4.0
2024-11-15,3.64
2024-11-22,3.48
2024-11-26,4.09
2024-12-13,7.38
2024-12-20,7.49
2024-12-27,7.5
2025-01-03,7.49
2025-01-10,7.46
2025-01-17,7.47
2025-01-24,7.46
2025-01-28,7.48
2025-02-07,7.53
2025-02-14,7.69
2025-02-21,7.69
2025-02-28,7.72
2025-03-05,7.84
