,close
2007-07-13,7.13
2007-07-20,7.78
2007-07-27,8.03
2007-08-03,8.2
2007-08-10,7.6
2007-08-17,6.52
2007-08-24,7.67
2007-08-31,7.93
2007-09-07,8.07
2007-09-14,8.77
2007-09-21,8.45
2007-09-28,8.46
2007-10-05,8.32
2007-10-12,8.12
2007-10-18,8.32
2007-10-26,8.47
2007-11-02,9.53
2007-11-09,9.8
2007-11-16,9.65
2007-11-23,8.31
2007-11-30,8.65
2007-12-07,9.47
2007-12-14,9.79
2007-12-21,10.08
2007-12-28,10.44
2008-01-04,11.2
2008-01-11,10.8
2008-01-18,10.0
2008-01-25,9.79
2008-02-01,9.11
2008-02-06,9.13
2008-02-15,9.25
2008-02-22,8.88
2008-02-29,8.57
2008-03-07,8.26
2008-03-14,7.97
2008-03-20,6.45
2008-03-28,8.03
2008-04-03,8.27
2008-04-11,8.58
2008-04-18,8.14
2008-04-25,8.55
2008-05-02,9.35
2008-05-09,9.13
2008-05-16,8.97
2008-05-23,8.58
2008-05-30,8.33
2008-06-06,7.69
2008-06-13,7.18
2008-06-20,6.79
2008-06-27,6.26
2008-07-04,5.53
2008-07-11,6.18
2008-07-18,5.65
2008-07-25,6.18
2008-08-01,6.22
2008-08-08,5.83
2008-08-15,5.02
2008-08-21,4.83
2008-08-29,5.64
2008-09-05,5.68
2008-09-12,5.16
2008-09-19,5.14
2008-09-26,4.68
2008-10-03,5.02
2008-10-10,4.33
2008-10-17,3.31
2008-10-24,2.93
2008-10-31,2.93
2008-11-07,3.13
2008-11-14,3.1
2008-11-21,2.94
2008-11-28,3.36
2008-12-05,3.58
2008-12-12,4.0
2008-12-19,3.99
2008-12-24,3.8
2009-01-02,3.89
2009-01-09,4.14
2009-01-16,3.78
2009-01-23,3.78
2009-01-30,3.77
2009-02-06,3.78
2009-02-13,3.78
2009-02-20,3.95
2009-02-27,3.78
2009-03-06,4.37
2009-03-13,4.8
2009-03-20,5.01
2009-03-27,5.24
2009-04-03,5.77
2009-04-09,5.67
2009-04-17,6.36
2009-04-24,6.86
2009-04-30,6.94
2009-05-08,8.34
2009-05-15,8.5
2009-05-22,7.92
2009-05-29,8.86
2009-06-05,8.88
2009-06-12,9.08
2009-06-19,8.66
2009-06-26,10.38
2009-07-03,10.32
2009-07-10,10.36
2009-07-17,10.74
2009-07-24,11.4
2009-07-31,11.98
2009-08-07,11.2
2009-08-14,11.84
2009-08-21,11.28
2009-08-28,10.45
2009-09-04,11.06
2009-09-11,11.18
2009-09-18,10.58
2009-09-25,10.45
2009-10-02,10.54
2009-10-09,10.98
2009-10-16,10.28
2009-10-23,11.2
2009-10-30,9.95
2009-11-06,9.93
2009-11-13,11.46
2009-11-20,11.16
2009-11-27,11.38
2009-12-04,12.56
2009-12-11,11.96
2009-12-18,11.4
2009-12-24,11.74
2009-12-31,12.0
2010-01-08,11.76
2010-01-15,12.12
2010-01-22,11.42
2010-01-29,10.74
2010-02-05,10.4
2010-02-12,10.58
2010-02-19,10.7
2010-02-26,11.64
2010-03-05,12.06
2010-03-12,12.28
2010-03-19,13.84
2010-03-26,14.02
2010-04-01,13.27
