,close
1994-02-18,2.3
1994-02-25,2.12
1994-03-04,2.1
1994-03-11,2.08
1994-03-18,2.05
1994-03-25,1.99
1994-03-31,2.0
1994-04-08,2.0
1994-04-15,1.98
1994-04-21,1.94
1994-04-29,1.9
1994-05-06,1.69
1994-05-13,1.68
1994-05-20,1.5
1994-05-27,1.5
1994-06-03,1.52
1994-06-10,1.5
1994-06-17,1.5
1994-06-24,1.33
1994-07-01,1.28
1994-07-07,1.26
1994-07-15,1.16
1994-07-22,1.22
1994-07-29,1.47
1994-08-05,1.5
1994-08-12,1.51
1994-08-19,1.52
1994-08-26,1.36
1994-09-02,1.46
1994-09-09,1.74
1994-09-16,1.7
1994-09-23,1.61
1994-09-30,1.57
1994-10-07,1.58
1994-10-14,1.5
1994-10-21,1.49
1994-10-28,1.5
1994-11-04,1.4
1994-11-11,1.39
1994-11-18,1.4
1994-11-25,1.23
1994-12-02,1.16
1994-12-09,1.0
1994-12-16,1.05
1994-12-23,1.08
1994-12-30,1.01
1995-01-06,0.97
1995-01-13,0.79
1995-01-20,0.79
1995-01-27,0.78
1995-02-03,0.78
1995-02-10,0.8
1995-02-17,0.68
1995-02-24,0.65
1995-03-03,0.68
1995-03-10,0.76
1995-03-17,0.98
1995-03-24,1.1
1995-03-31,1.04
1995-04-07,1.08
1995-04-13,1.09
1995-04-21,1.08
1995-04-28,0.95
1995-05-05,1.07
1995-05-12,1.06
1995-05-19,1.1
1995-05-26,1.1
1995-06-01,1.09
1995-06-09,1.03
1995-06-16,1.05
1995-06-23,1.06
1995-06-30,1.14
1995-07-07,1.25
1995-07-14,1.26
1995-07-21,1.21
1995-07-28,1.22
1995-08-04,1.2
1995-08-11,1.18
1995-08-18,1.18
1995-08-25,1.18
1995-09-01,1.16
1995-09-08,1.1
1995-09-15,1.08
1995-09-22,1.07
1995-09-29,0.95
1995-10-06,1.08
1995-10-13,1.02
1995-10-20,1.0
1995-10-27,0.97
1995-11-03,0.98
1995-11-10,0.97
1995-11-17,0.9
1995-11-24,0.86
1995-12-01,0.9
1995-12-08,0.87
1995-12-15,0.81
1995-12-22,0.8
1995-12-29,0.74
1996-01-05,0.62
1996-01-12,0.66
1996-01-19,0.8
1996-01-26,0.77
1996-02-02,0.82
1996-02-09,0.83
1996-02-16,0.86
1996-02-23,0.82
1996-03-01,0.92
1996-03-08,0.83
1996-03-15,0.51
1996-03-22,0.54
1996-03-29,0.5
1996-04-03,0.51
1996-04-12,0.5
1996-04-19,0.48
1996-04-26,0.47
1996-05-03,0.465
1996-05-10,0.42
1996-05-17,0.44
1996-05-24,0.425
1996-05-31,0.435
1996-06-07,0.43
1996-06-14,0.41
1996-06-21,0.42
1996-06-28,0.405
1996-07-05,0.38
1996-07-12,0.4
1996-07-19,0.41
1996-07-26,0.4
1996-08-02,0.405
1996-08-09,0.405
1996-08-16,0.32
1996-08-23,0.325
1996-08-30,0.32
1996-09-06,0.31
1996-09-13,0.345
1996-09-20,0.34
1996-09-27,0.37
1996-10-04,0.455
1996-10-11,0.41
1996-10-18,0.39
1996-10-25,0.43
1996-11-01,0.41
1996-11-08,0.415
1996-11-15,0.425
1996-11-22,0.47
1996-11-29,0.455
1996-12-06,0.455
1996-12-13,0.56
1996-12-20,0.51
1996-12-27,0.55
1997-01-03,0.64
1997-01-10,0.8
1997-01-17,0.91
1997-01-24,0.99
1997-01-31,1.06
1997-02-05,1.08
1997-02-14,1.33
1997-02-21,1.32
1997-02-28,1.3
1997-03-07,1.47
1997-03-14,1.45
1997-03-21,1.36
1997-03-27,1.38
1997-04-04,1.37
1997-04-11,1.37
1997-04-18,1.47
1997-04-25,2.2
1997-05-02,2.025
1997-05-09,2.5
1997-05-16,2.05
1997-05-23,2.2
1997-05-30,2.375
1997-06-06,2.525
1997-06-13,2.375
1997-06-20,2.4
1997-06-27,2.35
1997-07-04,2.3
1997-07-11,2.85
1997-07-18,2.65
1997-07-25,2.55
1997-08-01,2.7
1997-08-08,2.95
1997-08-15,3.075
1997-08-22,3.15
1997-08-29,3.075
1997-09-05,2.875
1997-09-12,3.55
1997-09-19,3.65
1997-09-26,3.375
1997-10-03,3.8
1997-10-09,3.15
1997-10-17,3.05
1997-10-24,2.45
1997-10-31,2.625
1997-11-07,2.7
1997-11-14,2.375
1997-11-21,2.2
1997-11-28,2.125
1997-12-05,2.2
1997-12-12,2.125
1997-12-19,2.275
1997-12-24,2.075
1998-01-02,2.15
1998-01-09,1.5
1998-01-16,1.4
1998-01-23,1.44
1998-01-27,1.7
1998-02-06,2.275
1998-02-13,2.2
1998-02-20,2.225
1998-02-27,2.525
1998-03-06,2.5
1998-03-13,2.7
1998-03-20,3.125
1998-03-27,3.2
1998-04-03,3.35
1998-04-09,3.425
1998-04-17,3.65
1998-04-24,3.375
1998-05-01,3.325
1998-05-08,3.35
1998-05-15,3.375
1998-05-22,3.3
1998-05-29,2.725
1998-06-05,2.525
1998-06-12,2.125
1998-06-19,2.55
1998-06-26,2.475
1998-07-03,2.4
1998-07-10,2.0
1998-07-17,1.85
1998-07-24,1.84
1998-07-31,1.74
1998-08-07,1.72
1998-08-14,1.65
1998-08-21,1.46
1998-08-28,1.4
1998-09-04,1.69
1998-09-11,1.83
1998-09-18,1.96
1998-09-25,2.375
1998-09-30,2.3
1998-10-09,2.175
1998-10-16,2.4
1998-10-23,2.475
1998-10-30,2.6
1998-11-06,2.7
1998-11-13,2.65
1998-11-20,2.625
1998-11-27,2.5
1998-12-04,2.325
1998-12-11,2.5
1998-12-18,2.8
1998-12-24,2.725
1998-12-31,2.725
1999-01-08,2.825
1999-01-15,2.55
1999-01-22,2.55
1999-01-29,3.05
1999-02-05,2.875
1999-02-12,2.875
1999-02-19,2.9
1999-02-26,3.025
1999-03-05,3.2
1999-03-12,3.05
1999-03-19,3.35
1999-03-26,3.6
1999-04-01,3.425
