,close
1994-06-24,0.9
1994-07-01,0.8
1994-07-08,0.78
1994-07-15,0.87
1994-07-22,0.8
1994-07-29,0.81
1994-08-05,0.87
1994-08-12,0.93
1994-08-19,0.9
1994-08-26,0.94
1994-09-02,1.07
1994-09-09,1.29
1994-09-16,1.24
1994-09-23,1.16
1994-09-30,1.14
1994-10-07,1.1
1994-10-14,1.08
1994-10-21,1.03
1994-10-28,0.99
1994-11-04,1.06
1994-11-11,1.02
1994-11-18,1.03
1994-11-25,0.88
1994-12-02,0.8
1994-12-09,0.8
1994-12-16,0.86
1994-12-23,0.88
1994-12-30,0.9
1995-01-06,0.85
1995-01-13,0.77
1995-01-20,0.8
1995-01-27,0.77
1995-02-03,0.78
1995-02-10,0.88
1995-02-17,0.87
1995-02-24,0.92
1995-03-03,0.87
1995-03-10,0.88
1995-03-17,0.81
1995-03-24,0.82
1995-03-31,0.87
1995-04-07,0.85
1995-04-13,0.82
1995-04-21,0.81
1995-04-28,0.8
1995-05-05,0.75
1995-05-12,0.76
1995-05-19,0.76
1995-05-26,0.8
1995-06-01,0.83
1995-06-09,0.82
1995-06-16,0.81
1995-06-23,0.8
1995-06-30,0.81
1995-07-07,0.81
1995-07-14,0.88
1995-07-21,0.82
1995-07-28,0.96
1995-08-04,0.99
1995-08-11,0.98
1995-08-18,1.16
1995-08-25,1.19
1995-09-01,1.17
1995-09-08,1.32
1995-09-15,1.34
1995-09-22,1.29
1995-09-29,1.25
1995-10-06,1.35
1995-10-13,1.3
1995-10-20,1.23
1995-10-27,1.23
1995-11-03,1.19
1995-11-10,1.12
1995-11-17,1.03
1995-11-24,1.11
1995-12-01,1.17
1995-12-08,1.09
1995-12-15,1.05
1995-12-22,1.0
1995-12-29,0.96
1996-01-05,1.12
1996-01-12,1.13
1996-01-19,1.13
1996-01-26,1.11
1996-02-02,1.09
1996-02-09,1.2
1996-02-16,1.2
1996-02-23,1.19
1996-03-01,1.15
1996-03-08,1.15
1996-03-15,1.13
1996-03-22,1.19
1996-03-29,1.15
1996-04-03,1.04
1996-04-12,1.0
1996-04-19,0.95
1996-04-26,0.98
1996-05-03,1.01
1996-05-10,0.95
1996-05-17,0.86
1996-05-24,0.83
1996-05-31,0.82
1996-06-07,0.85
1996-06-14,0.8
1996-06-21,0.83
1996-06-28,0.77
1996-07-05,0.74
1996-07-12,0.75
1996-07-19,0.91
1996-07-26,0.79
1996-08-02,0.8
1996-08-09,0.84
1996-08-16,0.85
1996-08-23,0.82
1996-08-30,0.79
1996-09-06,0.84
1996-09-13,0.84
1996-09-20,0.83
1996-09-27,0.86
1996-10-04,0.89
1996-10-11,0.87
1996-10-18,1.03
1996-10-25,1.12
1996-11-01,1.1
1996-11-08,1.09
1996-11-15,1.03
1996-11-22,1.12
1996-11-29,1.14
1996-12-06,1.1
1996-12-13,1.2
1996-12-20,1.1
1996-12-27,1.11
1997-01-03,1.19
1997-01-10,1.13
1997-01-17,1.11
1997-01-24,1.16
1997-01-31,1.2
1997-02-05,1.2
1997-02-14,1.13
1997-02-21,1.11
1997-02-28,1.24
1997-03-07,1.44
1997-03-14,1.45
1997-03-21,1.35
1997-03-27,1.34
1997-04-04,1.31
1997-04-11,1.38
1997-04-18,1.37
1997-04-25,1.5
1997-05-02,1.67
1997-05-09,1.73
1997-05-16,1.6
1997-05-23,1.69
1997-05-30,1.6
1997-06-06,1.58
1997-06-13,1.29
1997-06-20,1.39
1997-06-27,1.28
1997-07-04,1.25
1997-07-11,1.31
1997-07-18,1.38
1997-07-25,1.4
1997-08-01,1.52
1997-08-08,1.91
1997-08-15,2.575
1997-08-22,2.575
1997-08-29,2.45
1997-09-05,1.78
1997-09-12,2.275
1997-09-19,2.05
1997-09-26,1.82
1997-10-03,1.85
1997-10-09,1.53
1997-10-17,1.44
1997-10-24,1.12
1997-10-31,1.24
1997-11-07,1.18
1997-11-14,1.09
1997-11-21,1.05
1997-11-28,0.89
1997-12-05,0.95
1997-12-12,0.85
1997-12-19,0.8
1997-12-24,0.76
1998-01-02,0.8
1998-01-09,0.475
1998-01-16,0.43
1998-01-23,0.445
1998-01-27,0.45
1998-02-06,0.84
1998-02-13,0.88
1998-02-20,0.9
1998-02-27,1.05
1998-03-06,0.97
1998-03-13,0.99
1998-03-20,1.04
1998-03-27,1.05
1998-04-03,0.92
1998-04-09,1.02
1998-04-17,1.09
1998-04-24,1.07
1998-05-01,1.03
1998-05-08,0.95
