,close
2012-12-21,6.3
2012-12-28,6.31
2013-01-04,6.73
2013-01-11,6.98
2013-01-18,7.26
2013-01-25,6.78
2013-02-01,7.38
2013-02-08,7.2
2013-02-15,7.3
2013-02-22,6.79
2013-03-01,6.98
2013-03-08,6.86
2013-03-15,6.3
2013-03-22,6.12
2013-03-28,5.78
2013-04-05,5.58
2013-04-12,6.02
2013-04-19,5.95
2013-04-26,5.85
2013-05-03,5.75
2013-05-10,6.1
2013-05-16,6.0
2013-05-24,5.66
2013-05-31,5.5
2013-06-07,4.68
2013-06-14,4.82
2013-06-21,4.816
2013-06-28,4.416
2013-07-05,4.206
2013-07-12,4.486
2013-07-19,4.306
2013-07-26,4.936
2013-08-02,4.906
2013-08-09,4.666
2013-08-16,4.716
2013-08-23,4.596
2013-08-30,4.616
2013-09-06,4.496
2013-09-13,4.906
2013-09-19,4.906
2013-09-27,4.936
2013-10-04,5.156
2013-10-11,5.036
2013-10-18,5.116
2013-10-25,5.116
2013-11-01,5.576
2013-11-08,5.686
2013-11-15,5.806
2013-11-22,6.126
2013-11-29,6.156
2013-12-06,5.976
2013-12-13,5.996
2013-12-20,6.256
2013-12-27,6.336
2014-01-03,6.456
2014-01-10,6.306
2014-01-17,6.246
2014-01-24,6.136
2014-01-30,6.046
2014-02-07,5.726
2014-02-14,5.906
2014-02-21,5.826
2014-02-28,5.876
2014-03-07,5.746
2014-03-14,5.336
2014-03-21,5.476
2014-03-28,5.656
2014-04-04,5.816
2014-04-11,5.836
2014-04-17,5.886
2014-04-25,5.596
2014-05-02,5.546
2014-05-09,5.356
2014-05-16,5.266
2014-05-23,5.266
2014-05-30,5.196
2014-06-06,5.196
2014-06-13,5.296
2014-06-20,4.756
2014-06-27,4.816
2014-07-04,4.885
2014-07-11,4.545
2014-07-18,4.835
2014-07-25,5.045
2014-08-01,5.145
2014-08-08,5.075
2014-08-15,5.155
2014-08-22,5.105
2014-08-29,4.935
2014-09-05,4.835
2014-09-12,4.985
2014-09-19,5.035
2014-09-26,4.845
2014-10-03,4.835
2014-10-10,4.735
2014-10-17,4.605
2014-10-24,4.505
2014-10-31,4.845
2014-11-07,5.775
2014-11-14,5.905
2014-11-21,5.875
2014-11-28,6.155
2014-12-05,5.875
2014-12-12,6.625
2014-12-19,6.595
2014-12-24,6.175
2015-01-02,7.205
2015-01-09,7.135
2015-01-16,7.365
2015-01-23,7.245
2015-01-30,7.045
2015-02-06,6.655
2015-02-13,6.875
2015-02-18,6.955
2015-02-27,7.185
2015-03-06,7.215
2015-03-13,7.245
2015-03-20,7.635
2015-03-27,7.385
2015-04-02,8.475
2015-04-10,10.545
2015-04-17,10.945
2015-04-24,11.705
2015-04-30,10.765
2015-05-08,10.015
2015-05-15,10.025
2015-05-22,10.725
2015-05-29,10.785
2015-06-05,10.645
2015-06-12,10.215
2015-06-19,9.435
2015-06-26,8.635
2015-07-03,8.203
2015-07-10,7.413
2015-07-17,7.363
2015-07-24,7.253
2015-07-31,6.593
2015-08-07,7.233
2015-08-14,7.583
2015-08-21,6.663
2015-08-28,6.753
2015-09-04,6.353
2015-09-11,7.383
2015-09-18,7.883
2015-09-25,7.403
2015-10-02,7.913
2015-10-09,7.613
2015-10-16,7.793
2015-10-23,7.663
2015-10-30,7.463
2015-11-06,7.763
2015-11-13,7.473
2015-11-20,7.413
2015-11-27,6.853
2015-12-04,6.723
2015-12-11,6.153
2015-12-18,6.403
2015-12-24,6.413
2015-12-31,6.393
2016-01-08,6.223
2016-01-15,5.953
2016-01-22,5.623
2016-01-29,6.013
2016-02-05,6.023
2016-02-12,5.973
2016-02-19,6.583
2016-02-26,6.423
2016-03-04,6.643
2016-03-11,6.343
2016-03-18,6.483
2016-03-24,6.353
2016-04-01,6.003
2016-04-08,5.833
2016-04-15,6.413
2016-04-22,6.193
2016-04-29,5.993
2016-05-06,5.783
2016-05-13,5.633
2016-05-20,5.593
2016-05-27,5.603
2016-06-03,5.853
2016-06-10,5.853
2016-06-17,5.443
2016-06-24,5.493
