,close
2025-05-09,27.38
2025-05-16,30.08
2025-05-23,34.98
2025-05-30,32.63
2025-06-06,34.08
2025-06-13,35.28
2025-06-20,37.93
2025-06-27,36.23
2025-07-04,34.53
2025-07-11,32.23
2025-07-18,33.88
2025-07-25,32.28
2025-08-01,28.78
2025-08-08,29.38
2025-08-15,40.54
2025-08-22,44.58
2025-08-29,38.48
2025-09-05,36.38
2025-09-12,48.34
2025-09-19,43.48
2025-09-26,47.96
2025-10-03,45.24
2025-10-10,37.46
2025-10-17,37.52
2025-10-24,37.38
2025-10-31,35.66
2025-11-07,36.16
2025-11-14,31.28
2025-11-21,27.1
2025-11-28,27.46
2025-12-05,26.76
2025-12-12,26.64
2025-12-19,26.94
2025-12-24,26.86
2026-01-02,29.78
2026-01-09,29.72
2026-01-16,25.24
2026-01-23,22.08
2026-01-30,21.94
2026-02-06,22.02
2026-02-13,22.84
2026-02-20,22.64
2026-02-27,21.77
2026-03-06,24.38
2026-03-13,21.07
2026-03-20,21.28
2026-03-27,21.02
2026-04-02,21.8
2026-04-10,22.94
2026-04-17,23.22
2026-04-24,22.86
2026-04-30,25.44
2026-05-08,19.15
2026-05-15,18.38
2026-05-22,17.42
2026-05-29,18.66
2026-06-05,18.46
2026-06-12,18.08
2026-06-18,19.17
2026-06-26,18.38
2026-07-03,17.59
2026-07-10,17.87
2026-07-17,15.06
2026-07-24,12.75
2026-07-31,14.07
2026-08-07,12.62
2026-08-14,12.81
2026-08-21,12.68
2026-08-28,13.16
2026-09-04,14.46
2026-09-09,13.81
