,close
2020-12-24,13.88
2020-12-31,14.16
2021-01-08,15.8
2021-01-15,19.18
2021-01-22,21.0
2021-01-29,20.05
2021-02-05,24.3
2021-02-11,21.5
2021-02-19,24.1
2021-02-26,20.0
2021-03-05,16.7
2021-03-12,16.4
2021-03-19,16.3
2021-03-26,15.7
2021-04-01,16.6
2021-04-09,16.06
2021-04-16,17.4
2021-04-23,18.02
2021-04-30,19.0
2021-05-07,20.2
2021-05-14,18.7
2021-05-21,23.1
2021-05-28,21.65
2021-06-04,20.85
2021-06-11,22.0
2021-06-18,19.22
2021-06-25,21.45
2021-07-02,21.25
2021-07-09,22.55
2021-07-16,21.4
2021-07-23,20.85
2021-07-30,18.58
2021-08-06,19.18
2021-08-13,18.3
2021-08-20,16.1
2021-08-27,18.12
2021-09-03,20.4
2021-09-10,19.92
2021-09-17,22.1
2021-09-24,20.7
2021-09-30,18.76
2021-10-08,18.5
2021-10-15,18.6
2021-10-22,18.36
2021-10-29,17.7
2021-11-05,17.22
2021-11-12,16.86
2021-11-19,16.38
2021-11-26,16.12
2021-12-03,14.18
2021-12-10,14.4
2021-12-17,13.5
2021-12-24,13.44
2021-12-31,14.5
2022-01-07,12.14
2022-01-14,12.3
2022-01-21,12.22
2022-01-28,9.16
2022-02-04,9.58
2022-02-11,9.41
2022-02-18,9.67
2022-02-25,8.72
2022-03-04,7.16
2022-03-11,7.53
2022-03-18,7.2
2022-03-25,7.38
2022-04-01,7.73
2022-04-08,7.98
2022-04-14,7.88
2022-04-22,7.35
2022-04-29,8.05
2022-05-06,7.36
2022-05-13,7.7
2022-05-20,8.32
2022-05-27,7.52
2022-06-02,6.92
2022-06-10,7.5
2022-06-17,6.8
2022-06-24,6.82
2022-06-30,6.1
2022-07-08,5.76
2022-07-15,4.93
2022-07-22,4.92
2022-07-29,4.32
2022-08-05,4.65
2022-08-12,4.66
2022-08-19,4.4
2022-08-26,5.25
2022-09-02,5.5
2022-09-09,4.84
2022-09-16,4.49
2022-09-23,4.09
2022-09-30,4.21
2022-10-07,4.74
2022-10-14,4.22
2022-10-21,4.15
2022-10-28,3.5
2022-11-04,4.33
2022-11-11,4.71
2022-11-18,4.68
2022-11-25,4.29
2022-12-02,4.57
2022-12-09,6.11
2022-12-16,5.53
2022-12-23,5.34
2022-12-30,5.23
2023-01-06,5.66
2023-01-13,6.42
2023-01-20,5.82
2023-01-27,5.67
2023-02-03,7.5
2023-02-10,7.88
2023-02-17,8.24
2023-02-24,8.0
2023-03-03,9.99
2023-03-10,8.6
2023-03-17,9.75
2023-03-24,7.57
2023-03-31,7.26
2023-04-06,7.45
2023-04-14,8.26
2023-04-21,7.26
2023-04-28,6.88
2023-05-05,7.19
2023-05-12,7.48
2023-05-19,6.88
2023-05-25,6.39
2023-06-02,6.01
2023-06-09,5.77
2023-06-16,6.15
2023-06-23,5.02
2023-06-30,5.88
2023-07-07,4.16
