,close
1992-10-09,0.79
1992-10-16,0.72
1992-10-23,0.73
1992-10-30,0.73
1992-11-06,0.78
1992-11-13,0.82
1992-11-20,0.77
1992-11-27,0.8
1992-12-04,0.7
1992-12-10,0.67
1992-12-18,0.68
1992-12-22,0.67
1992-12-31,0.7
1993-01-08,0.7
1993-01-15,0.76
1993-01-19,0.73
1993-01-29,0.7
1993-02-03,0.7
1993-02-12,0.7
1993-02-19,0.71
1993-02-26,0.73
1993-03-05,0.87
1993-03-12,0.83
1993-03-18,0.75
1993-03-26,0.77
1993-04-02,0.74
1993-04-08,0.73
1993-04-16,0.76
1993-04-23,0.76
1993-04-30,1.03
1993-05-07,0.96
1993-05-14,0.92
1993-05-21,0.91
1993-05-28,0.99
1993-06-04,0.92
1993-06-11,0.94
1993-06-18,0.99
1993-06-25,1.15
1993-07-02,1.08
1993-07-09,1.01
1993-07-16,0.99
1993-07-23,0.95
1993-07-30,0.97
1993-08-06,0.99
1993-08-12,0.99
1993-08-19,0.92
1993-08-27,0.9
1993-09-03,0.84
1993-09-10,0.94
1993-09-16,0.94
1993-09-21,0.9
1993-09-30,0.87
1993-10-08,0.85
1993-10-15,0.85
1993-10-22,0.83
1993-10-29,0.88
1993-11-05,0.82
1993-11-12,0.86
1993-11-19,0.9
1993-11-26,0.9
1993-12-03,0.85
1993-12-10,0.85
1993-12-17,0.87
1993-12-24,0.86
1993-12-31,0.84
1994-01-07,0.83
1994-01-14,0.8
1994-01-21,0.83
1994-01-28,0.83
1994-02-02,0.82
1994-02-18,0.8
1994-02-25,0.79
1994-03-04,0.78
1994-03-08,0.7
1994-03-23,0.7
1994-03-31,0.63
1994-04-08,0.75
1994-04-15,0.75
1994-04-20,0.71
1994-04-29,0.65
1994-05-06,0.58
1994-05-12,0.6
1994-05-20,0.61
1994-05-27,0.63
1994-06-03,0.56
1994-06-10,0.59
1994-06-16,0.58
1994-07-01,0.53
1994-07-07,0.53
1994-07-12,0.52
1994-08-05,0.5
1994-08-12,0.5
1994-08-17,0.5
1994-08-26,0.495
1994-09-02,0.5
1994-09-09,0.49
1994-09-16,0.49
1994-09-23,0.49
1994-09-30,0.49
1994-10-07,0.49
1994-10-14,0.49
1994-10-21,0.49
1994-10-28,0.47
1994-11-04,0.44
1994-11-11,0.48
1994-11-18,0.48
1994-11-25,0.48
1994-12-02,0.47
1994-12-09,0.4
1994-12-16,0.4
1994-12-23,0.4
1994-12-30,0.4
1995-01-06,0.4
1995-01-13,0.3
1995-01-20,0.25
1995-01-27,0.3
1995-02-03,0.3
1995-02-10,0.285
1995-02-17,0.3
1995-02-24,0.3
1995-03-03,0.25
1995-03-10,0.25
1995-03-17,0.26
1995-03-24,0.26
1995-03-31,0.25
1995-04-07,0.25
1995-04-13,0.31
1995-04-21,0.3
1995-04-28,0.28
1995-05-05,0.27
1995-05-12,0.27
1995-05-19,0.27
1995-05-26,0.27
1995-06-01,0.25
1995-06-09,0.27
1995-06-16,0.24
1995-06-23,0.24
1995-06-30,0.24
1995-07-07,0.28
1995-07-14,0.285
1995-07-21,0.3
1995-07-28,0.285
1995-08-04,0.29
1995-08-11,0.28
1995-08-18,0.295
1995-08-25,0.275
1995-09-01,0.275
1995-09-08,0.27
1995-09-15,0.27
1995-09-22,0.3
1995-09-29,0.36
1995-10-06,0.365
1995-10-13,0.37
1995-10-20,0.35
1995-10-27,0.31
1995-11-03,0.37
1995-11-10,0.37
1995-11-17,0.35
1995-11-24,0.33
1995-12-01,0.34
1995-12-08,0.3
1995-12-15,0.28
1995-12-22,0.29
1995-12-29,0.25
1996-01-05,0.25
1996-01-12,0.28
1996-01-19,0.27
1996-01-26,0.26
1996-02-02,0.26
1996-02-09,0.29
1996-02-16,0.28
1996-02-23,0.28
1996-03-01,0.255
1996-03-08,0.255
1996-03-15,0.255
1996-03-22,0.255
1996-03-29,0.255
1996-04-03,0.255
1996-04-12,0.255
1996-04-19,0.25
1996-04-26,0.25
1996-05-03,0.25
1996-05-10,0.25
1996-05-17,0.25
1996-05-24,0.25
1996-05-31,0.25
1996-06-07,0.25
1996-06-14,0.234
1996-06-21,0.233
1996-06-28,0.233
1996-07-05,0.233
1996-07-12,0.206
1996-07-19,0.214
1996-07-26,0.21
1996-08-02,0.217
1996-08-09,0.209
1996-08-16,0.207
1996-08-23,0.196
1996-08-30,0.194
1996-09-06,0.225
1996-09-13,0.231
1996-09-20,0.23
1996-09-27,0.24
1996-10-04,0.27
1996-10-11,0.25
1996-10-18,0.25
1996-10-25,0.27
1996-11-01,0.27
1996-11-08,0.26
1996-11-15,0.255
1996-11-22,0.25
1996-11-29,0.26
1996-12-06,0.32
1996-12-13,0.32
1996-12-20,0.355
1996-12-27,0.345
1997-01-03,0.32
1997-01-10,0.32
1997-01-17,0.35
1997-01-24,0.375
1997-01-31,0.39
1997-02-05,0.4
1997-02-14,0.415
1997-02-21,0.41
1997-02-28,0.42
1997-03-07,0.5
1997-03-14,0.485
1997-03-21,0.475
1997-03-27,0.465
1997-04-04,0.45
1997-04-11,0.465
1997-04-18,0.45
1997-04-25,0.435
1997-05-02,0.45
1997-05-09,0.52
1997-05-16,0.81
1997-05-23,0.74
1997-05-30,0.62
1997-06-06,0.67
1997-06-13,0.63
1997-06-20,0.61
1997-06-27,0.57
1997-07-04,0.6
1997-07-11,0.65
1997-07-18,0.63
1997-07-25,0.83
1997-08-01,1.22
1997-08-08,1.22
1997-08-15,0.87
1997-08-22,0.77
1997-08-29,0.86
1997-09-05,0.7
1997-09-12,0.76
1997-09-19,0.88
1997-09-26,0.75
1997-10-03,0.72
1997-10-09,0.64
1997-10-17,0.6
1997-10-24,0.56
1997-10-31,0.51
1997-11-07,0.48
1997-11-14,0.36
1997-11-21,0.38
1997-11-28,0.36
1997-12-05,0.35
1997-12-12,0.37
1997-12-19,0.375
1997-12-24,0.365
1998-01-02,0.37
1998-01-09,0.29
1998-01-16,0.246
1998-01-23,0.22
1998-01-27,0.212
