date,海康威视,格力电器
2015-01-09,9.06260871887207,11.00312328338623
2015-01-16,9.471423149108887,11.50765609741211
2015-01-23,9.454246520996094,11.5425443649292
2015-01-30,9.158801078796387,10.842103958129883
2015-02-06,9.107269287109375,10.33220386505127
2015-02-13,10.134459495544434,10.514692306518555
2015-02-17,10.165376663208008,11.00044059753418
2015-02-27,10.161941528320312,10.876992225646973
2015-03-06,9.206897735595703,10.356356620788574
2015-03-13,9.705033302307129,10.713285446166992
2015-03-20,9.969555854797363,11.34931755065918
2015-03-27,9.811530113220215,11.566699028015137
2015-04-03,11.051712989807129,11.805547714233398
2015-04-10,11.010486602783203,12.03902816772461
2015-04-17,10.610633850097656,12.599920272827148
2015-04-24,11.34119987487793,13.01052188873291
2015-04-30,11.393383026123047,15.297022819519043
2015-05-08,11.922175407409668,14.269171714782715
2015-05-15,12.134387969970703,13.965916633605957
2015-05-22,16.267316818237305,15.758620262145996
2015-05-29,15.780268669128418,16.695228576660156
2015-06-05,15.947257041931152,17.167558670043945
2015-06-12,16.507366180419922,16.56104278564453
2015-06-19,13.501594543457031,14.223550796508789
2015-06-26,14.120837211608887,15.275553703308105
2015-07-03,13.32417106628418,14.132580757141113
2015-07-10,11.268141746520996,13.442359924316406
2015-07-17,11.268141746520996,14.076005935668945
2015-07-24,11.268141746520996,13.233027458190918
2015-07-31,11.268141746520996,12.6220121383667
2015-08-07,11.268141746520996,12.7351655960083
2015-08-14,11.268141746520996,12.752138137817383
2015-08-21,11.268141746520996,10.777647972106934
2015-08-28,11.268141746520996,11.032236099243164
2015-09-02,11.268141746520996,10.098742485046387
2015-09-11,11.42817211151123,9.793231964111328
2015-09-18,11.097676277160645,9.329312324523926
2015-09-25,10.875027656555176,9.103010177612305
2015-09-30,11.334242820739746,9.153929710388184
2015-10-09,11.79693603515625,9.538642883300781
2015-10-16,12.663180351257324,9.917698860168457
2015-10-23,11.880428314208984,10.296753883361816
2015-10-30,12.047415733337402,9.815863609313965
2015-11-06,12.506628036499023,10.964346885681152
2015-11-13,12.343123435974121,10.517399787902832
2015-11-20,12.54837703704834,10.517399787902832
2015-11-27,11.605595588684082,10.494771003723145
2015-12-04,11.925654411315918,11.78469467163086
2015-12-11,11.647344589233398,12.073226928710938
2015-12-18,11.984795570373535,11.824298858642578
2015-12-25,12.245712280273438,13.13119125366211
2015-12-31,11.963922500610352,12.644641876220703
2016-01-08,10.770661354064941,11.456555366516113
2016-01-15,9.841795921325684,10.63620662689209
