date,AMD,Salesforce
2006-01-06,33.779998779296875,9.793074607849121
2006-01-13,34.130001068115234,9.370387077331543
2006-01-20,35.70000076293945,9.812735557556152
2006-01-27,39.849998474121094,10.223133087158203
2006-02-03,39.540000915527344,9.394962310791016
2006-02-10,40.099998474121094,8.625768661499023
2006-02-17,40.33000183105469,8.439000129699707
2006-02-24,40.540000915527344,8.303839683532715
2006-03-03,39.5099983215332,9.348270416259766
2006-03-10,36.630001068115234,9.296663284301758
2006-03-17,33.95000076293945,9.621051788330078
2006-03-24,36.130001068115234,9.242598533630371
2006-03-31,33.15999984741211,8.928041458129883
2006-04-07,33.689998626708984,8.47832202911377
2006-04-13,31.799999237060547,8.2841796875
2006-04-21,31.729999542236328,8.13673210144043
2006-04-28,32.349998474121094,8.613482475280762
2006-05-05,34.43000030517578,8.384937286376953
2006-05-12,31.65999984741211,7.6673502922058105
2006-05-19,34.95000076293945,7.016117095947266
2006-05-26,31.6299991607666,7.470752716064453
2006-06-02,30.100000381469727,7.340505599975586
2006-06-09,26.75,6.39683198928833
2006-06-16,25.639999389648438,6.817061424255371
2006-06-23,25.139999389648438,6.83180570602417
2006-06-30,24.420000076293945,6.551652431488037
2006-07-07,23.559999465942383,6.121593475341797
2006-07-14,21.600000381469727,5.411380767822266
2006-07-21,18.260000228881836,5.381890296936035
2006-07-28,19.100000381469727,6.219892501831055
2006-08-04,20.469999313354492,6.426320552825928
2006-08-11,19.780000686645508,6.389459133148193
2006-08-18,23.93000030517578,8.072835922241211
2006-08-25,24.559999465942383,8.247319221496582
2006-09-01,24.65999984741211,8.453746795654297
2006-09-08,25.799999237060547,8.190794944763184
2006-09-15,26.530000686645508,8.601194381713867
2006-09-22,26.209999084472656,8.888720512390137
2006-09-29,24.850000381469727,8.817453384399414
2006-10-06,24.010000228881836,9.918408393859863
2006-10-13,25.229999542236328,10.070770263671875
2006-10-20,20.1200008392334,9.797989845275879
2006-10-27,20.860000610351562,9.85697078704834
2006-11-03,20.8799991607666,9.947896003723145
2006-11-10,21.06999969482422,10.370585441589355
2006-11-17,21.450000762939453,10.25262451171875
2006-11-24,21.799999237060547,10.115004539489746
2006-12-01,20.690000534057617,9.424453735351562
2006-12-08,20.93000030517578,9.468688011169434
2006-12-15,22.1200008392334,9.815191268920898
2006-12-22,20.770000457763672,8.859231948852539
2006-12-29,20.350000381469727,8.95753002166748
2007-01-05,19.709999084472656,9.711977005004883
2007-01-12,18.260000228881836,10.424646377563477
2007-01-19,17.729999542236328,10.225592613220215
2007-01-26,16.219999313354492,10.37795639038086
2007-02-02,15.6899995803833,11.488738059997559
