date,微软,苹果
2015-01-02,39.681739807128906,24.192602157592773
2015-01-09,40.04665756225586,24.7856388092041
2015-01-16,39.24045944213867,23.453521728515625
2015-01-23,40.038177490234375,25.000282287597656
2015-01-30,34.284481048583984,25.925228118896484
2015-02-06,35.9902229309082,26.420761108398438
2015-02-13,37.22920608520508,28.231313705444336
2015-02-20,37.48561477661133,28.7689208984375
2015-02-27,37.4770622253418,28.53788948059082
2015-03-06,36.20360565185547,28.124685287475586
2015-03-13,35.36604309082031,27.45599937438965
2015-03-20,36.648040771484375,27.96917152404785
2015-03-27,35.0156364440918,27.380464553833008
2015-04-02,34.434452056884766,27.84031867980957
2015-04-10,35.65662384033203,28.235754013061523
2015-04-17,35.57115936279297,27.71369171142578
2015-04-24,40.9128303527832,28.942201614379883
2015-05-01,41.588016510009766,28.64674186706543
2015-05-08,40.81025695800781,28.469701766967773
2015-05-15,41.28032684326172,28.726255416870117
2015-05-22,40.34431076049805,29.5672607421875
2015-05-29,40.30989456176758,29.063095092773438
2015-06-05,39.690528869628906,28.699472427368164
2015-06-12,39.54429626464844,28.36931800842285
2015-06-19,39.6561279296875,28.242164611816406
2015-06-26,38.93353271484375,28.275623321533203
2015-07-02,38.19375991821289,28.20647430419922
2015-07-10,38.3743896484375,27.501527786254883
2015-07-17,40.103424072265625,28.915861129760742
2015-07-24,39.518489837646484,27.773681640625
2015-07-31,40.17224884033203,27.059825897216797
2015-08-07,40.206668853759766,25.88705825805664
2015-08-14,40.43031692504883,25.985658645629883
2015-08-21,37.293968200683594,23.69992446899414
2015-08-28,38.038639068603516,25.387344360351562
2015-09-04,36.89566421508789,24.486480712890625
2015-09-11,37.648990631103516,25.59349822998047
2015-09-18,37.648990631103516,25.423192977905273
2015-09-25,38.047306060791016,25.70553970336914
2015-10-02,39.458709716796875,24.735233306884766
2015-10-09,40.792171478271484,25.12514877319336
2015-10-16,41.13853073120117,24.883129119873047
2015-10-23,45.77970886230469,26.684831619262695
2015-10-30,45.580562591552734,26.77894401550293
2015-11-06,47.554805755615234,27.24464988708496
2015-11-13,45.75373840332031,25.282201766967773
2015-11-20,47.23897933959961,26.848554611206055
2015-11-27,47.012325286865234,26.51323890686035
2015-12-04,48.73834228515625,26.787799835205078
2015-12-11,47.12564468383789,25.47125816345215
2015-12-18,47.18667221069336,23.862136840820312
2015-12-24,48.529117584228516,24.31223487854004
2015-12-31,48.3635139465332,23.68885040283203
2016-01-08,45.617549896240234,21.820926666259766
2016-01-15,44.449432373046875,21.859189987182617
2016-01-22,45.58269119262695,22.82465362548828
2016-01-29,48.02350997924805,21.90644073486328
2016-02-05,43.725894927978516,21.274093627929688
2016-02-12,44.02228546142578,21.267309188842773
2016-02-19,45.49730682373047,21.73116683959961
2016-02-26,45.040748596191406,21.928024291992188
2016-03-04,45.68168258666992,23.308279037475586
2016-03-11,46.59478759765625,23.13857650756836
2016-03-18,46.96354675292969,23.96672821044922
2016-03-24,47.595706939697266,23.91016387939453
2016-04-01,48.78975296020508,24.887659072875977
