universe,grp,rate,yrs,start,deep,mult
A_fair6y,OKB+SOL+TRX+XRP,29.5,6.06,2020-08-14,False,4.790212686447085
A_fair6y,OKB+POL+SOL+TRX,32.62,6.06,2020-08-14,False,5.533637208099642
A_fair6y,LINK+OKB+SOL+TRX,45.9,6.06,2020-08-14,False,9.866771458666816
A_fair6y,OKB+SOL+TRX+ZEC,35.21,6.06,2020-08-14,True,6.2217621635121585
A_fair6y,BNB+OKB+SOL+TRX,19.27,6.06,2020-08-14,False,2.909237578358204
A_fair6y,BCH+OKB+SOL+TRX,45.52,6.06,2020-08-14,True,9.712062699969398
A_fair6y,LTC+OKB+SOL+XLM,43.31,6.06,2020-08-14,False,8.851880977759267
A_fair6y,OKB+SOL+XLM+XRP,38.65,6.06,2020-08-14,False,7.244934040617222
A_fair6y,OKB+POL+SOL+XLM,42.71,6.06,2020-08-14,False,8.629660316399756
A_fair6y,LINK+OKB+SOL+XLM,44.56,6.06,2020-08-14,False,9.33021659411432
A_fair6y,OKB+SOL+XLM+ZEC,56.98,6.06,2020-08-14,True,15.375052520067417
A_fair6y,BNB+OKB+SOL+XLM,42.99,6.06,2020-08-14,False,8.732776331642164
A_fair6y,BCH+OKB+SOL+XLM,46.2,6.06,2020-08-14,True,9.990358617313888
A_fair6y,LTC+OKB+SOL+XRP,43.89,6.06,2020-08-14,False,9.071216083389288
A_fair6y,LTC+OKB+POL+SOL,43.9,6.06,2020-08-14,False,9.075037143640678
A_fair6y,LINK+LTC+OKB+SOL,40.65,6.06,2020-08-14,False,7.901814009925213
A_fair6y,LTC+OKB+SOL+ZEC,58.96,6.06,2020-08-14,True,16.588396057892105
A_fair6y,BNB+LTC+OKB+SOL,45.84,6.06,2020-08-14,False,9.842207870284597
A_fair6y,BCH+LTC+OKB+SOL,41.09,6.06,2020-08-14,True,8.052804853424906
A_fair6y,OKB+POL+SOL+XRP,36.62,6.06,2020-08-14,False,6.625467727069697
A_fair6y,LINK+OKB+SOL+XRP,45.26,6.06,2020-08-14,False,9.607380722994954
A_fair6y,OKB+SOL+XRP+ZEC,44.76,6.06,2020-08-14,True,9.408716031091789
A_fair6y,BNB+OKB+SOL+XRP,30.72,6.06,2020-08-14,False,5.070289504484128
A_fair6y,BCH+OKB+SOL+XRP,46.58,6.06,2020-08-14,True,10.148755439464889
A_fair6y,LINK+OKB+POL+SOL,44.65,6.06,2020-08-14,False,9.365473388686478
A_fair6y,OKB+POL+SOL+ZEC,47.79,6.06,2020-08-14,True,10.667164630002057
A_fair6y,BNB+OKB+POL+SOL,31.72,6.06,2020-08-14,False,5.309937821101915
A_fair6y,BCH+OKB+POL+SOL,46.08,6.06,2020-08-14,True,9.940769568033213
A_fair6y,LINK+OKB+SOL+ZEC,62.3,6.06,2020-08-14,True,18.81612675987619
A_fair6y,BNB+LINK+OKB+SOL,48.48,6.06,2020-08-14,False,10.97255662594365
A_fair6y,BCH+LINK+OKB+SOL,42.94,6.06,2020-08-14,True,8.714287685916391
A_fair6y,BNB+OKB+SOL+ZEC,32.17,6.06,2020-08-14,True,5.4208240784941175
A_fair6y,BCH+OKB+SOL+ZEC,61.55,6.06,2020-08-14,True,18.29532765907105
A_fair6y,BCH+BNB+OKB+SOL,47.65,6.06,2020-08-14,True,10.606075513166854
