,BTC,ETH,OKB,AAVE,ADA,APT,AVAX,DOT,FIL,LINK,POL,RENDER,SOL,GRAM,TRX,UNI,ZEC,BNB,XLM,LTC,XRP,GLM,BCH,RAY,PENDLE,ETHFI,HYPE
2014-09-19,394.79599,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-26,404.42499,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-03,359.51199,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-10,361.56201,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-17,383.758,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-24,358.345,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-31,338.32101,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-07,342.41501,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-14,397.81799,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-21,350.84799,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-28,376.44699,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-05,376.854,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-12,352.54199,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-19,317.84299,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-26,327.92401,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,315.03201,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,290.40799,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,208.097,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,232.879,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,226.425,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,222.26601,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-13,235.427,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-20,243.77901,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-27,253.828,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-06,272.72299,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-13,285.33701,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-20,261.74899,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-27,247.02901,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-03,254.32201,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-10,236.07201,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,222.882,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,231.268,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,232.07899,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,243.86301,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15,237.605,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-22,240.34801,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29,237.09599,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05,224.952,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-12,229.982,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-19,244.606,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-26,243.59399,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-03,256.336,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-10,284.89401,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-17,279.47199,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-24,288.27801,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-31,284.64999,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-07,279.58499,2.77212,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-14,265.67999,1.82787,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-21,232.569,1.39529,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-28,231.396,1.19138,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-04,230.298,1.27441,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-11,240.107,0.982978,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-18,232.97501,0.853685,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-25,235.144,0.736223,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-02,237.293,0.678574,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-09,243.931,0.650628,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-16,262.86899,0.536495,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-23,276.496,0.539657,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-30,328.01502,1.04122,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-06,374.47,0.926032,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-13,336.75299,0.904096,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-20,322.022,0.92492,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-27,358.04199,0.867951,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-04,363.18301,0.840041,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-11,451.93799,0.929762,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-18,463.616,0.920127,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-25,455.65301,0.870363,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,434.33402,0.948024,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-08,453.23001,0.986789,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-15,364.33099,1.20801,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-22,382.492,1.50127,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-29,379.474,2.49496,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-05,386.54901,2.53899,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-12,384.263,5.54698,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-19,420.785,4.73789,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-26,432.15201,5.92167,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-04,410.93899,10.406,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-11,421.69,11.0828,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-18,409.548,10.9981,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-25,417.177,10.7432,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-01,417.95999,11.6636,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-08,420.349,9.71959,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-15,429.71301,8.24278,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-22,445.737,7.82126,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-29,455.09699,7.45729,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-06,459.603,9.34664,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-13,455.67001,10.5066,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-20,442.676,13.6356,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-27,473.46399,11.2958,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-03,569.19397,13.8467,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-10,577.46997,13.9086,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-17,748.909,15.3768,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-24,665.29901,14.3321,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-01,676.29602,12.1995,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-08,666.52301,11.3946,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-15,663.255,11.9516,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-22,650.61902,14.6619,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-29,656.992,12.7946,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-05,575.04303,10.9254,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-12,587.55902,11.7785,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-19,575.63,10.7487,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-26,579.651,11.2954,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-02,575.53699,12.113,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-09,622.86102,11.6528,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-16,606.97302,12.5558,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-23,602.84198,13.3313,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,609.73499,13.2248,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-07,617.12097,12.6671,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-14,640.37799,11.9382,,,,,,,,,,,,,,,,,,,,,,,,,
