Date,SPY,QQQ,DIA,XLE,XLP,XLV,XLU,KO,CVX,PG,PEP
2014-08-01,157.3990,86.4358,129.3434,30.2259,31.5945,50.0940,14.0678,27.0176,76.2359,56.8706,60.6300
2014-08-08,158.0041,86.6458,129.9485,30.4625,31.8853,49.7406,14.0780,27.1276,76.2121,57.7988,62.1301
2014-08-15,160.0319,88.9284,130.9743,30.3899,32.3577,50.9157,14.2580,28.1110,75.8019,58.3914,63.2036
2014-08-22,162.8691,90.4349,133.7458,30.5917,32.5903,51.7621,14.4211,28.2760,76.4090,59.5410,63.0315
2014-08-29,164.1119,91.1014,134.5411,31.1373,32.8010,52.4770,14.7031,28.6886,77.8156,59.3411,63.6439
2014-09-05,164.4389,91.2018,134.8324,30.6138,33.1281,52.7318,14.8186,28.7711,76.5833,59.8123,63.5851
2014-09-12,162.8200,90.8275,133.7694,29.5038,32.7429,52.4359,14.3565,28.7175,73.7340,59.4482,62.9752
2014-09-19,164.8708,91.5011,136.1027,29.7285,33.2282,53.5053,14.5819,29.1262,75.0204,60.3121,64.9989
2014-09-26,162.5707,90.4029,134.7216,29.1548,32.9868,53.1094,14.3146,29.2301,73.0187,60.3907,64.5415
2014-10-03,161.4371,89.8447,133.9482,27.9472,33.2355,53.1177,14.5819,29.7842,70.7584,59.8266,64.7979
2014-10-10,156.5247,86.4310,130.3887,26.4828,33.3599,51.9301,14.7156,30.8024,68.4621,60.4692,65.5948
2014-10-17,154.8241,85.1131,128.9996,26.2133,32.6431,50.4457,14.7396,29.7011,67.2058,59.4553,63.4188
2014-10-24,161.3631,90.2565,132.3854,27.1325,33.5793,53.7774,15.2641,28.4197,69.6764,61.2711,65.5602
2014-10-31,165.6595,92.8007,136.8920,27.7094,34.1644,55.4762,15.5863,29.0084,72.1049,62.7892,66.6483
2014-11-07,167.0395,92.9837,138.5730,27.8267,34.9178,55.2783,15.8537,29.3132,71.4137,64.1275,67.0849
2014-11-14,167.7789,94.4664,139.1808,27.3259,34.9324,55.4597,15.4046,29.5972,70.5713,63.3936,67.7224
2014-11-21,169.7833,95.0613,140.6015,28.0518,35.4371,56.3422,15.6651,30.8232,71.9425,63.7462,68.5332
2014-11-28,170.2105,97.0198,140.9180,25.3005,36.0588,57.4060,15.7680,31.2664,66.0514,65.0628,69.3718
