date,close
2018-06-19,46.2041
2018-06-20,46.7775
2018-06-21,46.4908
2018-06-22,46.6943
2018-06-25,45.7325
2018-06-26,45.8083
2018-06-27,45.4088
2018-06-28,45.8619
2018-06-29,45.8064
2018-07-02,46.0931
2018-07-03,45.529
2018-07-05,46.2226
2018-07-06,46.9532
2018-07-09,47.2214
2018-07-10,47.202
2018-07-11,47.1382
2018-07-12,47.878
2018-07-13,47.804
2018-07-16,47.6653
2018-07-17,47.6746
2018-07-18,47.5359
2018-07-19,47.2029
2018-07-20,47.0457
2018-07-23,47.2399
2018-07-24,47.5728
2018-07-25,47.915
2018-07-26,46.1079
2018-07-27,45.233
2018-07-30,44.5209
2018-07-31,44.8169
2018-08-01,44.6319
2018-08-02,44.9279
2018-08-03,45.233
2018-08-06,45.6862
2018-08-07,45.7417
2018-08-08,45.7047
2018-08-09,45.9544
2018-08-10,45.566
2018-08-13,45.5012
2018-08-14,45.8249
2018-08-15,45.1868
2018-08-16,45.1683
2018-08-17,44.9556
2018-08-20,45.0296
2018-08-21,45.307
2018-08-22,45.2515
2018-08-23,45.0666
2018-08-24,45.7232
2018-08-27,46.1671
2018-08-28,45.9636
2018-08-29,46.2226
2018-08-30,45.9359
2018-08-31,45.4828
2018-09-04,44.9186
2018-09-05,44.336
2018-09-06,44.003
2018-09-07,44.0955
2018-09-10,44.188
2018-09-11,44.6319
2018-09-12,44.5024
2018-09-13,44.8169
2018-09-14,44.7336
2018-09-17,44.299
2018-09-18,44.6134
2018-09-19,44.7336
2018-09-20,45.2238
2018-09-21,45.0216
2018-09-24,45.0216
2018-09-25,45.0402
2018-09-26,45.2164
2018-09-27,45.6059
2018-09-28,45.4389
2018-10-01,45.2535
2018-10-02,45.2164
2018-10-03,45.4204
2018-10-04,44.7713
2018-10-05,44.3447
2018-10-08,44.1963
2018-10-09,44.1685
2018-10-10,42.4251
2018-10-11,42.0635
2018-10-12,43.0001
2018-10-15,42.8331
2018-10-16,43.9645
2018-10-17,44.1407
2018-10-18,43.3339
2018-10-19,43.3246
2018-10-22,43.2968
2018-10-23,43.2041
2018-10-24,41.1454
2018-10-25,42.5086
2018-10-26,41.3587
2018-10-29,40.7188
2018-10-30,41.8316
2018-10-31,42.694
2018-11-01,42.9444
2018-11-02,42.5086
2018-11-05,42.3324
2018-11-06,42.5828
2018-11-07,43.3617
2018-11-08,42.9537
2018-11-09,42.0728
2018-11-12,41.4422
2018-11-13,41.3123
2018-11-14,41.5164
2018-11-15,41.8224
2018-11-16,41.6184
2018-11-19,40.3572
2018-11-20,39.8286
2018-11-21,40.3016
2018-11-23,39.773
2018-11-26,40.6818
2018-11-27,40.8116
2018-11-28,41.6647
2018-11-29,41.8038
2018-11-30,41.7389
2018-12-03,41.8038
2018-12-04,40.5705
2018-12-06,41.0249
2018-12-07,40.2459
2018-12-10,40.5519
2018-12-11,40.589
2018-12-12,41.0249
2018-12-13,40.8394
2018-12-14,40.4407
2018-12-17,39.6524
2018-12-18,39.8286
2018-12-19,38.9755
2018-12-20,38.2892
2018-12-21,37.037
2018-12-24,36.2555
2018-12-26,38.293
2018-12-27,38.4697
2018-12-28,38.3488
2018-12-31,38.4046
2019-01-02,38.9163
2019-01-03,38.2651
2019-01-04,39.9118
2019-01-07,40.3677
2019-01-08,41.0468
2019-01-09,41.1026
2019-01-10,41.1863
2019-01-11,40.9817
2019-01-14,40.8328
2019-01-15,41.512
2019-01-16,41.3352
2019-01-17,41.5027
2019-01-18,41.8376
2019-01-22,40.9724
2019-01-23,40.7863
2019-01-24,40.9724
2019-01-25,41.4934
2019-01-28,41.1305
2019-01-29,40.6467
2019-01-30,41.2329
2019-01-31,42.9168
2019-02-01,42.7679
2019-02-04,43.168
2019-02-05,43.6425
2019-02-06,42.6656
2019-02-07,42.2562
2019-02-08,42.5447
2019-02-11,42.1074
2019-02-12,42.5912
2019-02-13,42.6191
2019-02-14,42.7772
2019-02-15,42.9633
2019-02-19,43.0098
2019-02-20,42.861
2019-02-21,42.4609
2019-02-22,42.861
2019-02-25,42.9075
2019-02-26,42.9075
2019-02-27,42.6935
2019-02-28,42.7214
2019-03-01,43.0564
2019-03-04,43.1122
2019-03-05,43.382
2019-03-06,43.3634
2019-03-07,42.9819
2019-03-08,42.954
2019-03-11,43.7262
2019-03-12,43.9216
2019-03-13,44.0518
2019-03-14,43.8564
2019-03-15,43.822
2019-03-18,43.4492
2019-03-19,43.5237
2019-03-20,43.9151
2019-03-21,44.493
2019-03-22,43.7754
2019-03-25,43.7008
2019-03-26,43.9151
2019-03-27,43.5983
2019-03-28,43.4958
2019-03-29,43.589
2019-04-01,44.2507
2019-04-02,44.4837
2019-04-03,44.6514
2019-04-04,44.9031
2019-04-05,45.0335
2019-04-08,44.9497
2019-04-09,45.0708
2019-04-10,45.2665
2019-04-11,45.2945
2019-04-12,45.6859
2019-04-15,45.6486
2019-04-16,45.6953
2019-04-17,45.7791
2019-04-18,45.8071
2019-04-22,46.0121
2019-04-23,46.6272
2019-04-24,46.4129
2019-04-25,46.9348
2019-04-26,47.3076
2019-04-29,47.7363
2019-04-30,46.6645
2019-05-01,46.4222
2019-05-02,46.2358
2019-05-03,46.6832
2019-05-06,46.6086
2019-05-07,45.8537
2019-05-08,45.7791
2019-05-09,45.6393
2019-05-10,45.7698
2019-05-13,44.3532
2019-05-14,44.6048
2019-05-15,45.602
2019-05-16,46.0028
2019-05-17,45.6673
2019-05-20,44.9124
2019-05-21,45.4063
2019-05-22,45.3597
2019-05-23,44.726
2019-05-24,44.7167
2019-05-28,44.9124
2019-05-29,44.4743
2019-05-30,44.5769
2019-05-31,43.8872
2019-06-03,42.5079
2019-06-04,43.4212
2019-06-05,43.4398
2019-06-06,43.6262
2019-06-07,44.3346
2019-06-10,44.2973
2019-06-11,44.4837
2019-06-12,44.2693
2019-06-13,44.7633
2019-06-14,44.8471
2019-06-17,45.3597
2019-06-18,45.6114
2019-06-19,45.6673
2019-06-20,45.9562
2019-06-21,46.1505
2019-06-24,46.2626
2019-06-25,45.4031
2019-06-26,45.2257
2019-06-27,45.5433
2019-06-28,45.9824
2019-07-01,46.3561
2019-07-02,46.7858
2019-07-03,47.0287
2019-07-05,47.0941
2019-07-08,46.6737
2019-07-09,46.9633
2019-07-10,47.4958
2019-07-11,47.5238
2019-07-12,47.8695
2019-07-15,47.8788
2019-07-16,47.7667
2019-07-17,47.3183
2019-07-18,46.9353
2019-07-19,46.328
2019-07-22,46.5055
2019-07-23,46.683
2019-07-24,47.0941
2019-07-25,46.9726
2019-07-26,48.3179
2019-07-29,48.047
2019-07-30,47.8228
2019-07-31,47.4397
2019-08-01,47.2155
2019-08-02,46.7578
2019-08-05,45.2443
2019-08-06,45.8983
2019-08-07,45.9543
2019-08-08,46.8792
2019-08-09,46.3561
2019-08-12,45.8609
2019-08-13,46.5336
2019-08-14,44.88
2019-08-15,44.9547
2019-08-16,45.5339
2019-08-19,46.2439
2019-08-20,45.9357
2019-08-21,46.1132
2019-08-22,46.0104
2019-08-23,44.7492
2019-08-26,45.4218
2019-08-27,45.5059
2019-08-28,45.618
