date,close
2016-01-04,656.28
2016-01-05,649.47
2016-01-06,631.2
2016-01-07,610.25
2016-01-08,600.48
2016-01-11,603.55
2016-01-12,608.56
2016-01-13,589.48
2016-01-14,601.57
2016-01-15,574.29
2016-01-19,575.18
2016-01-20,578.94
2016-01-21,587.56
2016-01-22,598.42
2016-01-25,589.81
2016-01-26,595.86
2016-01-27,588.68
2016-01-28,586.85
2016-01-29,613.68
2016-02-01,616.6
2016-02-02,595.7
2016-02-03,597.11
2016-02-04,607.72
2016-02-05,586.25
2016-02-08,571.45
2016-02-09,567.99
2016-02-10,563.65
2016-02-11,559.18
2016-02-12,571.9
2016-02-16,591.93
2016-02-17,606.05
2016-02-18,602.52
2016-02-19,605.46
2016-02-22,615.0
2016-02-23,604.87
2016-02-24,613.34
2016-02-25,621.07
2016-02-26,624.65
2016-02-29,622.11
2016-03-01,639.9
2016-03-02,643.31
2016-03-03,643.89
2016-03-04,650.62
2016-03-07,652.68
2016-03-08,638.01
2016-03-09,643.27
2016-03-10,646.58
2016-03-11,659.14
2016-03-14,656.35
2016-03-15,655.41
2016-03-16,661.19
2016-03-17,665.95
2016-03-18,675.03
2016-03-21,675.96
2016-03-22,675.3
2016-03-23,666.46
2016-03-24,666.14
2016-03-28,665.21
2016-03-29,674.14
2016-03-30,680.79
2016-03-31,676.89
2016-04-01,681.59
2016-04-04,675.39
2016-04-05,671.33
2016-04-06,678.21
2016-04-07,667.46
2016-04-08,671.31
2016-04-11,670.6
2016-04-12,669.74
2016-04-13,685.15
2016-04-14,679.28
2016-04-15,673.49
2016-04-18,673.96
2016-04-19,665.61
2016-04-20,672.15
2016-04-21,667.68
2016-04-22,669.03
2016-04-25,665.32
2016-04-26,674.42
2016-04-27,681.26
2016-04-28,662.69
2016-04-29,645.34
2016-05-02,650.27
2016-05-03,642.62
2016-05-04,634.9
2016-05-05,636.81
2016-05-06,637.5
2016-05-09,636.54
2016-05-10,644.3
2016-05-11,642.29
2016-05-12,630.77
2016-05-13,633.26
2016-05-16,643.33
2016-05-17,638.89
2016-05-18,649.35
2016-05-19,644.74
2016-05-20,665.08
2016-05-23,669.46
2016-05-24,685.64
2016-05-25,689.47
2016-05-26,691.58
2016-05-27,695.71
2016-05-31,699.36
2016-06-01,703.29
2016-06-02,703.43
2016-06-03,705.6
2016-06-06,703.7
2016-06-07,710.55
2016-06-08,710.19
2016-06-09,710.92
2016-06-10,699.04
2016-06-13,695.42
2016-06-14,695.47
2016-06-15,694.86
2016-06-16,694.78
2016-06-17,689.09
2016-06-20,697.08
2016-06-21,699.4
2016-06-22,698.25
2016-06-23,716.67
2016-06-24,675.4
2016-06-27,648.32
2016-06-28,665.75
2016-06-29,679.37
2016-06-30,691.67
2016-07-01,685.01
2016-07-05,672.51
2016-07-06,673.55
2016-07-07,681.82
2016-07-08,701.07
2016-07-11,708.9
2016-07-12,718.36
2016-07-13,718.9
2016-07-14,724.23
2016-07-15,723.64
2016-07-18,734.54
2016-07-19,731.78
2016-07-20,743.74
2016-07-21,738.3
2016-07-22,742.37
2016-07-25,746.44
2016-07-26,774.92
2016-07-27,774.93
2016-07-28,770.52
2016-07-29,766.78
2016-08-01,768.02
2016-08-02,755.73
2016-08-03,756.53
2016-08-04,763.57
2016-08-05,773.78
2016-08-08,772.44
2016-08-09,778.78
2016-08-10,772.82
2016-08-11,776.26
2016-08-12,779.84
2016-08-15,790.44
2016-08-16,784.61
2016-08-17,784.61
2016-08-18,790.16
2016-08-19,797.06
2016-08-22,797.29
2016-08-23,801.31
2016-08-24,794.34
2016-08-25,797.47
2016-08-26,801.4
2016-08-29,803.62
2016-08-30,802.07
2016-08-31,801.48
2016-09-01,808.36
2016-09-02,806.95
2016-09-06,805.1
2016-09-07,799.2
2016-09-08,797.57
2016-09-09,768.37
2016-09-12,783.95
2016-09-13,776.73
2016-09-14,783.72
2016-09-15,801.77
2016-09-16,801.55
2016-09-19,803.06
2016-09-20,799.11
2016-09-21,810.65
2016-09-22,813.51
2016-09-23,804.59
2016-09-26,796.64
2016-09-27,810.84
2016-09-28,812.47
2016-09-29,822.64
2016-09-30,835.6
2016-10-03,829.49
2016-10-04,827.34
2016-10-05,833.71
2016-10-06,838.6
2016-10-07,837.02
2016-10-10,832.91
2016-10-11,815.31
2016-10-12,812.62
2016-10-13,803.05
2016-10-14,809.39
2016-10-17,805.0
2016-10-18,814.74
2016-10-19,810.93
2016-10-20,816.72
2016-10-21,814.53
2016-10-24,829.79
2016-10-25,828.67
2016-10-26,827.22
2016-10-27,823.74
2016-10-28,818.88
2016-10-31,823.52
2016-11-01,816.08
2016-11-02,810.57
2016-11-03,808.0
2016-11-04,802.88
2016-11-07,825.87
2016-11-08,827.68
2016-11-09,823.59
2016-11-10,806.09
2016-11-11,837.24
2016-11-14,832.08
2016-11-15,847.9
2016-11-16,857.55
2016-11-17,866.84
2016-11-18,872.63
2016-11-21,879.01
2016-11-22,888.27
2016-11-23,889.31
2016-11-25,890.97
2016-11-28,887.25
2016-11-29,885.25
2016-11-30,879.47
2016-12-01,836.79
2016-12-02,847.7
2016-12-05,858.13
2016-12-06,870.0
2016-12-07,888.45
2016-12-08,895.7
2016-12-09,892.51
2016-12-12,885.46
2016-12-13,895.55
2016-12-14,894.28
2016-12-15,909.97
2016-12-16,900.85
2016-12-19,909.68
2016-12-20,917.99
2016-12-21,918.33
2016-12-22,923.06
2016-12-23,927.92
2016-12-27,939.21
2016-12-28,921.09
2016-12-29,921.2
2016-12-30,906.47
2017-01-03,907.34
2017-01-04,909.77
2017-01-05,901.69
2017-01-06,908.65
2017-01-09,918.58
2017-01-10,923.06
2017-01-11,926.54
2017-01-12,918.16
2017-01-13,924.67
2017-01-17,909.48
2017-01-18,922.36
2017-01-19,918.03
2017-01-20,930.01
2017-01-23,923.77
2017-01-24,942.41
2017-01-25,956.06
2017-01-26,950.32
2017-01-27,962.26
2017-01-30,956.84
2017-01-31,944.28
2017-02-01,960.11
2017-02-02,959.08
2017-02-03,964.02
2017-02-06,967.39
2017-02-07,970.59
2017-02-08,972.14
2017-02-09,963.81
2017-02-10,963.05
2017-02-13,965.7
2017-02-14,962.63
2017-02-15,970.54
2017-02-16,971.24
2017-02-17,976.8
2017-02-21,990.44
2017-02-22,990.07
2017-02-23,973.87
2017-02-24,973.44
2017-02-27,982.4
2017-02-28,969.38
2017-03-01,985.26
2017-03-02,974.33
2017-03-03,973.97
2017-03-06,974.18
2017-03-07,976.85
2017-03-08,979.0
2017-03-09,980.48
2017-03-10,991.93
2017-03-13,999.39
2017-03-14,996.33
2017-03-15,1004.65
2017-03-16,1002.81
2017-03-17,1004.6
2017-03-20,1012.29
2017-03-21,988.42
2017-03-22,999.34
2017-03-23,996.85
2017-03-24,1004.35
2017-03-27,1005.95
2017-03-28,1008.97
2017-03-29,1006.49
2017-03-30,1011.81
2017-03-31,1011.4
2017-04-03,1005.8
2017-04-04,1000.48
2017-04-05,993.53
2017-04-06,994.69
2017-04-07,999.35
2017-04-10,991.62
2017-04-11,983.34
2017-04-12,966.55
2017-04-13,960.01
2017-04-17,972.56
2017-04-18,976.67
2017-04-19,982.05
2017-04-20,997.55
2017-04-21,992.94
2017-04-24,1007.8
2017-04-25,1017.81
2017-04-26,1009.16
2017-04-27,1023.29
2017-04-28,1005.53
2017-05-01,1015.43
2017-05-02,1004.62
2017-05-03,1008.05
2017-05-04,1006.83
2017-05-05,1011.03
2017-05-08,1007.16
2017-05-09,1017.5
2017-05-10,1038.92
2017-05-11,1042.4301
2017-05-12,1045.24
2017-05-15,1061.05
2017-05-16,1076.85
2017-05-17,1029.83
2017-05-18,1049.29
2017-05-19,1060.77
2017-05-22,1072.3
2017-05-23,1067.9399
2017-05-24,1074.85
2017-05-25,1080.75
2017-05-26,1084.85
2017-05-30,1091.45
2017-05-31,1091.42
2017-06-01,1092.55
2017-06-02,1103.4
2017-06-05,1106.22
2017-06-06,1110.08
2017-06-07,1118.3
2017-06-08,1138.25
2017-06-09,1090.05
2017-06-12,1084.4399
2017-06-13,1091.35
2017-06-14,1079.8199
2017-06-15,1070.76
2017-06-16,1067.23
2017-06-19,1087.92
2017-06-20,1074.88
2017-06-21,1087.42
2017-06-22,1084.96
2017-06-23,1088.48
2017-06-26,1077.92
2017-06-27,1048.66
2017-06-28,1067.1801
2017-06-29,1040.42
2017-06-30,1034.91
2017-07-03,1020.51
2017-07-05,1041.78
2017-07-06,1037.05
2017-07-07,1054.9
2017-07-10,1067.1
2017-07-11,1075.42
2017-07-12,1092.86
2017-07-13,1090.13
2017-07-14,1104.3199
2017-07-17,1099.55
2017-07-18,1103.35
2017-07-19,1113.1801
2017-07-20,1116.62
2017-07-21,1107.54
2017-07-24,1103.01
2017-07-25,1102.59
2017-07-26,1115.35
2017-07-27,1097.27
2017-07-28,1092.99
2017-07-31,1085.15
2017-08-01,1091.13
2017-08-02,1083.96
2017-08-03,1078.8
2017-08-04,1079.45
2017-08-07,1098.25
2017-08-08,1093.77
