,US,CN,JP,KR,EU,UK,IN,BR,AU,CA,HK,TW,DE,FR
2012-01-06,1277.81005859375,2163.39501953125,8390.349609375,1843.1400146484373,2298.64990234375,5649.7001953125,4754.10009765625,58600.0,4108.5,12188.599609375,18593.060546875,7120.509765625,6057.919921875,3137.360107421875
2012-01-13,1289.0899658203125,2244.580078125,8500.01953125,1875.6800537109373,2338.010009765625,5636.60009765625,4866.0,59147.0,4195.89990234375,12231.099609375,19204.419921875,7181.5400390625,6143.080078125,3196.489990234375
2012-01-20,1315.3800048828125,2319.117919921875,8766.3603515625,1949.8900146484373,2426.9599609375,5728.60009765625,5048.60009765625,62312.0,4239.60009765625,12397.099609375,20110.369140625,7233.68994140625,6404.39013671875,3321.5
2012-01-27,1316.3299560546875,2319.117919921875,8841.2197265625,1964.8299560546875,2436.6201171875,5733.5,5204.7001953125,62904.0,4288.39990234375,12466.5,20501.669921875,7233.68994140625,6511.97998046875,3318.760009765625
2012-02-03,1344.9000244140625,2330.405029296875,8831.9296875,1972.3399658203125,2515.14990234375,5901.10009765625,5325.85009765625,65217.0,4251.2001953125,12577.2998046875,20756.98046875,7674.990234375,6766.669921875,3427.919921875
2012-02-10,1342.6400146484375,2351.98095703125,8947.169921875,1993.7099609375,2480.760009765625,5852.39990234375,5381.60009765625,63998.0,4245.2998046875,12389.400390625,20783.859375,7862.27001953125,6692.9599609375,3373.139892578125
2012-02-17,1361.22998046875,2357.180908203125,9384.169921875,2023.469970703125,2520.31005859375,5905.10009765625,5564.2998046875,66204.0,4195.89990234375,12458.2998046875,21491.619140625,7894.35986328125,6848.02978515625,3439.6201171875
2012-02-24,1365.739990234375,2439.626953125,9647.3798828125,2019.8900146484373,2523.68994140625,5935.10009765625,5429.2998046875,65943.0,4306.7998046875,12725.7998046875,21406.859375,7959.33984375,6864.43017578125,3467.030029296875
2012-03-02,1369.6300048828125,2460.693115234375,9777.0302734375,2034.6300048828125,2546.159912109375,5911.10009765625,5359.35009765625,67782.0,4273.10009765625,12643.7998046875,21562.259765625,8144.0400390625,6921.3701171875,3501.169921875
2012-03-09,1370.8699951171875,2439.4619140625,9929.740234375,2018.300048828125,2515.949951171875,5887.5,5333.5498046875,66704.0,4212.0,12503.599609375,21086.0,8016.009765625,6880.2099609375,3487.47998046875
2012-03-16,1404.1700439453125,2404.736083984375,10129.830078125,2034.43994140625,2608.300048828125,5965.60009765625,5317.89990234375,67684.0,4276.2001953125,12497.0,21317.849609375,8054.93994140625,7157.81982421875,3594.830078125
2012-03-23,1397.1099853515625,2349.5390625,10011.4697265625,2026.8299560546875,2525.429931640625,5854.89990234375,5278.2001953125,65813.0,4270.39990234375,12465.7001953125,20668.80078125,8076.60986328125,6995.6201171875,3476.179931640625
2012-03-30,1408.469970703125,2262.7880859375,10083.5595703125,2014.0400390625,2477.280029296875,5768.5,5295.5498046875,64511.0,4335.2001953125,12392.2001953125,20555.580078125,7933.0,6946.830078125,3423.81005859375
2012-04-06,1398.0799560546875,2306.552001953125,9688.4501953125,2029.030029296875,2392.5400390625,5723.7001953125,5322.89990234375,63691.0,4319.7998046875,12103.099609375,20593.0,7706.259765625,6775.259765625,3319.81005859375
2012-04-13,1370.260009765625,2359.160888671875,9637.990234375,2008.9100341796875,2291.510009765625,5651.7998046875,5207.4501953125,62106.0,4323.2998046875,12040.400390625,20701.0390625,7788.27001953125,6583.89990234375,3189.090087890625
