,US,CN,JP,KR,EU,UK,IN,BR,AU,CA,HK,TW,DE,FR
2012-04-20,1378.530029296875,2406.863037109375,9561.3603515625,1974.6500244140625,2311.27001953125,5772.2001953125,5290.85009765625,62494.0,4366.5,12147.2998046875,21010.640625,7507.14990234375,6750.1201171875,3188.580078125
2012-04-27,1403.3599853515625,2396.31591796875,9520.8896484375,1975.3499755859373,2344.02001953125,5777.10009765625,5190.60009765625,61691.0,4362.10009765625,12237.7998046875,20741.44921875,7480.5,6801.31982421875,3266.27001953125
2012-05-04,1369.0999755859375,2452.013916015625,9380.25,1989.1500244140625,2248.340087890625,5655.10009765625,5086.85009765625,60821.0,4396.0,11871.2001953125,21086.0,7700.9501953125,6561.47021484375,3161.969970703125
2012-05-11,1353.3900146484375,2394.98193359375,8953.3095703125,1917.1300048828125,2254.5400390625,5575.5,4928.89990234375,59445.0,4285.10009765625,11694.7001953125,19964.630859375,7401.3701171875,6579.93017578125,3129.77001953125
2012-05-18,1295.219970703125,2344.52099609375,8611.3095703125,1782.4599609375,2144.68994140625,5267.60009765625,4891.4501953125,54513.0,4046.5,11280.599609375,18951.849609375,7151.18994140625,6271.22021484375,3008.0
2012-05-25,1317.8199462890625,2333.552978515625,8580.3896484375,1824.1700439453125,2161.8701171875,5351.5,4920.39990234375,54463.0,4029.199951171875,11576.5,18713.41015625,7071.6298828125,6339.93994140625,3047.93994140625
2012-06-01,1278.0400390625,2373.43603515625,8440.25,1834.510009765625,2068.659912109375,5260.2001953125,4841.60009765625,53403.0,4063.89990234375,11361.2001953125,18558.33984375,7106.08984375,6050.2900390625,2950.469970703125
2012-06-08,1325.6600341796875,2281.447021484375,8459.259765625,1835.6400146484373,2143.89990234375,5435.10009765625,5068.35009765625,54430.0,4063.699951171875,11500.599609375,18502.33984375,6999.64990234375,6130.81982421875,3051.68994140625
2012-06-15,1342.8399658203125,2306.85009765625,8569.3203125,1858.1600341796875,2181.22998046875,5478.7998046875,5139.0498046875,56105.0,4057.300048828125,11524.900390625,19233.939453125,7155.830078125,6229.41015625,3087.6201171875
2012-06-22,1335.02001953125,2260.876953125,8798.349609375,1847.3900146484373,2186.81005859375,5513.7001953125,5146.0498046875,55440.0,4048.199951171875,11435.5,18995.130859375,7222.0498046875,6263.25,3090.89990234375
2012-06-29,1362.1600341796875,2225.429931640625,9006.7802734375,1854.010009765625,2264.719970703125,5571.2001953125,5278.89990234375,54355.0,4094.60009765625,11596.599609375,19441.4609375,7296.27978515625,6416.27978515625,3196.64990234375
2012-07-06,1354.6800537109375,2223.5791015625,9020.75,1858.199951171875,2235.510009765625,5662.60009765625,5316.9501953125,55394.0,4157.7998046875,11660.0,19800.640625,7368.58984375,6410.10986328125,3168.7900390625
2012-07-13,1356.780029296875,2185.89501953125,8724.1201171875,1812.8900146484373,2259.090087890625,5666.10009765625,5227.25,54331.0,4082.199951171875,11514.5,19092.630859375,7104.27001953125,6557.10009765625,3180.81005859375
2012-07-20,1362.6600341796875,2168.637939453125,8669.8701171875,1822.9300537109373,2237.330078125,5651.7998046875,5205.10009765625,54195.0,4199.10009765625,11622.900390625,19640.80078125,7164.68017578125,6630.02001953125,3193.889892578125
2012-07-27,1385.969970703125,2128.764892578125,8566.6396484375,1829.1600341796875,2301.22998046875,5627.2001953125,5099.85009765625,56553.0,4209.7998046875,11766.400390625,19274.9609375,7124.490234375,6689.39990234375,3280.18994140625
2012-08-03,1390.989990234375,2132.7958984375,8555.1103515625,1848.6800537109373,2372.580078125,5787.2998046875,5215.7001953125,57255.0,4221.5,11662.599609375,19666.1796875,7217.509765625,6865.66015625,3374.18994140625
2012-08-10,1405.8699951171875,2168.81396484375,8891.4404296875,1946.4000244140625,2423.219970703125,5847.10009765625,5320.39990234375,59281.0,4277.2998046875,11890.900390625,20136.119140625,7441.1201171875,6944.56005859375,3435.6201171875
2012-08-17,1418.1600341796875,2114.89111328125,9162.5,1946.5400390625,2471.530029296875,5852.39990234375,5366.2998046875,59082.0,4370.10009765625,12089.900390625,20116.0703125,7467.919921875,7040.8798828125,3488.3798828125
2012-08-24,1411.1300048828125,2092.10400390625,9070.759765625,1919.81005859375,2434.22998046875,5776.60009765625,5386.7001953125,58426.0,4349.0,12082.2001953125,19880.029296875,7477.52978515625,6971.06982421875,3433.2099609375
2012-08-31,1406.5799560546875,2047.52197265625,8839.91015625,1905.1199951171875,2440.7099609375,5711.5,5258.5,57061.0,4316.10009765625,11949.2998046875,19482.5703125,7397.06005859375,6970.7900390625,3413.070068359375
2012-09-07,1437.9200439453125,2127.761962890625,8871.650390625,1929.5799560546875,2538.60009765625,5794.7998046875,5342.10009765625,58321.0,4325.7998046875,12268.0,19802.16015625,7424.91015625,7214.5,3519.050048828125
2012-09-14,1465.77001953125,2123.846923828125,9159.3896484375,2007.5799560546875,2594.56005859375,5915.60009765625,5577.64990234375,62105.0,4390.0,12499.5,20629.779296875,7738.0498046875,7412.1298828125,3581.580078125
2012-09-21,1460.1500244140625,2026.68994140625,9110.0,2002.3699951171875,2577.080078125,5852.60009765625,5691.14990234375,61320.0,4408.2998046875,12383.599609375,20734.939453125,7754.58984375,7451.6201171875,3530.719970703125
2012-09-28,1440.6700439453125,2086.1689453125,8870.16015625,1996.2099609375,2454.260009765625,5742.10009765625,5703.2998046875,59176.0,4387.0,12317.5,20840.380859375,7715.16015625,7216.14990234375,3354.820068359375
2012-10-05,1460.9300537109375,2086.1689453125,8863.2998046875,1995.1700439453125,2531.2099609375,5871.0,5746.9501953125,58572.0,4494.39990234375,12419.0,21012.380859375,7690.64990234375,7397.8701171875,3457.0400390625
2012-10-12,1428.5899658203125,2104.931884765625,8534.1201171875,1933.260009765625,2469.090087890625,5793.2998046875,5676.0498046875,59162.0,4486.60009765625,12202.0,21136.4296875,7437.0400390625,7232.490234375,3389.080078125
2012-10-19,1433.18994140625,2128.302001953125,9002.6796875,1943.8399658203125,2542.239990234375,5896.2001953125,5684.25,58922.0,4571.10009765625,12416.0,21551.759765625,7408.759765625,7380.64013671875,3504.56005859375
2012-10-26,1411.93994140625,2066.208984375,8933.0595703125,1891.4300537109373,2496.10009765625,5806.7001953125,5664.2998046875,57277.0,4472.39990234375,12300.2998046875,21545.5703125,7134.06005859375,7231.85009765625,3435.090087890625
2012-11-02,1414.199951171875,2117.0458984375,9051.2197265625,1918.719970703125,2547.14990234375,5868.60009765625,5697.7001953125,58383.0,4460.10009765625,12380.400390625,22111.330078125,7210.47021484375,7363.85009765625,3492.4599609375
2012-11-09,1379.8499755859375,2069.06689453125,8757.599609375,1904.4100341796875,2479.820068359375,5769.7001953125,5686.25,57358.0,4462.0,12196.7998046875,21384.380859375,7293.22021484375,7163.5,3423.570068359375
2012-11-16,1359.8800048828125,2014.7249755859373,9024.16015625,1860.8299560546875,2427.320068359375,5605.60009765625,5574.0498046875,55402.0,4336.7998046875,11877.7001953125,21159.009765625,7130.06982421875,6950.52978515625,3341.52001953125
2012-11-23,1409.1500244140625,2027.384033203125,9366.7998046875,1911.3299560546875,2557.030029296875,5819.10009765625,5626.60009765625,57574.0,4413.0,12213.2001953125,21913.98046875,7326.009765625,7309.1298828125,3528.800048828125
2012-11-30,1416.1800537109375,1980.116943359375,9446.009765625,1932.9000244140625,2575.25,5866.7998046875,5879.85009765625,57475.0,4506.0,12239.400390625,22030.390625,7580.169921875,7405.5,3557.280029296875
2012-12-07,1418.0699462890625,2061.785888671875,9527.3896484375,1957.449951171875,2601.3701171875,5914.39990234375,5907.39990234375,58487.0,4551.7998046875,12159.599609375,22191.169921875,7642.259765625,7517.7998046875,3605.610107421875
2012-12-14,1413.5799560546875,2150.625,9737.5595703125,1995.0400390625,2630.5400390625,5921.7998046875,5879.60009765625,59605.0,4583.10009765625,12296.7001953125,22605.98046875,7698.77001953125,7596.47021484375,3643.280029296875
2012-12-21,1430.1500244140625,2153.31005859375,9940.0595703125,1980.4200439453125,2651.090087890625,5940.0,5847.7001953125,61007.0,4623.60009765625,12385.7001953125,22506.2890625,7519.93017578125,7636.22998046875,3661.39990234375
2012-12-28,1402.4300537109375,2233.251953125,10395.1796875,1997.050048828125,2626.85009765625,5925.39990234375,5908.35009765625,60952.0,4671.2998046875,12316.099609375,22666.58984375,7699.5,7612.39013671875,3620.25
2013-01-04,1466.469970703125,2276.991943359375,10688.1103515625,2011.93994140625,2709.35009765625,6089.7998046875,6016.14990234375,62523.0,4723.7998046875,12540.7998046875,23331.08984375,7805.990234375,7776.3701171875,3730.02001953125
2013-01-11,1472.050048828125,2242.9970703125,10801.5703125,1996.6700439453125,2717.7900390625,6121.60009765625,5951.2998046875,61497.0,4709.5,12602.2001953125,23264.0703125,7819.14990234375,7715.52978515625,3706.02001953125
2013-01-18,1485.97998046875,2317.070068359375,10913.2998046875,1987.8499755859373,2709.590087890625,6154.39990234375,6064.39990234375,61956.0,4771.2001953125,12725.7001953125,23601.779296875,7732.8701171875,7702.22998046875,3741.580078125
2013-01-25,1502.9599609375,2291.303955078125,10926.650390625,1946.68994140625,2744.179931640625,6284.5,6074.64990234375,61170.0,4835.2001953125,12816.599609375,23580.4296875,7672.580078125,7857.97021484375,3778.159912109375
2013-02-01,1513.1700439453125,2419.02001953125,11191.33984375,1957.7900390625,2710.080078125,6347.2001953125,5998.89990234375,60351.0,4921.10009765625,12768.7998046875,23721.83984375,7855.97021484375,7833.39013671875,3773.530029296875
2013-02-08,1517.9300537109375,2432.402099609375,11153.16015625,1950.9000244140625,2630.300048828125,6263.89990234375,5903.5,58498.0,4971.2998046875,12801.2001953125,23215.16015625,7906.64990234375,7652.14013671875,3649.5
2013-02-15,1519.7900390625,2432.402099609375,11173.830078125,1981.1800537109373,2615.260009765625,6328.2998046875,5887.39990234375,57903.0,5033.89990234375,12686.599609375,23444.560546875,7906.64990234375,7593.509765625,3660.3701171875
2013-02-22,1515.5999755859375,2314.1640625,11385.9404296875,2018.8900146484373,2630.050048828125,6335.7001953125,5850.2998046875,56697.0,5018.10009765625,12701.599609375,22782.439453125,7947.72021484375,7661.91015625,3706.280029296875
2013-03-01,1518.199951171875,2359.506103515625,11606.3798828125,2026.489990234375,2616.75,6378.60009765625,5719.7001953125,56884.0,5086.10009765625,12773.099609375,22880.220703125,7964.6298828125,7708.16015625,3699.909912109375
2013-03-08,1551.1800537109375,2318.611083984375,12283.6201171875,2006.010009765625,2728.780029296875,6483.60009765625,5945.7001953125,58433.0,5123.39990234375,12835.599609375,23091.94921875,8015.14013671875,7986.47021484375,3840.14990234375
2013-03-15,1560.699951171875,2278.40087890625,12560.9501953125,1986.5,2725.719970703125,6489.7001953125,5872.60009765625,56869.0,5120.2001953125,12830.0,22533.109375,7927.490234375,8042.85009765625,3844.030029296875
2013-03-22,1556.8900146484375,2328.278076171875,12338.5302734375,1948.7099609375,2681.669921875,6392.7998046875,5651.35009765625,55243.0,4967.2998046875,12757.400390625,22115.30078125,7796.22021484375,7911.35009765625,3770.2900390625
2013-03-29,1569.18994140625,2236.62109375,12397.91015625,2004.8900146484373,2624.02001953125,6411.7001953125,5682.5498046875,56352.0,4966.5,12749.900390625,22299.630859375,7918.60986328125,7795.31005859375,3731.419921875
2013-04-05,1553.280029296875,2225.294921875,12833.6396484375,1927.22998046875,2585.280029296875,6249.7998046875,5553.25,55051.0,4891.39990234375,12331.900390625,21726.900390625,7942.35009765625,7658.75,3663.47998046875
2013-04-12,1588.8499755859375,2206.780029296875,13485.1396484375,1924.22998046875,2633.469970703125,6384.39990234375,5528.5498046875,54963.0,5013.5,12337.599609375,22089.05078125,7821.6298828125,7744.77001953125,3729.300048828125
2013-04-19,1555.25,2244.64306640625,13316.48046875,1906.75,2575.159912109375,6286.60009765625,5783.10009765625,53929.0,4931.89990234375,12065.599609375,22013.5703125,7930.7998046875,7459.9599609375,3651.9599609375
2013-04-26,1582.239990234375,2177.912109375,13884.1298828125,1944.56005859375,2683.429931640625,6426.39990234375,5871.4501953125,54252.0,5097.5,12220.2001953125,22547.7109375,8022.06005859375,7814.759765625,3810.050048828125
2013-05-03,1614.4200439453125,2205.4970703125,13694.0400390625,1965.7099609375,2763.679931640625,6521.5,5944.0,55488.0,5129.5,12438.0,22689.9609375,8135.02978515625,8122.2900390625,3912.949951171875
2013-05-10,1633.699951171875,2246.8310546875,14607.5400390625,1944.75,2785.239990234375,6625.0,6094.75,55108.0,5206.10009765625,12589.099609375,23321.220703125,8280.259765625,8278.58984375,3953.830078125
2013-05-17,1667.469970703125,2282.8701171875,15138.1201171875,1986.81005859375,2817.989990234375,6723.10009765625,6187.2998046875,55164.0,5180.7998046875,12613.0,23082.6796875,8368.1904296875,8398.0,4001.27001953125
2013-05-24,1649.5999755859375,2288.531982421875,14612.4501953125,1973.449951171875,2764.2900390625,6654.2998046875,5983.5498046875,56406.0,4983.5,12667.2001953125,22618.669921875,8209.7802734375,8305.3203125,3956.7900390625
2013-05-31,1630.739990234375,2300.594970703125,13774.5400390625,2001.050048828125,2769.639892578125,6583.10009765625,5985.9501953125,53506.0,4926.60009765625,12650.400390625,22392.16015625,8254.7998046875,8348.83984375,3948.590087890625
2013-06-07,1643.3800048828125,2210.89794921875,12877.5302734375,1923.8499755859373,2724.080078125,6412.0,5881.0,51619.0,4737.7001953125,12373.2998046875,21575.259765625,8095.2001953125,8254.6796875,3872.590087890625
2013-06-14,1626.72998046875,2162.041015625,12686.51953125,1889.239990234375,2667.320068359375,6308.2998046875,5808.39990234375,49332.0,4791.7998046875,12187.400390625,20969.140625,7937.740234375,8127.9599609375,3805.159912109375
2013-06-21,1592.4300537109375,2073.094970703125,13230.1298828125,1822.8299560546875,2549.47998046875,6116.2001953125,5667.64990234375,47056.0,4738.7998046875,11995.7001953125,20263.310546875,7793.31005859375,7789.240234375,3658.0400390625
2013-06-28,1606.280029296875,1979.2060546875,13677.3203125,1863.3199462890625,2602.590087890625,6215.5,5842.2001953125,47457.0,4802.60009765625,12129.099609375,20803.2890625,8062.2099609375,7959.22021484375,3738.909912109375
2013-07-05,1631.8900146484375,2007.198974609375,14309.9697265625,1833.31005859375,2596.010009765625,6375.5,5867.89990234375,45210.0,4841.7001953125,12134.900390625,20854.669921875,8001.81982421875,7806.0,3753.85009765625
2013-07-12,1680.18994140625,2039.4859619140625,14506.25,1869.97998046875,2674.8701171875,6544.89990234375,6009.0,45533.0,4973.89990234375,12462.2001953125,21277.279296875,8220.490234375,8212.76953125,3855.090087890625
2013-07-19,1692.0899658203125,1992.64794921875,14589.91015625,1871.4100341796875,2716.169921875,6630.7001953125,6029.2001953125,47400.0,4972.10009765625,12685.099609375,21362.419921875,8062.02978515625,8331.5703125,3925.320068359375
2013-07-26,1691.6500244140625,2010.8499755859373,14129.98046875,1910.81005859375,2741.9599609375,6554.7998046875,5886.2001953125,49422.0,5042.0,12647.900390625,21968.94921875,8149.39990234375,8244.91015625,3968.840087890625
2013-08-02,1709.6700439453125,2029.41796875,14466.16015625,1923.3800048828125,2811.0,6647.89990234375,5677.89990234375,48474.0,5116.7998046875,12603.2998046875,22190.970703125,8099.8798828125,8406.9404296875,4045.64990234375
2013-08-09,1691.4200439453125,2052.235107421875,13615.1904296875,1880.7099609375,2825.6201171875,6583.39990234375,5565.64990234375,49875.0,5055.2001953125,12542.099609375,21807.560546875,7856.14013671875,8338.3095703125,4076.550048828125
2013-08-16,1655.8299560546875,2068.451904296875,13650.1103515625,1920.1099853515625,2854.27001953125,6500.0,5507.85009765625,51539.0,5113.89990234375,12736.900390625,22517.810546875,7925.0,8391.9404296875,4123.89013671875
2013-08-23,1663.5,2057.4580078125,13660.5498046875,1870.1600341796875,2826.050048828125,6492.10009765625,5471.75,52197.0,5123.39990234375,12762.2998046875,21863.509765625,7873.31005859375,8416.990234375,4069.469970703125
2013-08-30,1632.969970703125,2098.382080078125,13388.8603515625,1926.3599853515625,2721.3701171875,6412.89990234375,5471.7998046875,50008.0,5135.0,12653.900390625,21731.369140625,8021.89013671875,8103.14990234375,3933.780029296875
2013-09-06,1655.1700439453125,2139.992919921875,13860.8095703125,1955.31005859375,2803.419921875,6547.2998046875,5680.39990234375,53749.0,5145.0,12820.900390625,22621.220703125,8164.2001953125,8275.669921875,4049.18994140625
2013-09-13,1687.989990234375,2236.217041015625,14404.669921875,1994.3199462890625,2867.110107421875,6583.7998046875,5850.60009765625,53798.0,5219.60009765625,12723.400390625,22915.279296875,8168.2001953125,8509.419921875,4114.5
2013-09-20,1709.9100341796875,2191.85107421875,14742.419921875,2005.5799560546875,2927.18994140625,6596.39990234375,6012.10009765625,54110.0,5276.7001953125,12806.5,23502.509765625,8209.1796875,8675.73046875,4203.66015625
2013-09-27,1691.75,2160.027099609375,14760.0703125,2011.800048828125,2919.340087890625,6512.7001953125,5833.2001953125,53739.0,5307.10009765625,12844.099609375,23207.0390625,8230.6796875,8661.509765625,4186.77001953125
2013-10-04,1690.5,2174.6650390625,14024.3095703125,1996.97998046875,2928.31005859375,6453.89990234375,5907.2998046875,52849.0,5208.0,12758.7001953125,23138.5390625,8364.5498046875,8622.9697265625,4164.25
2013-10-11,1703.199951171875,2228.14599609375,14404.740234375,2024.9000244140625,2974.280029296875,6487.2001953125,6096.2001953125,53150.0,5230.89990234375,12892.099609375,23218.3203125,8349.3701171875,8724.830078125,4219.97998046875
2013-10-18,1744.5,2193.780029296875,14561.5400390625,2052.39990234375,3033.31005859375,6622.60009765625,6189.35009765625,55378.0,5321.5,13136.099609375,23340.099609375,8441.1904296875,8865.099609375,4286.02978515625
2013-10-25,1759.77001953125,2132.955078125,14088.1904296875,2034.3900146484373,3034.5,6721.2998046875,6144.89990234375,54154.0,5386.2998046875,13399.400390625,22698.33984375,8346.6201171875,8985.740234375,4272.31005859375
2013-11-01,1761.6400146484375,2149.56201171875,14201.5703125,2039.4200439453125,3052.139892578125,6734.7001953125,6307.2001953125,54013.0,5411.10009765625,13337.5,23249.7890625,8388.1796875,9007.830078125,4273.18994140625
2013-11-08,1770.6099853515625,2106.126953125,14086.7998046875,1984.8699951171875,3034.909912109375,6708.39990234375,6140.75,52249.0,5400.7001953125,13378.2998046875,22744.390625,8229.58984375,9078.2802734375,4260.43994140625
2013-11-15,1798.1800537109375,2135.826904296875,15165.919921875,2005.6400146484373,3054.530029296875,6693.39990234375,6056.14990234375,53452.0,5401.7001953125,13482.599609375,23032.150390625,8177.1201171875,9168.6904296875,4292.22998046875
2013-11-22,1804.760009765625,2196.3779296875,15381.7197265625,2006.22998046875,3055.97998046875,6674.2998046875,5995.4501953125,52801.0,5335.89990234375,13478.2998046875,23696.279296875,8116.77978515625,9219.0400390625,4278.52978515625
2013-11-29,1805.81005859375,2220.50390625,15661.8701171875,2044.8699951171875,3086.639892578125,6650.60009765625,6176.10009765625,52482.0,5320.10009765625,13395.400390625,23881.2890625,8406.830078125,9405.2998046875,4295.2099609375
2013-12-06,1805.0899658203125,2237.10791015625,15299.8603515625,1980.4100341796875,2979.93994140625,6552.0,6259.89990234375,50944.0,5186.0,13280.7001953125,23743.099609375,8367.7197265625,9172.41015625,4129.3701171875
2013-12-13,1775.3199462890625,2196.074951171875,15403.1103515625,1962.9100341796875,2921.919921875,6440.0,6168.39990234375,50051.0,5098.39990234375,13125.7001953125,23245.9609375,8376.9404296875,9006.4599609375,4059.7099609375
2013-12-20,1818.3199462890625,2084.7939453125,15870.419921875,1983.3499755859373,3049.35009765625,6606.60009765625,6274.25,51186.0,5265.2001953125,13399.599609375,22812.1796875,8408.5302734375,9400.1796875,4193.77001953125
2013-12-27,1841.4000244140625,2101.2509765625,16178.9404296875,2002.280029296875,3111.3701171875,6750.89990234375,6313.7998046875,51267.0,5324.10009765625,13588.0,23243.240234375,8535.0400390625,9589.3896484375,4277.64990234375
2014-01-03,1831.3699951171875,2083.135009765625,16291.3095703125,1946.1400146484373,3074.429931640625,6730.7001953125,6211.14990234375,50981.0,5350.10009765625,13548.900390625,22817.279296875,8546.5400390625,9435.150390625,4247.64990234375
2014-01-10,1842.3699951171875,2013.2979736328125,15912.0595703125,1938.5400390625,3104.14990234375,6739.89990234375,6171.4501953125,49696.0,5312.39990234375,13747.5,22846.25,8529.349609375,9473.240234375,4250.60009765625
2014-01-17,1838.699951171875,2004.948974609375,15734.4599609375,1944.47998046875,3154.10009765625,6829.2998046875,6261.64990234375,49182.0,5305.89990234375,13888.2001953125,23133.349609375,8596.0,9742.9599609375,4327.5
2014-01-24,1790.2900390625,2054.39208984375,15391.5595703125,1940.56005859375,3028.199951171875,6663.7001953125,6266.75,47787.0,5240.89990234375,13717.7998046875,22450.060546875,8598.3095703125,9392.01953125,4161.47021484375
2014-01-31,1782.5899658203125,2033.0830078125,14914.5302734375,1941.1500244140625,3013.9599609375,6510.39990234375,6089.5,47639.0,5190.0,13694.900390625,22035.419921875,8462.5703125,9306.48046875,4165.72021484375
2014-02-07,1797.02001953125,2044.4969482421875,14462.41015625,1922.5,3038.489990234375,6571.7001953125,6063.2001953125,48074.0,5166.5,13786.5,21636.849609375,8387.349609375,9301.919921875,4228.18017578125
2014-02-14,1838.6300048828125,2115.847900390625,14313.0302734375,1940.280029296875,3119.06005859375,6663.60009765625,6048.35009765625,48201.0,5356.2998046875,14054.7998046875,22298.41015625,8513.6796875,9662.400390625,4340.14013671875
2014-02-21,1836.25,2113.693115234375,14865.669921875,1957.8299560546875,3131.669921875,6838.10009765625,6155.4501953125,47380.0,5438.7001953125,14205.7001953125,22568.240234375,8601.8603515625,9656.9501953125,4381.06005859375
2014-02-28,1859.449951171875,2056.302001953125,14841.0703125,1979.989990234375,3149.22998046875,6809.7001953125,6276.9501953125,47094.0,5404.7998046875,14209.599609375,22836.9609375,8639.580078125,9692.080078125,4408.080078125
2014-03-07,1878.0400390625,2057.907958984375,15274.0703125,1974.6800537109373,3095.31005859375,6712.7001953125,6526.64990234375,46244.0,5462.2998046875,14299.099609375,22660.490234375,8713.9599609375,9350.75,4366.419921875
2014-03-14,1841.1300048828125,2004.3389892578125,14327.66015625,1919.9000244140625,3004.639892578125,6527.89990234375,6504.2001953125,44966.0,5329.39990234375,14227.7001953125,21539.490234375,8687.6298828125,9056.41015625,4216.3701171875
2014-03-21,1866.52001953125,2047.6190185546875,14224.23046875,1934.93994140625,3096.489990234375,6557.2001953125,6493.2001953125,47381.0,5338.10009765625,14335.7998046875,21436.69921875,8577.169921875,9342.9404296875,4335.27978515625
2014-03-28,1857.6199951171875,2041.7120361328125,14696.0302734375,1981.0,3172.429931640625,6615.60009765625,6695.89990234375,49768.0,5366.89990234375,14260.7001953125,22065.529296875,8774.6396484375,9587.1904296875,4411.259765625
2014-04-04,1865.0899658203125,2058.8310546875,15063.76953125,1988.0899658203125,3230.330078125,6695.60009765625,6694.35009765625,51082.0,5422.7998046875,14393.099609375,22510.080078125,8888.5400390625,9695.76953125,4484.5498046875
2014-04-11,1815.68994140625,2130.5419921875,13960.0498046875,1997.43994140625,3116.5400390625,6561.7001953125,6776.2998046875,51867.0,5428.60009765625,14257.7001953125,23003.640625,8908.0498046875,9315.2900390625,4365.85986328125
2014-04-18,1864.8499755859373,2097.748046875,14516.26953125,2004.280029296875,3155.81005859375,6625.2998046875,6779.39990234375,52112.0,5454.2001953125,14500.400390625,22760.240234375,8966.66015625,9409.7099609375,4431.81005859375
2014-04-25,1863.4000244140625,2036.51904296875,14429.259765625,1971.6600341796875,3147.39990234375,6685.7001953125,6782.75,51399.0,5531.0,14533.599609375,22223.529296875,8774.1201171875,9401.5498046875,4443.6298828125
2014-05-02,1881.1400146484373,2026.3580322265625,14457.509765625,1959.43994140625,3177.889892578125,6822.39990234375,6694.7998046875,52980.0,5458.10009765625,14765.2001953125,22260.669921875,8867.3203125,9556.01953125,4458.169921875
2014-05-09,1878.47998046875,2011.135009765625,14199.58984375,1956.550048828125,3184.090087890625,6814.60009765625,6858.7998046875,53100.0,5460.7998046875,14534.099609375,21862.990234375,8889.6904296875,9581.4501953125,4477.27978515625
2014-05-16,1877.8599853515625,2026.5040283203125,14096.58984375,2013.43994140625,3172.719970703125,6855.7998046875,7203.0,53976.0,5479.0,14514.7001953125,22712.91015625,8888.4501953125,9629.099609375,4456.27978515625
2014-05-23,1900.530029296875,2034.5689697265625,14462.169921875,2017.1700439453125,3203.280029296875,6815.7998046875,7367.10009765625,52626.0,5492.7998046875,14708.099609375,22965.859375,9008.2197265625,9768.009765625,4493.14990234375
