mode,sim,nav
quad4,0,15.948006903046654
quad4,1,12.968928215601899
quad4,2,14.90243455849351
quad4,3,12.852564401829213
quad4,4,11.572203028398524
quad4,5,12.832383034262598
quad4,6,13.255456613345622
quad4,7,14.45552825782103
quad4,8,13.948060976188962
quad4,9,13.195683628773823
quad4,10,12.99131496147932
quad4,11,12.689469828568228
quad4,12,13.318798611255032
quad4,13,12.046587813103146
quad4,14,12.863035355902209
quad4,15,13.593310924575416
quad4,16,13.67121536209615
quad4,17,14.12806328123461
quad4,18,13.1120877812584
quad4,19,12.920786926459241
quad4,20,12.487144561161022
quad4,21,13.136675974463026
quad4,22,13.616849753904367
quad4,23,13.628049291597781
quad4,24,13.00303705775494
quad4,25,16.09752752860109
quad4,26,13.95725248676949
quad4,27,13.03989140415049
quad4,28,12.05571126554818
quad4,29,14.132674069924747
quad4,30,14.280671154261798
quad4,31,12.46688827970777
quad4,32,13.935963556572917
quad4,33,13.636793700778576
quad4,34,14.027231514042523
quad4,35,14.033350417743309
quad4,36,13.448612031535008
quad4,37,12.69300129303267
quad4,38,12.20722521391397
quad4,39,13.986136586632432
quad4,40,13.191242792755148
quad4,41,13.040042898866131
quad4,42,13.460236350658356
quad4,43,13.075490767726558
quad4,44,11.735894572849197
quad4,45,14.145339306370209
quad4,46,12.577143327830479
quad4,47,13.753889987270279
quad4,48,11.974022576915152
quad4,49,17.336317740754133
quad4,50,12.387109692230302
quad4,51,13.362391394012043
quad4,52,12.923991599047662
quad4,53,13.592426664051475
quad4,54,12.571616540537613
quad4,55,13.51373995911908
quad4,56,12.226254549141021
quad4,57,12.44357791327442
quad4,58,14.227126041211926
quad4,59,13.929135961469521
quad4,60,13.407673425771076
quad4,61,16.70959048205742
quad4,62,11.813154317452756
quad4,63,11.758006652383227
quad4,64,13.105782538113951
quad4,65,15.23838376077325
quad4,66,12.602356155652073
quad4,67,12.93822866400803
quad4,68,13.352241764108603
quad4,69,14.203452610746607
quad4,70,16.387396037410426
quad4,71,11.880843008411018
quad4,72,13.627047299869156
quad4,73,14.060065505410698
quad4,74,12.659773142867037
quad4,75,12.129241940532332
quad4,76,13.128186492044847
quad4,77,13.14521654588815
quad4,78,14.662807939057352
quad4,79,12.236206430036482
quad4,80,12.624894706715544
quad4,81,12.479452493691076
quad4,82,15.065440542826348
quad4,83,12.776707339346785
quad4,84,11.947514622416742
quad4,85,12.824385244203132
quad4,86,13.147924173793704
quad4,87,13.357195404736677
quad4,88,12.717995209169072
quad4,89,12.893611445636338
quad4,90,15.402813548170311
quad4,91,13.51465969947198
quad4,92,14.104703578924482
quad4,93,12.753698583136606
quad4,94,12.859891893306823
quad4,95,16.467723603797392
quad4,96,12.78193094803007
quad4,97,13.495217165957634
quad4,98,13.003425249429084
quad4,99,14.53692264405493
quad4,100,13.376943013026764
quad4,101,13.230146188089076
quad4,102,12.412891832192958
quad4,103,12.380816447986454
quad4,104,13.849719510196653
quad4,105,12.62033225567385
quad4,106,11.843093597276669
quad4,107,13.27797566780417
quad4,108,12.52768304824862
quad4,109,15.00505395828959
quad4,110,12.78642785934991
quad4,111,14.409935670898644
quad4,112,13.656287903981598
quad4,113,16.547146110690687
quad4,114,12.699978237270619
quad4,115,12.47938464446784
quad4,116,12.841785453207489
quad4,117,12.725060890700696
quad4,118,15.447820718454578
quad4,119,16.313048571848096
quad4,120,13.807175575934684
quad4,121,14.273734750917638
quad4,122,12.41194963152348
quad4,123,12.127765999730999
quad4,124,13.809806330421447
quad4,125,12.566450715506473
quad4,126,13.034637164209242
quad4,127,13.549402398450974
quad4,128,16.109144047785236
quad4,129,13.260662429760464
quad4,130,13.222742294409814
quad4,131,13.686154592659094
quad4,132,12.444660766266933
quad4,133,12.336936170607887
quad4,134,13.072638730905151
quad4,135,13.104775095296864
quad4,136,12.436654187594982
quad4,137,14.038385408458574
quad4,138,14.505210436334242
quad4,139,12.487355288304219
quad4,140,13.803273109462843
quad4,141,13.91553557880895
quad4,142,12.918904891111275
quad4,143,13.416512426662445
quad4,144,12.083495639647293
quad4,145,15.49215087129862
quad4,146,13.138279961710492
quad4,147,13.027627676379582
quad4,148,15.598641781187649
quad4,149,15.248270094697459
quad4,150,13.020535336059577
quad4,151,15.247114033706014
quad4,152,13.679152016930232
quad4,153,13.666770856205162
quad4,154,13.693210789685047
