date,IBM,高通
2006-01-06,43.26089096069336,29.663005828857422
2006-01-13,42.35441970825195,30.464698791503906
2006-01-20,41.43269729614258,29.41246223449707
2006-01-27,41.25954055786133,30.076379776000977
2006-02-03,40.72482681274414,28.861299514770508
2006-02-10,41.521419525146484,29.22457504272461
2006-02-17,41.204872131347656,30.25800895690918
2006-02-24,40.893455505371094,29.613317489624023
2006-03-03,40.82197189331055,29.889429092407227
2006-03-10,41.643943786621094,30.121604919433594
2006-03-17,42.52714920043945,31.8598690032959
2006-03-24,42.557769775390625,30.96876335144043
2006-03-31,42.103389739990234,31.759471893310547
2006-04-07,42.10850524902344,32.606651306152344
2006-04-13,41.85325622558594,32.30541229248047
2006-04-21,41.68988037109375,32.248939514160156
2006-04-28,42.03702926635742,32.21755599975586
2006-05-05,42.51694107055664,32.983158111572266
2006-05-12,42.21461868286133,30.74285888671875
2006-05-19,41.13351821899414,29.537988662719727
2006-05-26,41.37434768676758,28.961938858032227
2006-06-02,40.744117736816406,29.572265625
2006-06-09,39.775726318359375,27.332326889038086
2006-06-16,39.93968200683594,27.653223037719727
2006-06-23,39.50417709350586,24.853294372558594
2006-06-30,39.36070251464844,25.211946487426758
2006-07-07,39.15574645996094,23.909496307373047
2006-07-14,37.69550323486328,22.8839054107666
2006-07-21,38.3564567565918,21.66954803466797
2006-07-28,39.432430267333984,22.51897430419922
2006-08-04,38.894432067871094,22.21695327758789
2006-08-11,38.82836151123047,20.95855712890625
2006-08-18,41.102108001708984,23.48163604736328
2006-08-25,41.091800689697266,23.594877243041992
2006-09-01,41.878875732421875,24.2071590423584
2006-09-08,41.493045806884766,23.064653396606445
2006-09-15,42.66591262817383,23.23508644104004
2006-09-22,41.77597427368164,23.89786720275879
2006-09-29,42.15153503417969,22.94472312927246
2006-10-06,42.768821716308594,22.95734977722168
2006-10-13,44.28120040893555,25.14767074584961
2006-10-20,46.54466247558594,23.93572998046875
2006-10-27,46.68867874145508,23.443384170532227
2006-11-03,47.023067474365234,23.02047348022461
2006-11-10,47.356300354003906,22.244064331054688
2006-11-17,48.41427230834961,23.752676010131836
2006-11-24,48.176856994628906,23.721118927001953
2006-12-01,47.093082427978516,22.94472312927246
2006-12-08,48.4400634765625,25.038421630859375
2006-12-15,49.183265686035156,25.013093948364258
2006-12-22,49.157440185546875,23.94291114807129
2006-12-29,50.137996673583984,23.930252075195312
2007-01-05,50.27734375,24.50016975402832
