Date,AAPL,ADBE,AMAT,AMD,AMZN,ASML,AVGO,AXP,BABA,BKNG,COIN,CRM,CRWD,DASH,DDOG,ENPH,EQIX,FSLR,FTNT,GOOGL,HOOD,ISRG,LLY,LRCX,MA,META,MRVL,MSFT,MU,NEE,NET,NFLX,NOW,NVDA,NVO,ORCL,PANW,PLTR,PYPL,QCOM,REGN,SNOW,SPOT,TER,TSLA,VRT,VRTX,ZS,KO,ABBV,SPY,CWB
2016-08-01,24.60033,99.04,24.04012,6.61,38.299,101.371762,13.224701,57.097995,79.673274,55.392159,,79.946885,,,,1.89,301.287298,44.11,6.692,39.991882,,77.036666,69.403028,8.143941,91.34479,124.060559,10.604409,51.244088,14.158993,24.4051,,9.703,15.166,1.42678,21.142562,35.425729,21.963333,,37.772868,47.191129,419.534884,,,19.037172,15.335333,,102.43,,31.82081,44.139893,185.72,34.086768
2016-08-08,24.760548,101.04,24.371894,6.73,38.628,101.991461,13.407384,56.975991,92.539297,55.147751,,80.241783,,,,1.78,304.205375,38.79,6.526,39.99783,,76.768888,68.69772,7.788489,90.628213,123.792909,10.595115,51.226406,14.558799,24.560065,,9.659,15.154,1.545433,19.716214,35.391277,21.196666,,38.179348,46.970396,418.086844,,,18.989887,15.040666,,101.53,,32.223328,44.571076,185.958,34.609571
2016-08-15,25.03063,100.32,26.577738,7.62,37.8655,98.717227,13.598618,57.10671,91.23009,56.088566,,76.162359,,,,1.95,301.954994,37.8,6.98,39.631082,,76.407777,67.704335,8.138701,89.779634,122.4844,11.292162,51.260999,15.84598,24.228827,,9.587,14.738,1.526311,20.015074,35.589378,22.79,,37.762954,47.769601,400.98807,,,19.708627,15.0,,98.01,,32.142824,44.511374,186.027,34.497542
2016-08-22,24.476733,102.06,26.966153,7.67,38.45,98.328759,13.771973,56.46183,89.534714,55.610325,,78.668993,,,,1.81,302.087517,37.53,7.14,39.312407,,76.143333,67.002114,8.192848,90.958215,123.872213,11.403689,51.625751,16.099516,23.724374,,9.758,14.7,1.523475,20.019344,35.5377,23.446666,,37.326732,47.929442,399.668965,,,19.916684,14.666,,97.09,,31.703715,42.85961,184.963,34.452731
2016-08-29,24.657551,103.57,27.011141,7.51,38.622,99.762392,13.457136,56.810414,93.481173,55.730179,,73.822833,,,,1.82,307.670073,38.18,7.366,39.493303,,76.485555,65.811765,8.240882,92.297084,125.40872,12.091442,51.305481,16.284792,24.018929,,9.738,15.248,1.535755,19.553976,35.529087,24.196666,,36.751712,48.627965,385.456353,,,20.181832,13.185333,,95.11,,31.952543,42.534565,185.882,34.535635
2016-09-06,23.60469,99.38,25.967406,5.9,38.007,94.074105,12.498633,56.749411,93.829667,55.379625,,72.938139,,,,1.8,300.480669,37.13,7.152,39.07749,,75.135555,67.002114,7.963158,92.542229,125.993584,11.440865,50.006608,16.392057,23.576121,,9.65,14.716,1.461829,18.802557,34.478287,24.068333,,37.683641,46.455634,381.28084,,,19.233438,12.964666,,93.68,,30.935273,42.030412,181.549,33.958041
2016-09-12,26.303219,98.93,27.038134,6.05,38.926,94.527318,13.351915,55.477081,98.557884,57.187228,,72.043615,,,,1.44,296.695464,34.82,7.104,39.54782,,76.263333,67.481679,8.145414,93.683096,127.946435,11.840505,50.931833,17.045399,24.055992,,9.948,15.458,1.543369,19.690598,33.522232,24.85,,40.350544,48.351626,405.282599,,,19.783506,13.693333,,92.71,,31.092094,41.97071,182.547,34.205581
2016-09-19,25.797388,107.47,26.687223,6.55,40.2875,100.419089,12.994023,55.642659,101.449443,57.058366,,69.192933,,,,1.2,297.995852,37.06,7.266,40.389853,,78.913333,69.502704,8.042019,95.851686,126.846098,12.091442,51.091968,17.045399,24.725081,,9.594,15.49,1.595191,19.161189,33.789238,25.203333,,39.725953,48.1674,407.028182,,,20.191316,13.83,,90.63,,31.534791,43.105053,184.788,34.738168
2016-09-26,25.875208,108.54,27.128111,6.91,41.8655,101.353263,13.451719,55.808236,99.641041,57.63531,,70.116947,,,,1.18,298.38514,39.49,7.386,39.849644,,80.536666,68.731974,8.298754,95.955401,127.153399,12.390227,51.243206,17.337941,23.860922,,9.855,15.83,1.682872,17.756547,33.832304,26.555,,40.618226,52.581146,398.726747,,,20.46635,13.602,,87.21,,31.224903,41.838038,185.054,34.775674
2016-10-03,26.106379,108.64,26.768203,6.75,41.9715,98.393504,13.583491,54.092151,99.838835,57.961579,,69.704089,,,,1.16,290.798164,37.58,6.998,39.683616,,79.782222,70.299125,8.792946,96.589285,127.867131,12.240835,51.421134,17.172167,23.747782,,10.482,15.704,1.641856,17.389377,33.47052,26.653333,,39.537584,52.343188,386.86472,,,20.693965,13.107333,,85.7,,30.789584,41.745168,183.976,34.665954
