,AAPL,GOOGL,MSFT,AMZN,META,XOM,JNJ,JPM,GE,WFC,PG,CVX,PFE,VZ,KO,PEP,WMT,BAC,INTC,ORCL,CSCO,HD,CMCSA,NFLX,MRK,BA,IBM,MO,ABT,MCD,UNH,MA,GILD,QCOM,AMGN,COST,DIS,MMM,ABBV,MDT,TXN,LMT,UPS,ACN,NKE,LIN,DHR,CAT,CL,BMY,SPY,CWB
2016-10-10,26.923491,39.876406,51.083071,41.148,126.766794,56.524,90.012903,52.294877,124.719078,34.144809,67.349391,66.875571,19.642114,29.699077,30.745315,79.213752,19.35401,12.864058,30.34624,33.211125,22.612316,99.789987,23.641327,10.147,43.919248,122.773,97.919,31.885635,34.005311,90.359275,114.073813,95.29513,51.363486,50.431844,120.854338,126.841735,84.121314,103.474995,40.28232,63.69848,52.378989,179.73014,74.61574,98.664117,45.106294,99.64075,64.249411,70.40056,57.106457,35.234035,182.333,34.236771
2016-10-17,26.687742,40.840854,53.075863,40.9495,130.92032,56.577,86.858317,53.046151,125.107611,34.435013,64.722281,67.021126,19.353437,28.470476,31.084716,78.316545,19.322908,13.40274,28.482519,32.796094,22.589838,99.93207,23.227967,12.75,43.254875,124.732,94.863,32.529067,33.763548,90.232555,123.826988,97.156068,52.450768,52.143609,118.323787,125.844911,85.715289,102.970772,40.824595,64.622651,53.510846,178.1459,73.748595,97.447946,45.237366,101.936619,67.632291,69.936461,56.315027,35.411019,183.069,34.545482
2016-10-24,26.028559,40.617832,53.262687,38.816,130.14711,55.375,88.305445,53.526347,126.143699,35.305625,66.648677,68.688384,19.203084,28.476383,31.158499,79.391711,19.78944,13.41078,28.150291,33.00361,22.919508,97.548225,22.437505,12.657,41.586877,131.519,96.752,33.642307,32.963226,88.783195,119.550923,100.981853,52.161297,52.504385,108.373272,126.512276,86.470815,100.704808,38.561769,63.097769,54.145604,191.654447,74.120229,97.51539,45.45582,99.861833,65.961942,67.951701,56.513543,36.104797,181.837,34.387362
2016-10-31,25.039512,38.711734,52.230706,37.7525,119.698861,54.584,88.136996,52.480759,122.776413,34.34458,65.297898,69.32353,18.042358,27.808921,30.760071,78.457429,19.55476,13.30626,27.440839,33.098721,22.619808,95.440653,21.995137,12.203,41.572741,128.328,96.638,32.876316,32.588076,87.943675,117.302156,97.326103,51.137558,51.22248,101.072745,120.529453,85.180893,101.136131,37.517388,63.259498,52.076589,182.597229,73.597189,98.830545,43.655762,97.361886,64.907428,66.679834,55.243041,36.111877,178.423,33.440223
2016-11-07,24.945189,38.248343,52.506494,36.9505,117.983921,56.448,90.709669,59.397128,132.576078,39.835092,64.146665,70.554125,19.795494,27.578558,30.273104,76.514716,20.140046,15.292149,28.257288,34.110359,23.496429,102.497467,24.098199,11.478,45.198518,137.633,103.165,31.538386,33.463427,90.462235,124.721384,98.828078,53.954606,51.337621,111.254667,126.562705,89.999671,106.360607,42.243882,63.205588,53.809907,200.286625,79.165424,100.474489,44.363552,100.210465,68.281872,75.347969,53.535803,39.90642,185.156,33.885489
2016-11-14,25.320183,38.457488,54.052419,38.008,116.001331,56.191,88.938787,60.187128,132.403396,40.674455,62.934034,72.971129,19.121269,28.393688,30.184565,75.120708,19.379457,16.080072,28.53488,34.464865,22.612316,101.297651,24.779882,11.521,43.728417,135.622,102.602,32.054153,33.213327,95.039995,127.302355,98.97922,52.683757,51.667693,109.142902,127.410072,90.51564,105.746372,40.516636,62.327626,55.928408,203.316002,79.068399,99.842203,44.651911,98.450299,66.63683,74.805198,52.297063,40.182516,186.936,34.285473
2016-11-21,25.718183,38.668616,54.213636,39.0185,119.332082,57.403,87.990497,61.054579,135.727511,40.520444,64.054567,74.17395,19.248825,29.92944,30.642019,75.758392,20.140046,16.771515,28.93494,34.81937,22.544883,103.855154,25.077212,11.741,43.968722,139.042,104.361,32.927382,32.646433,95.562715,130.164422,99.876626,53.2627,52.419948,109.293206,128.698069,91.050036,106.07041,40.509941,58.161156,57.338173,205.503027,80.572285,101.789645,45.018913,101.256362,67.117689,77.616267,52.829086,40.338262,189.519,34.677911
2016-11-28,25.283374,37.887046,53.067205,37.017,114.395433,57.351,86.317498,63.19997,135.295808,41.259699,63.241029,75.510418,19.212381,29.421461,30.030512,75.145712,20.041084,17.132325,27.889886,33.288944,21.915515,103.057572,24.939425,12.081,43.205401,141.09,102.366,32.677158,31.596011,94.374296,137.455871,95.50295,51.130497,50.934613,108.226051,128.876016,90.755197,105.422334,39.786908,55.457956,54.480124,208.241975,80.634659,98.881128,44.251753,101.681523,65.228,77.073495,51.39183,39.616166,187.945,34.114566
2016-12-05,26.215109,40.116775,55.503371,38.433,118.638176,58.642,86.548788,66.212811,137.195303,44.001105,64.752981,77.388155,19.254899,30.413793,31.250781,77.364228,19.956706,18.63332,29.196204,35.035532,22.522406,105.850848,25.182365,12.288,43.276079,145.019,106.524,33.841464,32.679779,96.784735,136.9342,98.629704,51.328185,53.007893,107.805201,135.324477,97.359715,109.12737,41.199501,56.489947,55.458486,201.946939,82.887023,103.956279,45.356731,106.03698,65.886017,77.389437,52.63851,40.380738,193.789,34.866088
2016-12-12,26.679826,40.136103,55.798935,37.8885,118.826522,60.079,89.33969,65.786831,137.065792,42.615001,64.990902,78.905045,19.947347,30.874518,31.057324,79.082272,20.213,18.286315,29.645251,33.807732,22.919508,107.215744,25.331029,12.422,44.469921,143.175,106.658,34.234673,31.762745,98.36509,140.201054,97.703958,52.653456,51.414253,112.254185,135.926108,96.477665,108.491523,41.654744,56.574662,56.151813,194.593652,80.26042,103.694934,44.655158,104.813345,66.830861,74.999624,52.590866,41.499279,193.668,34.828132
