| date | open | last | high | low | volume | amount | exchange |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 2021-07-30 | 168.58 | 169.82 | 171.52 | 167.72 | 0 | 0 | 0.00 |
| 2021-07-23 | 169.51 | 168.56 | 170.8 | 167.95 | 0 | 0 | 0.00 |
| 2021-07-16 | 168.7 | 169.41 | 171.3 | 167.64 | 0 | 0 | 0.00 |
| 2021-07-09 | 169.27 | 169.21 | 169.86 | 167.54 | 0 | 0 | 0.00 |
| 2021-07-02 | 166.68 | 167.29 | 167.72 | 164.01 | 0 | 0 | 0.00 |
| 2021-06-25 | 166.52 | 166.59 | 168.03 | 165.97 | 0 | 0 | 0.00 |
| 2021-06-18 | 173.16 | 164.93 | 175.06 | 164.87 | 0 | 0 | 0.00 |
| 2021-06-11 | 176.96 | 175.74 | 177.9 | 175.48 | 0 | 0 | 0.00 |
| 2021-06-04 | 178.76 | 177.16 | 178.85 | 174.66 | 0 | 0 | 0.00 |
| 2021-05-28 | 176.15 | 178.38 | 178.61 | 175.87 | 0 | 0 | 0.00 |
| 2021-05-21 | 173.3 | 176.04 | 177 | 173.28 | 0 | 0 | 0.00 |
| 2021-05-14 | 172.74 | 172.69 | 172.84 | 170.23 | 0 | 0 | 0.00 |
| 2021-05-07 | 167.61 | 171.59 | 172.55 | 165.5 | 0 | 0 | 0.00 |
| 2021-04-30 | 166.63 | 165.66 | 167.15 | 164.47 | 0 | 0 | 0.00 |
| 2021-04-23 | 165.91 | 166.4 | 168.39 | 165.62 | 0 | 0 | 0.00 |
| 2021-04-16 | 162.73 | 166.35 | 166.81 | 161.81 | 0 | 0 | 0.00 |
| 2021-04-09 | 161.52 | 163.27 | 164.77 | 161.36 | 0 | 0 | 0.00 |
| 2021-04-01 | 161.46 | 161.98 | 162.11 | 157.55 | 0 | 0 | 0.00 |
| 2021-03-26 | 162.27 | 162.24 | 163.58 | 161.32 | 0 | 0 | 0.00 |
| 2021-03-19 | 162.31 | 163.24 | 164.15 | 161.11 | 0 | 0 | 0.00 |
| 2021-03-12 | 158.58 | 161.49 | 161.98 | 157.13 | 0 | 0 | 0.00 |
| 2021-03-05 | 163.03 | 159.14 | 163.35 | 158.43 | 0 | 0 | 0.00 |
| 2021-02-26 | 168.54 | 161.81 | 169.89 | 160.95 | 0 | 0 | 0.00 |
