datetime,close
2000-06-12,35.36719
2000-06-19,35.36719
2000-06-26,35.375
2000-07-03,36.28125
2000-07-10,35.95312
2000-07-17,36.34375
2000-07-24,37.55469
2000-07-31,37.28125
2000-08-07,37.625
2000-08-14,37.34375
2000-08-21,36.59375
2000-08-28,36.51562
2000-09-04,37.70312
2000-09-11,37.96875
2000-09-18,37.46875
2000-09-25,37.875
2000-10-02,36.625
2000-10-09,35.85
2000-10-16,35.325
2000-10-23,35.15
2000-10-30,35.45
2000-11-06,35.2
2000-11-13,35.59
2000-11-20,35.45
2000-11-27,36.025002
2000-12-04,37.099998
2000-12-11,37.475
2000-12-18,37.325
2000-12-25,37.975
2001-01-01,37.425
2001-01-08,37.475
2001-01-15,37.7
2001-01-22,38.15
2001-01-29,38.025002
2001-02-05,37.34
2001-02-12,37.525
2001-02-19,36.905
2001-02-26,38.105
2001-03-05,38.09
2001-03-12,36.95
2001-03-19,36.72
2001-03-26,37.47
2001-04-02,37.425
2001-04-09,36.845
2001-04-16,37.81
2001-04-23,38.785
2001-04-30,38.495
2001-05-07,38.34
2001-05-14,39.25
2001-05-21,39.8
2001-05-28,39.6
2001-06-04,39.695
2001-06-11,40.22
2001-06-18,40.75
2001-06-25,41.165
2001-07-02,41.315
2001-07-09,40.86
2001-07-16,40.8
2001-07-23,40.695
2001-07-30,41.075001
2001-08-06,41.75
2001-08-13,42.475
2001-08-20,42.425
2001-08-27,41.55
2001-09-03,40.6
2001-09-10,40.415
2001-09-17,37.025002
2001-09-24,39.63
2001-10-01,37.9
2001-10-08,38.85
2001-10-15,37.67
2001-10-22,36.975
2001-10-29,37.6
2001-11-05,38.07
2001-11-12,39.3
2001-11-19,39.4
2001-11-26,39.65
2001-12-03,40.42
2001-12-10,39.15
2001-12-17,39.475
2001-12-24,40.125
2001-12-31,40.245
2002-01-07,39.945
2002-01-14,39.95
2002-01-21,39.835
2002-01-28,40.099998
2002-02-04,39.75
2002-02-11,40.525
2002-02-18,40.725
2002-02-25,41.15
2002-03-04,41.875
2002-03-11,42.049999
2002-03-18,42.495
2002-03-25,42.6
2002-04-01,43.195
2002-04-08,44.695
2002-04-15,43.145
2002-04-22,42.32
2002-04-29,43.62
2002-05-06,42.0
2002-05-13,42.76
2002-05-20,43.075001
2002-05-27,43.55
2002-06-03,43.275
2002-06-10,42.715
2002-06-17,43.42
2002-06-24,43.6
2002-07-01,42.475
2002-07-08,40.375
2002-07-15,38.395
2002-07-22,39.0
2002-07-29,40.07
2002-08-05,39.805
2002-08-12,40.8
2002-08-19,40.875
2002-08-26,41.695
2002-09-02,41.235
2002-09-09,40.575
2002-09-16,40.0
2002-09-23,39.525
2002-09-30,37.87
2002-10-07,37.099998
2002-10-14,37.625
2002-10-21,37.735
2002-10-28,37.715
2002-11-04,38.22
2002-11-11,38.67
2002-11-18,38.96
2002-11-25,39.31
2002-12-02,39.22
2002-12-09,38.215
2002-12-16,38.099998
2002-12-23,38.275
2002-12-30,39.14
2003-01-06,38.35
2003-01-13,37.165
2003-01-20,36.88
2003-01-27,37.225
2003-02-03,37.049999
2003-02-10,36.61
2003-02-17,37.79
2003-02-24,37.945
2003-03-03,37.25
2003-03-10,36.89
2003-03-17,39.2
2003-03-24,38.53
2003-03-31,39.025002
2003-04-07,38.96
2003-04-14,40.12
2003-04-21,40.145
2003-04-28,40.405
2003-05-05,41.45
2003-05-12,41.935
2003-05-19,42.845
2003-05-26,42.175
