month,available_date,fed_rate,dollar,credit,liquidity,sentiment,earnings,inflation,housing,semiconductor,ai_innovation,regulation,crypto_native,composite
2008-05,2008-07,1.0000,1.0000,0.0000,1.0000,-0.4980,0.0000,-0.9814,-1.0000,0.0000,0.0000,0.0000,0.0000,0.1451
2008-06,2008-08,1.0000,1.0000,0.0000,1.0000,-1.0000,0.0000,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.1019
2008-07,2008-09,1.0000,1.0000,0.0000,1.0000,-1.0000,-0.9565,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0221
2008-08,2008-10,1.0000,0.7956,0.0000,1.0000,-0.7715,-0.9565,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0223
2008-09,2008-11,1.0000,0.2889,0.0000,1.0000,-1.0000,-0.9565,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,-0.0437
2008-10,2008-12,1.0000,-1.0000,0.0000,1.0000,-1.0000,-1.0000,-0.2510,-1.0000,0.0000,0.0000,0.0000,0.0000,-0.1112
2008-11,2009-01,1.0000,-1.0000,0.0000,1.0000,-1.0000,-1.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,-0.0185
2008-12,2009-02,1.0000,-0.9393,0.0000,1.0000,-1.0000,-1.0000,1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,-0.0129
2009-01,2009-03,1.0000,-1.0000,0.0000,1.0000,-1.0000,0.0883,1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0722
2009-02,2009-04,1.0000,-1.0000,0.0000,1.0000,-1.0000,0.0883,1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0722
2009-03,2009-05,1.0000,-1.0000,0.0000,1.0000,-1.0000,0.0883,1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0722
2009-04,2009-06,1.0000,-0.9879,0.0000,1.0000,-0.9709,0.3196,1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.0950
2009-05,2009-07,1.0000,-0.0443,0.0000,1.0000,-0.5045,0.3196,1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.2212
2009-06,2009-08,1.0000,-0.2597,0.0000,1.0000,-0.2783,0.3196,1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.2201
2009-07,2009-09,1.0000,0.1622,0.0000,1.0000,-0.0434,1.0000,1.0000,-0.8501,0.0000,0.0000,0.0000,0.0000,0.3438
2009-08,2009-10,1.0000,0.0870,0.0000,1.0000,0.0408,1.0000,1.0000,-0.7283,0.0000,0.0000,0.0000,0.0000,0.3506
2009-09,2009-11,1.0000,0.3741,0.0000,1.0000,0.0981,1.0000,1.0000,-0.6107,0.0000,0.0000,0.0000,0.0000,0.3885
2009-10,2009-12,1.0000,0.4850,0.0000,1.0000,0.1779,1.0000,1.0000,-0.4631,0.0000,0.0000,0.0000,0.0000,0.4136
2009-11,2010-01,1.0000,0.7325,0.0000,1.0000,0.2448,1.0000,0.2405,-0.2558,0.0000,0.0000,0.0000,0.0000,0.3974
2009-12,2010-02,1.0000,0.4055,0.0000,1.0000,0.4719,1.0000,-0.2026,-0.0571,0.0000,0.0000,0.0000,0.0000,0.3642
2010-01,2010-03,1.0000,0.2236,0.0000,1.0000,0.5501,0.9068,-0.1066,0.0806,0.0000,0.0000,0.0000,0.0000,0.3609
2010-02,2010-04,1.0000,0.2430,0.0000,1.0000,0.4333,0.9068,0.1294,0.0504,0.0000,0.0000,0.0000,0.0000,0.3688
2010-03,2010-05,1.0000,0.4020,0.0000,1.0000,0.8342,0.9068,0.0575,0.1969,0.0000,0.0000,0.0000,0.0000,0.4197
2010-04,2010-06,1.0000,0.4096,0.0000,1.0000,0.8823,0.6107,0.0977,0.3133,0.0000,0.0000,0.0000,0.0000,0.4092
2010-05,2010-07,1.0000,-0.3435,0.0000,1.0000,-0.2867,0.6107,0.2049,0.3344,0.0000,0.0000,0.0000,0.0000,0.2512
2010-06,2010-08,1.0000,-0.2718,0.0000,1.0000,-0.0820,0.6107,0.6578,0.2266,0.0000,0.0000,0.0000,0.0000,0.3024
2010-07,2010-09,1.0000,0.3279,0.0000,1.0000,0.3187,0.2936,0.5354,0.1203,0.0000,0.0000,0.0000,0.0000,0.3500
2010-08,2010-10,0.9462,0.0050,0.0000,1.0000,0.3898,0.2936,0.6283,0.0260,0.0000,0.0000,0.0000,0.0000,0.3216
2010-09,2010-11,0.9649,0.7582,0.0000,1.0000,0.5863,0.2936,0.6363,-0.0400,0.0000,0.0000,0.0000,0.0000,0.4068
2010-10,2010-12,1.0000,1.0000,0.0000,1.0000,0.7795,0.0289,0.6023,-0.0728,0.0000,0.0000,0.0000,0.0000,0.4228
2010-11,2011-01,1.0000,0.5504,0.0000,1.0000,0.7847,0.0289,0.6430,-0.1375,0.0000,0.0000,0.0000,0.0000,0.3810
2010-12,2011-02,1.0000,0.9092,0.0000,1.0000,0.9873,0.0289,0.4433,-0.1287,0.0000,0.0000,0.0000,0.0000,0.4168
2011-01,2011-03,1.0000,1.0000,0.0000,1.0000,0.9764,-0.3582,0.2822,-0.0910,0.0000,0.0000,0.0000,0.0000,0.3822
2011-02,2011-04,1.0000,1.0000,0.0000,1.0000,0.9366,-0.3582,0.0375,0.0127,0.0000,0.0000,0.0000,0.0000,0.3665
2011-03,2011-05,1.0000,1.0000,0.0000,1.0000,0.6396,-0.3582,-0.2472,-0.0156,0.0000,0.0000,0.0000,0.0000,0.3191
2011-04,2011-06,1.0000,1.0000,0.0000,1.0000,0.9940,-0.1996,-0.5089,-0.0343,0.0000,0.0000,0.0000,0.0000,0.3414
2011-05,2011-07,0.9352,1.0000,0.0000,1.0000,0.9326,-0.1996,-0.7283,-0.0029,0.0000,0.0000,0.0000,0.0000,0.3146
2011-06,2011-08,0.9660,1.0000,0.0000,1.0000,0.7366,-0.1996,-0.7615,0.1293,0.0000,0.0000,0.0000,0.0000,0.3066
2011-07,2011-09,0.8127,1.0000,0.0000,1.0000,0.7145,-0.3319,-0.8152,0.2633,0.0000,0.0000,0.0000,0.0000,0.2801
2011-08,2011-10,0.5686,1.0000,0.0000,1.0000,-0.5516,-0.3319,-0.9144,0.4104,0.0000,0.0000,0.0000,0.0000,0.1483
2011-09,2011-11,0.3642,0.1880,0.0000,1.0000,-0.6568,-0.3319,-0.9246,0.4930,0.0000,0.0000,0.0000,0.0000,0.0455
2011-10,2011-12,0.4672,0.7679,0.0000,1.0000,-0.4677,-0.1691,-0.7397,0.4891,0.0000,0.0000,0.0000,0.0000,0.1534
2011-11,2012-01,0.3871,0.2566,0.0000,1.0000,-0.5495,-0.1691,-0.6840,0.4438,0.0000,0.0000,0.0000,0.0000,0.0920
2011-12,2012-02,0.2523,0.0311,0.0000,1.0000,0.1278,-0.1691,-0.4607,0.4109,0.0000,0.0000,0.0000,0.0000,0.1273
2012-01,2012-03,0.1978,0.4218,0.0000,1.0000,0.6813,0.6991,-0.4236,0.5364,0.0000,0.0000,0.0000,0.0000,0.2856
2012-02,2012-04,0.1987,0.5777,0.0000,1.0000,0.9057,0.6991,-0.3576,0.7798,0.0000,0.0000,0.0000,0.0000,0.3372
2012-03,2012-05,0.2968,0.3982,0.0000,1.0000,1.0000,0.6991,-0.1820,1.0000,0.0000,0.0000,0.0000,0.0000,0.3646
2012-04,2012-06,0.1106,0.4037,0.0000,1.0000,0.9586,0.3357,-0.0126,1.0000,0.0000,0.0000,0.0000,0.0000,0.3233
2012-05,2012-07,-0.1982,-0.5731,0.0000,1.0000,0.3607,0.3357,0.2731,1.0000,0.0000,0.0000,0.0000,0.0000,0.1698
2012-06,2012-08,-0.2358,-0.1762,0.0000,1.0000,0.3022,0.3357,0.3134,1.0000,0.0000,0.0000,0.0000,0.0000,0.2005
2012-07,2012-09,-0.3387,-0.1632,0.0000,1.0000,0.9073,0.3350,0.4322,1.0000,0.0000,0.0000,0.0000,0.0000,0.2495
2012-08,2012-10,-0.3232,-0.0160,0.0000,0.9985,1.0000,0.3350,0.2803,1.0000,0.0000,0.0000,0.0000,0.0000,0.2611
2012-09,2012-11,-0.3104,0.2862,0.0000,0.9589,1.0000,0.3350,0.1281,1.0000,0.0000,0.0000,0.0000,0.0000,0.2748
2012-10,2012-12,-0.3724,0.2204,0.0000,0.9599,0.9602,0.0633,-0.0020,1.0000,0.0000,0.0000,0.0000,0.0000,0.2264
2012-11,2013-01,-0.4523,0.2396,0.0000,0.9771,0.8444,0.0633,0.1774,1.0000,0.0000,0.0000,0.0000,0.0000,0.2248
2012-12,2013-02,-0.3295,0.2504,0.0000,1.0000,0.7156,0.0633,0.1797,1.0000,0.0000,0.0000,0.0000,0.0000,0.2315
2013-01,2013-03,-0.1108,0.3253,0.0000,1.0000,1.0000,-0.5155,0.2033,1.0000,0.0000,0.0000,0.0000,0.0000,0.2399
