date,nav_mult_3y,nav_mult_5y,nav_mult_10y,dd_3y,dd_5y,dd_10y,hs300_mult_10y,nav_3y_yuan,nav_5y_yuan,nav_10y_yuan
2017-01-06,,,1.1734,,,-0.0484,1.0496,,,2323617.6729
2017-01-13,,,1.1752,,,-0.0469,1.0481,,,2327070.5410
2017-01-20,,,1.1751,,,-0.0470,1.0338,,,2327000.2429
2017-01-23,,,1.1751,,,-0.0470,1.0338,,,2327000.2429
2017-01-26,,,1.2022,,,-0.0250,1.0628,,,2380529.8475
2017-02-03,,,1.2122,,,-0.0169,1.0650,,,2400330.8128
2017-02-10,,,1.2038,,,-0.0237,1.0602,,,2383764.7897
2017-02-17,,,1.2154,,,-0.0143,1.0822,,,2406735.5467
2017-02-24,,,1.2170,,,-0.0130,1.0837,,,2409985.3748
2017-03-01,,,1.2232,,,-0.0080,1.0837,,,2422148.2833
2017-03-03,,,1.2474,,,0.0000,1.0809,,,2470080.1488
2017-03-09,,,1.2641,,,0.0000,1.0809,,,2503119.6145
2017-03-10,,,1.2830,,,0.0000,1.0815,,,2540718.8532
2017-03-17,,,1.3096,,,0.0000,1.0809,,,2593268.4105
2017-03-22,,,1.3096,,,0.0000,1.0809,,,2593268.4105
2017-03-24,,,1.3301,,,0.0000,1.0863,,,2633911.2657
2017-03-31,,,1.3150,,,-0.0114,1.0839,,,2603916.0318
2017-04-07,,,1.3232,,,-0.0052,1.1006,,,2620167.4939
2017-04-14,,,1.3212,,,-0.0067,1.0978,,,2616246.3409
2017-04-21,,,1.2953,,,-0.0262,1.0827,,,2564959.3091
2017-04-28,,,1.2828,,,-0.0355,1.0767,,,2540299.1091
2017-05-05,,,1.2897,,,-0.0304,1.0662,,,2553795.4440
2017-05-12,,,1.2872,,,-0.0323,1.0492,,,2548849.3599
2017-05-16,,,1.2872,,,-0.0323,1.0492,,,2548849.3599
2017-05-19,,,1.3168,,,-0.0100,1.0685,,,2607458.0767
2017-05-26,,,1.3342,,,0.0000,1.0717,,,2642084.8897
2017-06-02,,,1.3672,,,0.0000,1.0991,,,2707331.3898
2017-06-06,,,1.3672,,,0.0000,1.0991,,,2707331.3898
2017-06-09,,,1.3667,,,-0.0004,1.0960,,,2706336.8954
2017-06-16,,,1.3848,,,0.0000,1.1113,,,2742201.9058
2017-06-23,,,1.3874,,,0.0000,1.1149,,,2747426.4247
2017-06-30,,,1.4255,,,0.0000,1.1487,,,2822840.8511
2017-07-07,,,1.4180,,,-0.0053,1.1435,,,2807990.3197
2017-07-14,,,1.4042,,,-0.0150,1.1530,,,2780612.6372
2017-07-18,,,1.4042,,,-0.0150,1.1530,,,2780612.6372
2017-07-21,,,1.3894,,,-0.0253,1.1469,,,2751400.5773
2017-07-28,,,1.4104,,,-0.0106,1.1631,,,2792979.1627
2017-08-03,,,1.4104,,,-0.0106,1.1631,,,2792979.1627
2017-08-04,,,1.4205,,,-0.0035,1.1741,,,2812850.1869
2017-08-11,,,1.3816,,,-0.0308,1.1545,,,2735884.7696
2017-08-18,,,1.4146,,,-0.0077,1.1564,,,2801178.2795
2017-08-25,,,1.4157,,,-0.0069,1.1809,,,2803396.6330
2017-09-01,,,1.4330,,,0.0000,1.2038,,,2837650.7054
2017-09-08,,,1.4877,,,0.0000,1.2078,,,2945946.6038
2017-09-15,,,1.4879,,,0.0000,1.2091,,,2946270.5731
2017-09-22,,,1.5063,,,0.0000,1.2088,,,2982771.8042
2017-09-26,,,1.5063,,,0.0000,1.2088,,,2982771.8042
2017-09-28,,,1.5063,,,0.0000,1.2088,,,2982771.8042
2017-09-29,,,1.5184,,,0.0000,1.2062,,,3006851.2237
2017-10-11,,,1.5184,,,0.0000,1.2062,,,3006851.2237
2017-10-13,,,1.5880,,,0.0000,1.2211,,,3144562.5077
2017-10-18,,,1.5880,,,0.0000,1.2211,,,3144562.5077
2017-10-20,,,1.5734,,,-0.0092,1.2353,,,3115686.7839
2017-10-26,,,1.5734,,,-0.0092,1.2353,,,3115686.7839
2017-10-27,,,1.5964,,,0.0000,1.2417,,,3161209.7588
2017-10-31,,,1.5964,,,0.0000,1.2417,,,3161209.7588
2017-11-03,,,1.6154,,,0.0000,1.2543,,,3198785.3962
2017-11-10,,,1.6656,,,0.0000,1.2591,,,3298233.4586
2017-11-17,,,1.7035,,,0.0000,1.2845,,,3373322.1563
2017-11-24,,,1.6699,,,-0.0197,1.2851,,,3306859.1378
2017-12-01,,,1.6162,,,-0.0512,1.2619,,,3200455.5005
