类型,波动档,N,窗口,净CAGR,死拿,超额pp,波动,回撤,夏普
贪心分散,35,20,验证期16-25,24.00212531588164,19.309312783979937,4.692812531901702,14.589410811130179,-15.046904007427674,1.645174409481331
贪心分散,35,20,全期21年,23.21965822438756,15.316044283599473,7.90361394078809,16.408791696986498,-27.408184519892366,1.41507422686412
随机,35,20,训练期05-15,24.03956818067141,19.288095588188693,4.7514725924827195,25.84242040518461,-55.61026560387204,0.930236711722579
随机,35,20,验证期16-25,20.523971222603564,20.700354424814172,-0.176383202210606,18.105924000611022,-22.126738814593317,1.1335500591911762
随机,35,20,全期21年,21.505023317950076,17.57702329007975,3.9280000278703264,22.573054877425538,-55.61026560387204,0.9526855551774005
贪心分散,35,30,训练期05-15,21.275709480035964,15.59703240442265,5.678677075613314,18.386814539417863,-32.92156379342045,1.157117750572012
贪心分散,35,30,验证期16-25,27.736004700900008,30.26765308629138,-2.531648385391372,16.756249649902713,-18.74464797980664,1.6552632767118651
贪心分散,35,30,全期21年,24.78509437926981,18.66680405358818,6.11829032568163,17.803392283063303,-32.92156379342045,1.3921557187080762
随机,35,30,训练期05-15,19.867314708152684,13.25601820281852,6.611296505334163,25.999966556764665,-51.173748946172125,0.7641284716569611
随机,35,30,验证期16-25,18.62997096584893,17.10423801216667,1.5257329536822573,17.088552161515082,-24.296967870510112,1.0902018374502938
随机,35,30,全期21年,18.859503521705868,14.479275742478691,4.380227779227175,21.850013220806666,-51.173748946172125,0.8631346503601615
贪心分散,35,50,训练期05-15,19.36725795973704,14.46687199574832,4.900385963988718,22.749241749916084,-46.40621901434697,0.8513364169515003
贪心分散,35,50,验证期16-25,23.68048626532677,25.906040783769456,-2.225554518442685,17.05760094245483,-22.866584320055683,1.3882659317224486
贪心分散,35,50,全期21年,21.367934229012462,16.51995502344974,4.847979205562725,20.190941583941708,-46.40621901434697,1.0582931033789351
随机,35,50,训练期05-15,17.33022030121294,13.180576474011186,4.149643827201754,24.534935047482083,-48.21936293580459,0.7063487336597399
随机,35,50,验证期16-25,22.28097968121203,16.71788357164996,5.563096109562071,17.166516445765133,-23.138198939241228,1.2979325043380368
随机,35,50,全期21年,19.375534557796815,13.87729866142684,5.498235896369974,21.1392760053514,-48.21936293580459,0.9165656644481062
50池-NONE,35,50,训练期05-15,18.464697577543877,14.46687199574832,3.9978255817955555,22.490646002277394,-46.40621901434697,0.8209945403824394
50池-NONE,35,50,验证期16-25,21.2843003319243,25.906040783769456,-4.621740451845158,16.17050031263851,-22.918362957137372,1.3162425355070155
50池-NONE,35,50,全期21年,19.171221776509118,16.51995502344974,2.651266753059378,19.49027339631161,-46.40621901434697,0.9836302132189243
50池-CONTR,35,50,训练期05-15,18.406539184900673,14.46687199574832,3.9396671891523516,22.985318929062483,-46.34652192553246,0.8007954660845522
50池-CONTR,35,50,验证期16-25,20.3420129863491,25.906040783769456,-5.564027797420357,17.479024887040378,-22.866584320055715,1.1637956417941513
50池-CONTR,35,50,全期21年,18.74726211754605,16.51995502344974,2.227307094096309,20.40130557284833,-46.34652192553246,0.9189246271815266
50池-MOM,35,50,训练期05-15,20.122477763671288,14.46687199574832,5.6556057679229665,22.264264624305714,-45.56874605342649,0.9038015898222727
50池-MOM,35,50,验证期16-25,22.571627851109135,25.906040783769456,-3.3344129326603245,15.955038771554106,-21.60064293481576,1.4147021623884488
50池-MOM,35,50,全期21年,20.681795434254944,16.51995502344974,4.1618404108052065,19.26881195824436,-45.56874605342649,1.0733300775923564
50池-ADAPT,35,50,训练期05-15,19.36725795973704,14.46687199574832,4.900385963988718,22.749241749916084,-46.40621901434697,0.8513364169515003
50池-ADAPT,35,50,验证期16-25,23.68048626532677,25.906040783769456,-2.225554518442685,17.05760094245483,-22.866584320055683,1.3882659317224486
50池-ADAPT,35,50,全期21年,21.367934229012462,16.51995502344974,4.847979205562725,20.190941583941708,-46.40621901434697,1.0582931033789351
