类型,波动档,N,窗口,净CAGR,死拿,超额pp,波动,回撤,夏普
全池,30,116,训练期05-15,13.610677515217496,11.006925264897593,2.6037522503199018,22.849271808517184,-49.83268860417611,0.5956722660257403
全池,30,116,验证期16-25,19.517035371415336,21.814690480926213,-2.2976551095108766,17.208554262802583,-24.825800461725798,1.134147301008469
全池,30,116,全期21年,16.31440752057749,14.38501385948232,1.929393661095169,20.154439110684887,-49.83268860417611,0.809469687098779
全池,35,70,训练期05-15,16.2706374900359,12.383951984378005,3.886685505657894,25.557843704765972,-52.85910083838409,0.636620118582296
全池,35,70,验证期16-25,22.655017010056145,24.113963621369926,-1.4589466113137828,17.603011708936737,-24.73193786516108,1.286996644929492
全池,35,70,全期21年,19.286160600734714,15.310681664883251,3.975478935851462,21.82970109606854,-52.85910083838409,0.8834825779730026
全池,40,48,训练期05-15,19.45207111120746,13.96575980467496,5.486311306532499,27.589500014494593,-56.47576127938096,0.705053411659798
全池,40,48,验证期16-25,25.236885608849224,26.84119862782357,-1.604313018974346,19.421860791983296,-26.786713768872104,1.2994061629391442
全池,40,48,全期21年,21.849035310729036,16.5683154137658,5.280719896963237,23.741840028588143,-56.47576127938096,0.9202755677074762
全池,45,30,训练期05-15,21.57591597460391,13.979116027906757,7.5967999466971525,29.593153162532303,-58.34264962848466,0.729084726325177
全池,45,30,验证期16-25,25.699781081407313,30.718117491581754,-5.01833641017444,19.39623436047018,-27.232645037925472,1.3249881705793294
全池,45,30,全期21年,23.44232862881428,17.478004184433882,5.964324444380398,24.816450459665766,-58.34264962848466,0.9446285908984103
贪心分散,30,20,训练期05-15,17.83204241375753,10.621531322381173,7.210511091376359,13.76841256201176,-17.123798065613204,1.2951414938681949
贪心分散,30,20,验证期16-25,19.885544455441796,14.305251254750218,5.580293200691577,11.891336492577883,-12.594436812340904,1.6722716128547528
贪心分散,30,20,全期21年,18.89927355613432,12.202772745239955,6.696500810894368,13.085321976083323,-17.123798065613204,1.444310930268085
随机,30,20,训练期05-15,15.697667879287746,13.555834157203073,2.141833722084674,26.29370470335607,-55.58316919286964,0.5970124049230738
随机,30,20,验证期16-25,18.878009997853873,18.609741411664203,0.2682685861896683,19.138216267251625,-25.97420381660598,0.9864038390117367
随机,30,20,全期21年,16.593408269922616,15.16202480126192,1.4313834686606963,23.15162428289859,-55.58316919286964,0.7167276069774364
贪心分散,30,30,训练期05-15,18.500653174775582,12.35469935044975,6.145953824325834,14.819882504606271,-25.979175011384413,1.2483670615489202
贪心分散,30,30,验证期16-25,20.45610223184933,16.4896674632772,3.9664347685721246,12.869806113354908,-16.607152967160822,1.589464678152546
贪心分散,30,30,全期21年,19.696938061338145,12.955792986685989,6.741145074652155,14.090915085004275,-25.979175011384413,1.3978466226299149
随机,30,30,训练期05-15,10.861762600359025,10.481946628099003,0.3798159722600225,21.082605489385166,-48.48664513738542,0.5152002016936564
随机,30,30,验证期16-25,14.82349632751838,14.947048289859687,-0.12355196234130617,16.08684903911539,-21.022881909199153,0.9214667391653176
随机,30,30,全期21年,12.13214114168304,12.121110069250584,0.011031072432454714,18.67635024226948,-48.48664513738542,0.6495991446029333
贪心分散,30,50,训练期05-15,18.427863373316143,14.11984079999673,4.308022573319414,16.632307836487517,-32.02480900876409,1.1079558864879584
贪心分散,30,50,验证期16-25,22.71411327862136,25.368465322761068,-2.6543520441397073,14.952573741325542,-17.377557235601515,1.519077161669143
贪心分散,30,50,全期21年,20.581434585107683,16.309243906904225,4.272190678203458,15.976209954475213,-32.02480900876409,1.2882551395953874
随机,30,50,训练期05-15,14.171575002917214,10.941262937163131,3.230312065754082,23.875392963537717,-51.90127629456398,0.5935640525188387
随机,30,50,验证期16-25,20.23621424696622,18.493256424766514,1.7429578221997089,16.69460275283315,-21.010617986743796,1.2121411061147918
随机,30,50,全期21年,17.34374067728963,13.654943026757426,3.688797650532205,20.516536281977164,-51.90127629456398,0.8453542273860969
贪心分散,35,20,训练期05-15,21.63418354727171,13.18349836286863,8.450685184403085,17.450489744254686,-27.408184519892366,1.2397464979110082
