波动档,N,策略,窗口,净CAGR,死拿,超额pp,波动,回撤,夏普
30,20,A 随机,训练期05-15,21.854313038004403,17.696454663005202,4.1578583749992015,22.13513455966707,-40.920531100593514,0.9873133130993313
30,20,A 随机,验证期16-25,15.0367785538982,11.317466755764594,3.7193117981336066,16.616882655876,-24.804406867945506,0.9049097153358635
30,20,A 随机,全期21年,17.478569368533094,13.172384414297579,4.306184954235515,19.640595116664105,-40.920531100593514,0.889920558145581
30,20,B 波动最高,训练期05-15,26.226129451073987,16.359874762297167,9.86625468877682,31.79374332496579,-61.978353851783275,0.8248833483687378
30,20,B 波动最高,验证期16-25,23.51710668694693,33.35135818588226,-9.83425149893533,19.655245116202476,-30.918657017140372,1.1964799496476894
30,20,B 波动最高,全期21年,23.447891767562858,18.59636110217986,4.851530665382997,26.420121089708186,-61.978353851783275,0.8875012982698576
30,20,C 最小相关贪心,训练期05-15,17.83204241375753,10.621531322381173,7.210511091376359,13.76841256201176,-17.123798065613204,1.2951414938681949
30,20,C 最小相关贪心,验证期16-25,19.885544455441796,14.305251254750218,5.580293200691577,11.891336492577883,-12.594436812340904,1.6722716128547528
30,20,C 最小相关贪心,全期21年,18.89927355613432,12.202772745239955,6.696500810894368,13.085321976083323,-17.123798065613204,1.444310930268085
30,20,D 最大γ*贪心,训练期05-15,20.885495054964153,9.944357365608614,10.94113768935554,25.575114730239974,-45.3777896502275,0.8166334843561495
30,20,D 最大γ*贪心,验证期16-25,26.8114554127858,34.13335688619787,-7.3219014734120735,17.010087067154657,-18.759783059912273,1.5762091814660333
30,20,D 最大γ*贪心,全期21年,22.587077185190708,18.365762384259867,4.221314800930842,21.907193895766518,-45.3777896502275,1.0310347045203072
30,20,E 类别均衡,训练期05-15,19.23052427562013,11.94404204692936,7.286482228690772,18.668672341926616,-33.63280081345448,1.0300959770144817
30,20,E 类别均衡,验证期16-25,26.01747039269826,19.382926442016448,6.634543950681815,17.939564477744042,-23.92988158535677,1.4502843937474474
30,20,E 类别均衡,全期21年,22.528600869860593,13.97137177282033,8.557229097040263,18.772300368987015,-33.63280081345448,1.200098039507146
30,30,A 随机,训练期05-15,13.231425701514699,9.562146146876383,3.669279554638316,24.298163586454226,-52.49190852486984,0.5445442679005985
30,30,A 随机,验证期16-25,20.84327697576431,19.601651288677814,1.2416256870865006,19.984271033031796,-25.71705773372519,1.042984101912583
30,30,A 随机,全期21年,16.908854520921768,13.140757562929117,3.7680969579926504,22.30252879427939,-52.49190852486984,0.7581586230373525
30,30,B 波动最高,训练期05-15,21.57591597460391,13.979116027906757,7.5967999466971525,29.593153162532303,-58.34264962848466,0.729084726325177
30,30,B 波动最高,验证期16-25,25.699781081407313,30.718117491581754,-5.01833641017444,19.396234360470185,-27.232645037925487,1.324988170579329
30,30,B 波动最高,全期21年,23.44232862881428,17.478004184433882,5.964324444380398,24.816450459665766,-58.34264962848466,0.9446285908984103
30,30,C 最小相关贪心,训练期05-15,18.500653174775582,12.35469935044975,6.145953824325834,14.819882504606271,-25.979175011384413,1.2483670615489202
30,30,C 最小相关贪心,验证期16-25,20.45610223184933,16.4896674632772,3.9664347685721246,12.869806113354908,-16.607152967160822,1.589464678152546
30,30,C 最小相关贪心,全期21年,19.696938061338145,12.955792986685989,6.741145074652155,14.090915085004275,-25.979175011384413,1.3978466226299149
30,30,D 最大γ*贪心,训练期05-15,18.082062793569833,10.216027021474616,7.8660357720952145,24.752719136280867,-46.128803584300556,0.7305081390862778
30,30,D 最大γ*贪心,验证期16-25,25.62414620256217,30.528655031884888,-4.904508829322718,16.873193054043963,-21.0551099390212,1.518630535458781
30,30,D 最大γ*贪心,全期21年,22.036481938434527,16.984507124443237,5.051974813991289,21.097417478843056,-46.128803584300556,1.044510872505281
30,30,E 类别均衡,训练期05-15,20.432074952583257,13.422642597260804,7.009432355322454,18.409500740978725,-32.15679477534491,1.1098657828945013
30,30,E 类别均衡,验证期16-25,20.849499699274364,17.36831111970316,3.481188579571204,16.816984445854047,-20.907761494730515,1.2397882489814913
30,30,E 类别均衡,全期21年,20.503577515763304,13.444467950038552,7.059109565724753,17.878247732167374,-32.15679477534491,1.146844915839952
30,50,A 随机,训练期05-15,15.951568389338245,12.499305705894725,3.452262683443519,21.154082120663602,-44.49711811725191,0.754065730592798
30,50,A 随机,验证期16-25,19.513353658166732,15.576687015849755,3.936666642316977,15.76850138884425,-20.78942163858326,1.237489421282092
30,50,A 随机,全期21年,17.36984560014456,13.330330312501326,4.039515287643236,18.615695054051564,-44.49711811725191,0.93307531895588
30,50,B 波动最高,训练期05-15,18.99632279556176,13.714833638397339,5.281489157164421,27.61668390776917,-56.973625614000966,0.6878567629264745
30,50,B 波动最高,验证期16-25,25.162617928547682,26.62683938214141,-1.4642214535937281,19.323247575455877,-26.37788854043739,1.3021940452964487
30,50,B 波动最高,全期21年,21.591387754278536,16.438200823000116,5.1531869312784195,23.715038446063787,-56.973625614000966,0.9104513072321107
30,50,C 最小相关贪心,训练期05-15,18.427863373316143,14.11984079999673,4.308022573319414,16.632307836487517,-32.02480900876409,1.1079558864879584
30,50,C 最小相关贪心,验证期16-25,22.71411327862136,25.368465322761068,-2.6543520441397073,14.952573741325542,-17.377557235601515,1.519077161669143
30,50,C 最小相关贪心,全期21年,20.581434585107683,16.309243906904225,4.272190678203458,15.976209954475213,-32.02480900876409,1.2882551395953874
30,50,D 最大γ*贪心,训练期05-15,18.699253464548505,12.572823079767481,6.126430384781023,23.393562526389367,-46.02557864829251,0.7993332970749797
30,50,D 最大γ*贪心,验证期16-25,24.893684017156524,26.159912469529047,-1.2662284523725198,17.451022465284595,-23.457591465548987,1.4264885663105216
30,50,D 最大γ*贪心,全期21年,21.14325400625927,15.743075936909111,5.400178069350159,20.55555700424751,-46.02557864829251,1.0285906629477528
30,50,E 类别均衡,训练期05-15,18.041616330142297,14.367393184723,3.6742231454192975,18.61140601105563,-36.78068200281699,0.9693849201626752
30,50,E 类别均衡,验证期16-25,21.114036815940818,16.918055185863334,4.195981630077483,14.879136246415886,-18.6361438114906,1.419036459258635
30,50,E 类别均衡,全期21年,19.689662522011364,14.47724805978179,5.212414462229575,16.93640536560908,-36.78068200281699,1.1625644342448855
35,20,A 随机,训练期05-15,17.357082790222055,13.634367809420267,3.722714980801789,28.587169996437424,-55.050759470819145,0.6071633810686794
35,20,A 随机,验证期16-25,21.860475159494275,33.419149127497775,-11.558673968003497,19.369565540629818,-28.45138325607257,1.1285991476494142
35,20,A 随机,全期21年,19.304367784731635,18.620110876741556,0.6842569079900773,24.373926060455055,-55.050759470819145,0.7920089581321733
35,20,B 波动最高,训练期05-15,26.226129451073987,16.359874762297167,9.86625468877682,31.79374332496579,-61.978353851783275,0.8248833483687378
35,20,B 波动最高,验证期16-25,23.51710668694693,33.35135818588226,-9.83425149893533,19.655245116202476,-30.918657017140372,1.1964799496476894
35,20,B 波动最高,全期21年,23.447891767562858,18.59636110217986,4.851530665382997,26.420121089708186,-61.978353851783275,0.8875012982698576
35,20,C 最小相关贪心,训练期05-15,21.63418354727171,13.18349836286863,8.450685184403085,17.450489744254686,-27.408184519892366,1.2397464979110082
35,20,C 最小相关贪心,验证期16-25,24.00212531588164,19.309312783979937,4.692812531901702,14.589410811130179,-15.046904007427674,1.645174409481331
35,20,C 最小相关贪心,全期21年,23.21965822438756,15.316044283599473,7.90361394078809,16.408791696986498,-27.408184519892366,1.41507422686412
35,20,D 最大γ*贪心,训练期05-15,23.022307642310146,11.525231106376843,11.497076535933303,26.356876023848265,-46.269829776719526,0.873483929638667
35,20,D 最大γ*贪心,验证期16-25,26.660781970323445,34.16100503904749,-7.500223068724043,17.825236084005137,-23.586045451598213,1.4956762336655154
35,20,D 最大γ*贪心,全期21年,23.551018473180395,18.52602072460914,5.024997748571258,22.744403345757288,-46.269829776719526,1.0354643344633427
35,20,E 类别均衡,训练期05-15,20.171322066733754,11.935110029805163,8.236212036928592,22.213333247500504,-38.64534340751412,0.9080727256006695
35,20,E 类别均衡,验证期16-25,23.44409645506047,19.53657070609274,3.907525748967733,18.494821577895834,-18.943288242264856,1.2676032778320925
35,20,E 类别均衡,全期21年,21.103944828829423,14.321602223337738,6.782342605491687,20.685476341824675,-38.64534340751412,1.0202300628754983
35,30,A 随机,训练期05-15,17.897404246153805,14.85235985687905,3.0450443892747536,24.964630594663323,-52.466580394363625,0.716910437680569
35,30,A 随机,验证期16-25,23.805730918788992,19.015378836892726,4.790352081896265,18.2494742336466,-22.04638459737991,1.3044611923612741
35,30,A 随机,全期21年,20.347991262596942,14.711311522889648,5.636679739707295,21.906778262921677,-52.466580394363625,0.9288445347090102
35,30,B 波动最高,训练期05-15,21.57591597460391,13.979116027906757,7.5967999466971525,29.593153162532303,-58.34264962848466,0.729084726325177
35,30,B 波动最高,验证期16-25,25.699781081407313,30.718117491581754,-5.01833641017444,19.396234360470185,-27.232645037925487,1.324988170579329
