strength,lookback,slow,验证期净,验证期增量,全期净,全期增量,胜率
0.2,12,36,24.881729777624642,0.7299276744316643,22.756863239491274,0.8340714370668607,75.66666666666667
0.2,24,60,24.58756942870054,0.4357673255075625,22.53526076411523,0.6124689616908157,73.33333333333333
0.2,36,84,24.316489438916033,0.16468733572305538,22.361946640794415,0.43915483837000124,56.666666666666664
0.35,12,36,25.31140585362196,1.1596037504289818,23.279134124345436,1.3563423219210229,75.66666666666667
0.35,24,60,24.974146432589052,0.8223443293960742,22.905288374352615,0.982496571928202,72.66666666666667
0.35,36,84,24.327930747611614,0.17612864441863607,22.664765193302816,0.7419733908784032,56.00000000000001
0.5,12,36,25.857678396316054,1.705876293123076,23.81759914615651,1.8948073437320971,75.33333333333333
0.5,24,60,25.37679006291387,1.2249879597208917,23.382093313712616,1.4593015112882028,72.33333333333334
0.5,36,84,24.389544502801364,0.23774239960838628,23.03522966289068,1.1124378604662652,55.00000000000001
