标的,γ预测,CAGR,持有,超额,波动,回撤,夏普
"VRTX,HL,1211_HK,STX",9.010076976863449,29.468418813651986,16.981945359872917,12.486473453779068,32.93461387771224,-52.62027196197945,0.8947552542461741
"1211_HK,HL,AMD_US,AMZN",8.699811662093135,29.43275368927838,21.75425639387072,7.67849729540766,32.70571675536578,-54.06547863962749,0.8999268815733742
"HL,ENTG,1211_HK,MNST",8.4611211587305,28.85401413697073,21.094916618885897,7.759097518084834,34.388439522386825,-63.42993536405199,0.839061456050857
"AMD_US,1211_HK,HL,META",9.092750418619477,26.195843806103557,24.57844934059994,1.6173944655036188,45.96020587385697,-44.509212807409156,0.5699679387425078
"2333_HK,RCL,HL,REGN",8.693125607781468,26.034568103691424,19.125867365770333,6.908700737921092,43.68973215318434,-55.94023186314572,0.5958967203646244
"HL,VRTX,RCL,2333_HK",8.53159116316753,25.908399187752963,16.18347163162186,9.724927556131103,31.797360932661505,-56.54961756140872,0.8147971538462006
"1211_HK,MU,REGN,HL",8.979751592576852,25.893847446023123,20.020548378286396,5.873299067736726,43.401110196587624,-55.73299686926926,0.5966171678267116
"2020_HK,REGN,WLDN,HL",8.449586198247902,25.13119019638004,17.706944269381843,7.424245926998196,32.996985661325425,-55.46620210461379,0.7616207872537702
"RCL,HTHT,AMD_US,REGN",8.518607523208463,24.55140706842385,20.29160832563177,4.259798742792076,37.27437682520034,-56.05291687160769,0.6586671370405102
"HL,AMD_US,2020_HK,REGN",8.763039700895039,24.165742471299232,18.095027477989746,6.0707149933094895,39.647042408487245,-55.07335892541112,0.6095219467398676
