标的,γ预测,CAGR,持有,超额,波动,回撤,夏普
"AMD,921_HK,1211_HK,FANG",8.511295872731262,35.392317255693875,31.45843759222242,3.9338796634714512,29.646007434188743,-42.4128051618655,1.1938308163168811
"AMD_US,1211_HK,HL,META",9.092750418619477,32.43096132364946,24.57844934059994,7.852511983049526,31.94236485216731,-45.15452937881533,1.0152961896761066
"WLDN,FANG,FSLR,ENTG",8.567454787263399,31.935712435661536,27.67844377268962,4.257268662971914,30.415333596295397,-43.62246583722823,1.0499872485222823
"FSLR,FANG,HL,WLDN",9.027808348140452,30.101269712371924,26.89276005253194,3.2085096598399865,33.875412619591536,-51.916835268412534,0.8885875443171172
"RCL,HTHT,AMD_US,REGN",8.518607523208463,28.53839895825836,20.29160832563177,8.246790632626588,28.158821044509942,-29.542716593603068,1.0134798936769558
"1211_HK,AMD_US,921_HK,ENTG",8.754196299112747,27.06097385762616,17.739782248781633,9.321191608844526,36.48433770444486,-62.341046169173254,0.7417148168302734
"1211_HK,MU,REGN,HL",8.979751592576852,26.8473628596144,20.020548378286396,6.826814481328003,31.024160818059848,-49.58197778911705,0.8653695104618578
"AMD,MNST,FSLR,1211_HK",8.76637464547168,26.614576003279723,18.16520953022711,8.44936647305261,31.688419335082358,-54.73530623103491,0.8398833568140344
"1211_HK,HL,AMD_US,AMZN",8.699811662093135,26.544564403737645,21.75425639387072,4.790308009866928,34.249455119919524,-58.71335512304583,0.7750361081890408
"AMD,MNST,WLDN,1211_HK",8.735967580862253,26.459167236946037,18.21340223852865,8.245764998417382,30.606753414017252,-60.05338043365557,0.8644878755689355
