现有 A股 0 列 | 待抓 143
 95/143 sz000001 平安银行        1088周 2005-01-07~2026-09-09
 96/143 sh600036 招商银行        1096周 2005-01-07~2026-09-09
 97/143 sh601318 中国平安         991周 2007-03-02~2026-09-09
 98/143 sh600030 中信证券        1097周 2005-01-07~2026-09-09
 99/143 sh601166 兴业银行        1000周 2007-02-09~2026-09-09
100/143 sz000776 广发证券         919周 2005-01-07~2026-09-09
101/143 sh600837 海通证券        1002周 2005-01-07~2025-02-05
102/143 sh600000 浦发银行        1094周 2005-01-07~2026-09-09
103/143 sz300059 东方财富         835周 2010-03-19~2026-09-09
104/143 sh600570 恒生电子        1092周 2005-01-07~2026-09-09
105/143 sz002230 科大讯飞         928周 2008-05-16~2026-09-09
106/143 sh601688 华泰证券         847周 2010-02-26~2026-09-09
107/143 sh601788 光大证券         874周 2009-08-21~2026-09-09
108/143 sz002736 国信证券         597周 2014-12-31~2026-09-09
109/143 sh601633 长城汽车         761周 2011-09-30~2026-09-09
110/143 sh600104 上汽集团        1092周 2005-01-07~2026-09-09
111/143 sh601127 赛力斯          521周 2016-06-17~2026-09-09
112/143 sh600066 宇通客车        1096周 2005-01-07~2026-09-09
113/143 sh600031 三一重工        1104周 2005-01-07~2026-09-09
114/143 sz002008 大族激光        1095周 2005-01-07~2026-09-09
115/143 sh601766 中国中车         908周 2008-08-22~2026-09-09
116/143 sz300450 先导智能         550周 2015-05-22~2026-09-09
117/143 sh600150 中国船舶        1075周 2005-01-07~2026-09-09
118/143 sz002050 三花智控        1049周 2005-06-10~2026-09-09
119/143 sh601100 恒立液压         755周 2011-10-28~2026-09-09
120/143 sz002472 双环传动         820周 2010-09-10~2026-09-09
  --- 阶段存盘: A股 120 列 ---
121/143 sz002027 分众传媒        1084周 2005-01-07~2026-09-09
122/143 sh600637 东方明珠        1028周 2005-01-07~2026-09-09
123/143 sz300413 芒果超媒         544周 2015-01-23~2026-09-09
124/143 sh603000 人民网          737周 2012-04-27~2026-09-09
125/143 sz002739 万达电影         508周 2015-01-23~2026-09-09
126/143 sh600845 宝信软件        1089周 2005-01-07~2026-09-09
127/143 sz300454 深信服          426周 2018-05-18~2026-09-09
128/143 sh688111 金山办公         349周 2019-11-22~2026-09-09
129/143 sz300496 中科创达         539周 2015-12-11~2026-09-09
130/143 sh600588 用友网络        1100周 2005-01-07~2026-09-09
131/143 sz002410 广联达          829周 2010-05-28~2026-09-09
132/143 sh600346 恒力石化        1046周 2005-01-07~2026-09-09
133/143 sz002648 卫星化学         751周 2011-12-30~2026-09-09
134/143 sh603260 合盛硅业         454周 2017-11-03~2026-09-09
135/143 sz002064 华峰化学        1024周 2006-08-25~2026-09-09
136/143 sh600426 华鲁恒升        1100周 2005-01-07~2026-09-09
137/143 sh688065 凯赛生物         311周 2020-08-14~2026-09-09
138/143 sz002497 雅化集团         802周 2010-11-12~2026-09-09
139/143 sh600900 长江电力        1025周 2005-01-07~2026-09-09
140/143 sh601985 中国核电         576周 2015-06-12~2026-09-09
141/143 sh003816 中国广核       ERR 数据过少
142/143 sz003035 南网能源         289周 2021-01-22~2026-09-09
143/143 sh600025 华能水电         448周 2017-12-15~2026-09-09

成功 142 / 失败 1
A股面板: (1598, 142)
失败: sh003816
