q,tr_cagr,tr_vol,tr_g,tr_pvol,va_cagr,va_hold,va_ex,va_vol,va_g,va_pvol,va_sharpe,va_mdd
"1171_HK,ADBE,EQIX,MOS",12.336685038410966,27.97505935505073,3.3668559205333035,37.95211113387887,14.307364877960937,12.523646946101819,1.783717931859119,17.98563774866028,3.331773212827989,30.6564964019285,0.7954883267359629,-22.917864308837487
"BANANA_US,DRI,MNST,SLB",19.656945036209137,20.40019431427569,4.4142387586373,35.74899117534605,8.02081631075362,7.269127004948195,0.7516893058054253,19.841634508122652,3.111292369908537,30.62265110291741,0.4042417124189091,-41.176382328838756
"3328_HK,GS,VLO,WDC",12.979714669590647,26.842530119889247,3.3673104288078863,37.191364244388595,16.955378923837117,14.41453303967679,2.5408458841603254,26.82305218301003,3.4939559059796843,34.77209577296827,0.6321196711005472,-42.7325353203011
"1088_HK,921_HK,RUB_RSS3,WIT",12.350095755924428,25.746154369915164,4.499979311220413,38.490390232738314,14.06939506653826,14.803840019080372,-0.7344449525421126,15.677917774479916,3.1622079712761373,27.768807061051383,0.8974020191278229,-25.22513176865282
"2333_HK,DAP,SCCO,STLD",19.47518259235772,28.794187085071638,5.421374640494649,43.20375271596292,19.797809128493206,17.67936943853512,2.118439689958085,21.498643060265817,4.083524246935774,34.86603965516973,0.9208864519028123,-39.0177745630162
"2382_HK,GS,NVDA,TER",9.753935467754737,31.07809948483064,4.372777849153091,42.5883181980227,39.02428895544345,53.396373435116004,-14.372084479672553,30.091262282898956,5.053776112192001,43.1263593515988,1.2968644714389794,-49.925718588697755
"BKR,DE,MNST,NDAQ",21.120015571532115,23.70477990378756,3.9983948092561428,36.70161193993239,15.483487584873634,14.415132558889376,1.0683550259842578,20.092775718127665,2.727900618306079,29.60410835620025,0.7705997320671061,-28.895268110861217
"1093_HK,BG,CAT,GS",9.143731446639446,26.23913748776903,3.15001638827066,36.01124238925312,17.31395985980695,17.31100062167603,0.002959238130917363,19.69872493891451,2.4253953447531873,29.582383679640103,0.8789380994707685,-32.369352696979625
"FXI,KCL,SQM,STLD",11.938017309987071,24.6046595731281,4.504985399782437,38.52895204931045,15.311923853465292,15.341170179887097,-0.02924632642180569,20.947454033104542,4.0106665588571975,34.360633483758406,0.7309682517630507,-39.58815325071158
"1919_HK,AMZN,CAT,MTRN",16.9845656770798,32.24586944704569,5.845729875710369,46.28726490932896,26.267480275552323,22.824897980572167,3.4425822949801566,22.251116823357865,3.300750451282512,33.79096967311575,1.1805016567967648,-27.44023500956979
"1398_HK,3898_HK,MCO,TCOM",16.912038519259198,30.23819915516618,4.857218017156455,42.38062873386127,11.187048692853052,10.099575982758191,1.0874727100948611,15.21848472120971,3.0415835712231685,27.18047139824367,0.7350960951626069,-23.11911101245797
"1919_HK,688_HK,RUB_RSS3,SCCO",16.20313210960147,29.057629752351747,4.975218357501718,41.825475921760216,14.641560850090695,15.513897945221068,-0.872337095130371,20.04882699480155,2.916862212421128,30.66238498075238,0.7302951366624639,-28.922827131590033
"1088_HK,AMAT,SQM,STX",10.567103727286042,28.473260833968244,4.279111826302685,39.69030345429295,26.186048119876038,23.705629350844703,2.480418769031334,25.457733905240616,3.9997302001458483,35.895969949361536,1.0286087605969318,-28.224636610461918
"1093_HK,AAPL,AMAT,DRI",17.261672309725572,23.43571192998541,3.719040167600479,35.61912929177466,23.68480558872188,23.350915029193086,0.3338905595287933,22.509853028505443,3.0978037996226804,33.28006184000396,1.0521972559629122,-30.631832646970146
"2899_HK,ICE,SLB,SQM",15.787912090389856,28.141308206700543,4.661151121591268,40.795460426615335,16.630245858575154,19.11998905473773,-2.489743196162575,23.926825959335893,3.729129934073072,35.10856664886111,0.6950460494358333,-44.31528356455341
"1171_HK,3898_HK,CME,SQM",10.514951466049304,26.864167040211097,5.045115609383709,41.259423956826744,15.791980379665516,13.622084810540947,2.169895569124569,17.121934969548526,3.6861481084131826,30.808162880495814,0.9223245157601437,-32.066329459003725
"2018_HK,EME,GS,ON",17.17628323213183,31.166739179916092,3.6676811622375114,40.83216857794786,21.12098273266525,21.321078648671545,-0.20009591600629317,26.217768846217552,3.664053236309059,37.076094053617155,0.8055980223394327,-47.54164641445667
"2333_HK,2628_HK,EQIX,RUB_RSS3",21.81716277639161,25.364659210734864,4.367702182054069,38.00625693514873,10.618233641793084,7.833488811012579,2.7847448307805056,17.31679219200819,2.9442913991972803,28.647010230578392,0.6131755537664456,-35.7442630791038
"LRCX,MAR,MTRN,NVDA",12.428518251760433,31.524738198841874,3.5891047329136727,40.43176559229235,40.575156417299276,54.242356037703445,-13.667199620404169,31.621758531444392,3.706466389143274,41.54336102632463,1.2831404166517717,-35.516552676562426
"ADM,DAP,NTES,PALM_KERNEL_OI",14.215002114981878,18.273616268888944,4.123220828071037,33.811295643990306,12.679626121802578,10.403211243482735,2.2764148783198435,16.218732519286547,3.035614369251308,28.90497327933148,0.7817889657360443,-34.39396106201635
"1138_HK,1398_HK,27_HK,BLK",12.126987278884393,29.49921668511634,4.23909469694761,40.02242250316056,10.198217643996998,8.588234417940344,1.609983226056655,14.500567280890792,1.8952894911896723,23.28796102924154,0.7032978397635837,-19.82142194887315
"3328_HK,BANANA_US,ISRG,VRTX",22.309467662312564,21.5942265319731,5.797340585361443,39.68893334448559,14.306487263403245,15.96785292134193,-1.6613656579386848,13.415857878929845,1.765925929321769,22.198066442633177,1.0663863162915708,-12.104978896020524
"2333_HK,AMZN,AXP,ICE",28.62870424739623,27.6853835794386,5.147616834551296,41.74162214909383,20.107567828806094,17.823810892182944,2.283756936623149,18.856241987928954,3.2210916807210332,30.632640163674278,1.0663613588369407,-40.278033541830474
"2333_HK,AVAV,MOS,WIT",15.039111070910849,27.36662399046829,5.607415657680552,42.75931031715532,14.762403777086842,14.029716457460516,0.7326873196263239,23.759958113598728,5.774839197336748,40.83565866472585,0.6213143855938769,-42.31093440075333
"2319_HK,ALB,CF,STLD",19.96638670234443,31.407222618183294,3.637308975168401,41.252970264733776,17.430596423699264,15.465726025644354,1.9648703980549076,25.584730654107013,4.310805032639441,38.56530335102397,0.6812890336565338,-41.407645518194016
"2318_HK,2319_HK,BLK,CME",17.983697411125842,26.01184397702537,3.1770815765636145,36.06201602600675,11.803763709938764,10.234234049492375,1.5695296604463893,16.587429256464105,1.8449828253233054,25.087679613826918,0.7116089857829445,-33.18778424335537
"BIIB,CRM,MKSI,STZ",21.637050698938864,23.32566579662551,3.5438918544675904,35.265421368172476,9.85805521123857,9.739846582142597,0.11820862909597274,21.623855155280935,3.5441725226713836,33.43363981274908,0.4558879598687589,-37.50451925598915
"1171_HK,DE,LRCX,ORANGE",8.867873060588272,22.60119685194662,3.9320176973860184,35.897677827364866,23.597904854581444,25.757808008588356,-2.1599031540069147,17.68595811334214,3.489324329945657,31.132716831701885,1.3342734786180106,-20.70315567986113
"1171_HK,BKR,CDNS,PRU",4.7442275655625865,28.220014482088246,2.7489294837758207,36.53449154001751,17.340406213951297,19.917978657634716,-2.577572443683418,21.15272234709742,3.2779924020678584,32.531960889633574,0.8197718444657196,-34.272645951073386
"1088_HK,2331_HK,ALB,VLO",11.839925579561662,27.366216529651098,3.2884563204820707,37.3591953591159,18.60604375458632,13.410021415420692,5.196022339165629,22.704584535638872,5.227395291299614,37.171222337014,0.8194840000432879,-48.26754343535439
"EOG,KCL,MU,NDAQ",14.986731780047325,23.391823546832676,5.065009322852884,39.22963197156581,19.5002997073328,24.79372389639176,-5.2934241890589595,20.650036399771725,4.259563965220564,34.616564929846255,0.9443227764745424,-30.352468569446
"CAT,GOOGL,SBUX,SMCI",14.614913280254038,25.228153124708236,3.3494639816612897,35.62043516894592,25.750676920190152,22.393667886316983,3.3570090338731706,26.45195113590233,6.296005803591376,39.64022501822486,0.9734887527914581,-25.981535753030226
"688_HK,921_HK,BG,NTES",22.3903912129636,27.72585467694131,5.35909688259008,42.02772877878497,14.563557343837473,15.561174627310637,-0.9976172834731623,20.72305893772315,3.2432451274148537,31.96206478437545,0.7027706376555611,-27.636467369788342
"AEM,GOOGL,GS,MU",14.183084024841097,23.040867089706,5.334485097374732,39.167365101750526,29.595247131794732,28.56419468931135,1.0310524424833822,23.677427384280296,3.561755195097524,34.925123753382984,1.249935081690646,-30.331080401961785
"3968_HK,AEM,TER,WIT",10.055632778532342,28.246437034291418,4.706020790880775,41.58151541677479,19.490491847960435,18.603129473260417,0.8873623747000181,20.48474707310957,3.7819124826451196,33.90092359403134,0.9514636318622504,-40.00053172562396
"ASML,EOG,GOOGL,KLAC",15.326731810312587,24.705922069631335,2.3781131004453426,32.9744995847221,25.414801022846014,26.60111369793232,-1.1863126750863096,25.95172545719473,2.597314542247462,34.2998646929412,0.979310646021039,-30.631665212414795
"1211_HK,EQIX,KCL,SLB",19.00744481473804,24.60681601648306,5.974150497732328,40.99190865721779,11.935478270545929,11.93024297523193,0.005235295313998911,18.480929750398055,5.136219059920723,35.82084380375675,0.6458267214769784,-30.501312548859882
"1211_HK,AMZN,KLAC,SWKS",25.917361460340913,29.95615383543787,6.2303243320880926,45.404530063836724,23.6956482651024,24.69879947046556,-1.003151205363162,24.523590490360917,3.8612505208603225,36.646578393539265,0.9662389475316046,-35.207375195011636
"1211_HK,2899_HK_ZIJIN,ADBE,FICO",21.006959367463352,30.474713088567785,6.200373229416342,45.25010065945722,30.153279411534474,27.247598519880324,2.90568089165415,22.760571082273078,4.1949896844811745,36.443043656008825,1.32480328821886,-29.00727339583945
"1138_HK,1919_HK,NDAQ,ORANGE",8.943681652454515,25.6026834350484,5.490693945139744,40.753255234204005,15.563310265572738,15.037873648661048,0.5254366169116897,15.644305762642071,3.078304154318056,28.60953301660337,0.9948226851163477,-22.339221636247252
"2331_HK,27_HK,MAR,WDC",16.131218523853974,29.68889393681155,5.178401269921733,42.85774084095422,20.862382107571765,15.988937575714779,4.873444531856985,26.757546908560336,5.1861199622206176,41.27054901639309,0.7796821651426283,-32.43952880774873
"CDNS,INFY,MU,SCCO",10.08316961537734,26.40655363383629,3.847583757110041,37.72546218789455,27.964590451573535,29.63073675115282,-1.6661462995792853,24.855428073387234,3.177570494251588,34.65214741734092,1.125089874493664,-29.223842869598805
"2333_HK,CAT,EOG,MSACSR",17.293095765768186,23.975777267819808,4.816944248203487,38.2945452205529,15.827671756727657,14.383071481530374,1.444600275197283,18.551460354423554,4.897429441368982,36.06148413787656,0.8531765938821945,-28.776409454944506
"2331_HK,EME,KLAC,SCCO",12.26701727307744,28.865692907160096,3.2792733711886055,38.52077647102556,30.26314746037324,27.436952147797932,2.826195312575308,23.44181624659245,3.912872683631126,36.23537796235925,1.2909898764679701,-25.945139081707126
"1088_HK,AVAV,HAL,PLD",4.09266778513262,23.480989001952384,3.566015487971582,35.570497906130235,17.617753072320717,16.167406550430876,1.4503465218898448,22.301772475291788,4.7220300257931775,34.6332700901866,0.789970980640193,-40.27929232013099
"2318_HK,CF,EME,STZ",24.734496900186322,26.071926806440395,4.310406121431708,39.0393592604334,14.32061568767795,17.609376049509496,-3.288760361831544,20.317978673019407,2.329500814246837,29.302199777183464,0.7048248213142649,-33.53882904204697
