波动档,N,全期,训练期,验证期,死拿,超额,波动,回撤,夏普,标的
35,10,21.418450548738676,26.441756924428006,17.654820798927418,10.573941340130988,10.84450920860769,17.01012174424172,-24.68430873509434,1.2591591565762466,"FSLR,JBLU,sh600887,BANANA_US,RGLD,9984.T,TEA_KOLKATA,sh600637,ALK,ORANGE"
35,20,19.78563250847094,21.845409995481724,17.2822951542043,11.76141674911262,8.024215759358322,14.274527564089071,-20.875385014680926,1.3860796737151813,"FSLR,JBLU,sh600887,BANANA_US,RGLD,9984.T,TEA_KOLKATA,sh600637,ALK,ORANGE,KCL,2379.TW,DAL,sh600519,VLO,SQM,MNST,2454.TW,035420.KS,sh600967"
35,30,20.435644102268057,25.889124882767444,17.280735593055276,13.736478410250852,6.699165692017206,14.768982357164392,-23.882887660154385,1.3836866757684751,"FSLR,JBLU,sh600887,BANANA_US,RGLD,9984.T,TEA_KOLKATA,sh600637,ALK,ORANGE,KCL,2379.TW,DAL,sh600519,VLO,SQM,MNST,2454.TW,035420.KS,sh600967,1211_HK,AEM,NBIX,051910.KS,sh600276,921_HK,sh600132,MCRI,639_HK,sz002001"
35,50,21.576792185512872,27.20948632837066,18.721037856173627,14.323293283045558,7.253498902467315,15.797381624387317,-34.734173479849304,1.3658461065600611,"FSLR,JBLU,sh600887,BANANA_US,RGLD,9984.T,TEA_KOLKATA,sh600637,ALK,ORANGE,KCL,2379.TW,DAL,sh600519,VLO,SQM,MNST,2454.TW,035420.KS,sh600967,1211_HK,AEM,NBIX,051910.KS,sh600276,921_HK,sh600132,MCRI,639_HK,sz002001,096770.KS,IONS,HAL,sh600346,VRTX,EME,sh600196,sh600298,CRUS,27_HK,FICO,035720.KS,1093_HK,sz002027,AG,3008.TW,sh600845,NDAQ,sh600111,2331_HK"
35,80,22.553907482749924,26.67369463788283,21.72252143630624,17.786093146048486,4.767814336701437,19.753651446611425,-40.60869872605114,1.141758906889028,"FSLR,JBLU,sh600887,BANANA_US,RGLD,9984.T,TEA_KOLKATA,sh600637,ALK,ORANGE,KCL,2379.TW,DAL,sh600519,VLO,SQM,MNST,2454.TW,035420.KS,sh600967,1211_HK,AEM,NBIX,051910.KS,sh600276,921_HK,sh600132,MCRI,639_HK,sz002001,096770.KS,IONS,HAL,sh600346,VRTX,EME,sh600196,sh600298,CRUS,27_HK,FICO,035720.KS,1093_HK,sz002027,AG,3008.TW,sh600845,NDAQ,sh600111,2331_HK,SMCI,sh600521,000660.KS,ICE,sh600588,NOV,688_HK,sh600809,LSCC,1177_HK,sh600690,CF,NTES,CAT,1109_HK,NVDA,sz000768,2319_HK,3323_HK,UTHR,763_HK,817_HK,sz002050,ISRG,sz000651,MOS,1800_HK,sh600760,3383_HK,6301.T"
40,10,24.088721948805603,17.990549785063315,29.73317865853593,15.313931670032055,8.774790278773548,21.203124278330204,-37.291391283868144,1.136093041412039,"FSLR,sh600809,SMCI,sz002027,RGLD,9984.T,TEA_KOLKATA,MU,096770.KS,1211_HK"
40,20,25.40636819616484,30.20138645473405,23.933301024198173,16.42547168431672,8.980896511848124,17.72677921960074,-27.606961503451565,1.4332196436492353,"FSLR,sh600809,SMCI,sz002027,RGLD,9984.T,TEA_KOLKATA,MU,096770.KS,1211_HK,sh600132,AEM,NBIX,CRUS,sh600637,3008.TW,DAL,sz002001,MNST,921_HK"
40,30,25.101855170915456,32.06329688285577,22.015741708358448,16.161899442351093,8.939955728564364,17.750990106822623,-34.143074709104404,1.414110143707844,"FSLR,sh600809,SMCI,sz002027,RGLD,9984.T,TEA_KOLKATA,MU,096770.KS,1211_HK,sh600132,AEM,NBIX,CRUS,sh600637,3008.TW,DAL,sz002001,MNST,921_HK,sh600346,27_HK,sh600887,051910.KS,IONS,CF,LSCC,639_HK,VRTX,sh600967"
40,50,24.4261206939165,29.09270385495244,23.231593377034176,15.918166247751486,8.507954446165012,18.934253697954382,-43.18531840211147,1.2900492981434724,"FSLR,sh600809,SMCI,sz002027,RGLD,9984.T,TEA_KOLKATA,MU,096770.KS,1211_HK,sh600132,AEM,NBIX,CRUS,sh600637,3008.TW,DAL,sz002001,MNST,921_HK,sh600346,27_HK,sh600887,051910.KS,IONS,CF,LSCC,639_HK,VRTX,sh600967,035720.KS,MCRI,1093_HK,sh600111,JBLU,MOS,STX,2382_HK,sh600845,AG,966_HK,2331_HK,AMZN,000660.KS,sh600030,sh600521,WDC,1072_HK,TCOM,ISRG"
40,80,27.36152065262727,28.898041756786917,29.773978310641546,20.43725121180364,6.924269440823627,25.395701909786972,-49.83683888872802,1.077407537299952,"FSLR,sh600809,SMCI,sz002027,RGLD,9984.T,TEA_KOLKATA,MU,096770.KS,1211_HK,sh600132,AEM,NBIX,CRUS,sh600637,3008.TW,DAL,sz002001,MNST,921_HK,sh600346,27_HK,sh600887,051910.KS,IONS,CF,LSCC,639_HK,VRTX,sh600967,035720.KS,MCRI,1093_HK,sh600111,JBLU,MOS,STX,2382_HK,sh600845,AG,966_HK,2331_HK,AMZN,000660.KS,sh600030,sh600521,WDC,1072_HK,TCOM,ISRG,sh600588,3323_HK,NVDA,sh600298,1109_HK,STLD,sz000858,1800_HK,2018_HK,sh600309,NTES,1114_HK,sh600438,SCCO,sz002008,MTRN,sz000651,sh600760,ON,817_HK,sz000768,sh600031,PRU,3383_HK,DIOD,2020_HK,EXPE,SWKS,INCY,2866_HK"
