结构,期间,净CAGR,P25,最差,死拿,超额,波动,回撤,夏普,过20占比
N=6/vol≥55全枚举,全期21年,22.4087504391721,21.103945690144304,18.818646058953913,16.06682977999356,7.078347856593913,32.97929828943253,-68.71756024666723,0.6845159201317986,92.85714285714286
N=12 / vol≥45 等权月历,全期21年,21.922791802424413,20.531224893420088,16.214206451913228,15.714399782189648,5.846474976499948,26.109445345570563,-59.23114457468051,0.8438117882854561,83.33333333333334
N=12 / vol≥45 等权月历+自适应,全期21年,22.905288374352615,21.683082634602385,16.404390331798503,15.714399782189648,6.254782577790608,26.435556563756492,-59.23114457468051,0.8643794714539135,91.0
