组合,γ*预测%,实际超额pp,再平衡x,死拿x,平均相关性,平均波动%,赢家集中度,MDD,年数
"['PLUG', 'KDP', '1211_HK', 'AMD_US']",17.945773301837033,-4.006248019545189,24.690630580914398,45.4284949209857,0.10322149791139441,65.65092883279597,7.926729294021166,-0.6289246464966745,18.416666666666668
"['PLUG', 'MSTR', 'DD', 'KCL']",17.37154257603008,-4.281631004880149,6.088136127952739,13.627638470805026,0.09358145952103791,61.370932801545244,11.227387853230763,-0.6046672710692786,20.916666666666668
"['CLF', 'PLUG', '2018_HK', '2333_HK']",19.313605215377645,-4.307308879083416,12.911538147026683,28.43206043669095,0.1937907396591183,67.83680933148649,4.2969361275456315,-0.7379521686233377,21.083333333333332
"['SMCI', 'ISRG', 'PLUG', '2319_HK']",17.265608230946736,-4.348302961844208,18.20869153074102,37.30838370206263,0.1306138208235039,62.09056641147866,3.2010611751819,-0.6778802113787811,19.5
"['CLF', 'PLUG', 'IBB', 'AMD_US']",19.352797709469964,-4.393050988731684,11.228793836249,23.591626209220674,0.19675890684919992,66.88284084062406,8.836676194874482,-0.700531329854727,19.5
"['SMCI', 'PLUG', 'LVS', 'RICE_VIET_NAME']",17.78832722551371,-4.450639744410045,9.10395456411323,18.373919788424175,0.02406845345438552,73.37270007283342,36.11805226348915,-0.7270942055804389,18.166666666666668
"['GOLD', 'PLUG', 'PLD', 'AMD_US']",17.187497174527156,-4.580906986976752,10.164274990902506,22.115932200558202,0.14012486850706293,63.190158482207835,18.200878213026808,-0.7851878853197126,19.5
"['EEM', 'AMAT', 'UEC', 'PLUG']",18.33685581333831,-4.6325462998645595,8.315448416252519,17.784246812337994,0.27526333412047893,63.60378655236518,11.233110531723954,-0.6531488480870888,18.75
"['XLE', 'CAT', 'PLUG', 'MOD']",17.34786508360644,-4.655517307395085,6.78932348033373,16.76966597453986,0.3602898337535881,59.75695604635279,3.882996630906888,-0.6442171344352041,21.666666666666668
"['TCOM', 'PLUG', 'NG_US', 'PNGASJPUSDM']",18.393647891795705,-4.695310975345435,7.441807639958212,17.829433163624856,0.045590057323620224,65.13330856051691,22.841435347092983,-0.6399812577627482,20.916666666666668
