标的,γ预测,CAGR,持有,超额,波动,回撤,夏普
"VRTX,3993_HK,1211_HK,WLDN,FSLR,FANG",8.976530774906797,32.51390567432877,26.43096452091729,6.082941153411481,24.42569060602568,-37.084784198925334,1.331135573554992
"WLDN,3898_HK,AMD_US,HL,FANG,921_HK",9.67281518975936,31.945480019332685,30.47521162729383,1.4702683920388537,27.744397371748246,-33.29538230784208,1.151420937037989
"FANG,WLDN,AMD,WBD,FSLR,AVAV",8.813854244816199,31.939152864745914,30.908349733696227,1.0308031310496846,28.695628916886513,-37.82198490281837,1.113031986761952
"AMD,1211_HK,META,REGN,AEM,FANG",8.647803406951697,31.03514473933251,29.06404580192654,1.9710989374059684,22.406801719120377,-24.50817626685201,1.3850769569156902
"MPC,AMD_US,AMAT,HL,WLDN,1211_HK",8.962570577560221,28.84995184117598,21.46540173590912,7.384550105266863,30.577474367412368,-32.81183001938094,0.9435034265590792
"FANG,RCL,WLDN,REGN,3993_HK,HL",8.874892262968622,28.742014073004828,24.54859017198472,4.19342390102011,27.815174290920964,-44.83910184133054,1.0333213724418902
"AMD,1211_HK,AMZN,REGN,HL,WLDN",9.793647736851232,27.564396006722003,20.743231152120423,6.82116485460158,28.615057590535397,-56.15834689807957,0.9632829121350115
"1177_HK,AMD_US,WLDN,HL,MPC,ISRG",8.620192511748256,27.104834699129942,20.575496115732548,6.529338583397393,26.98003136876001,-31.849180316611168,1.0046257666888572
"FANG,FSLR,PAAS,27_HK,AMD,RCL",8.713574956800116,26.640296064395553,27.01129390382857,-0.37099783943301823,27.217255975405408,-46.037443586805416,0.9788016870058018
"META,FSLR,3323_HK,AMD_US,REGN,AEM",9.050658822568163,25.489840481374525,22.3333913631218,3.1564491182527243,21.91834519160013,-23.007829548685333,1.1629454805348678
