模式,CAGR,超额,波动,回撤,夏普,胜率
NONE(基准),17.958297212585784,1.5288184731093835,22.866010643190165,-34.49470476004574,0.7484733719015945,0.0
固定 价差反向@0.35,17.269452430201603,0.7599920382970637,24.610285269013268,-35.41499115194479,0.7044861581807572,33.33333333333333
固定 动量@0.35,18.158790103561884,1.425751814778664,23.56445177749044,-36.28463984816371,0.7372903932527684,62.66666666666667
自适应开关@0.25,18.295300271018668,1.9772175349603072,23.422455605212377,-34.83211879434039,0.7508162241578271,66.0
自适应开关@0.35,18.8482691581115,1.9162916931875107,23.716359340132236,-35.12841430533244,0.7468974451511667,64.66666666666666
自适应开关@0.50,18.38360775920854,1.9616853527289146,24.23677785105938,-35.772195589100676,0.7355705315699159,62.66666666666667
