波动档,N,窗口,有效池,净CAGR中位,死拿中位,超额中位,净CAGR均值,P10,P90,最差,最好,波动,回撤,夏普,ge20
30,4,训练期05-15,60,16.245700817413564,12.746320736298545,2.142321448437612,15.85226813822461,9.744398438539898,22.33929002353796,0.7165191589490361,34.871575855484835,27.585318704043242,-57.06680926602342,0.5595340331947214,23.333333333333332
30,4,验证期16-25,60,18.52598983054168,17.308241499518864,0.043207535472500336,18.84652237736096,11.027444034362375,28.873040881953678,4.157828859717272,43.33600123149779,22.98268294777523,-33.699558282892006,0.797018070157216,38.333333333333336
30,4,全期21年,60,16.287795943653435,14.286056005934501,2.2601880918105444,16.98171140669567,10.639849229662662,23.576489913650505,5.305661916770332,34.00636527084857,26.020907148274524,-57.06680926602342,0.6411541202180308,21.666666666666668
30,6,训练期05-15,60,15.19316446544191,13.806829133419697,2.50134743498418,15.795140061615683,10.527153411040267,22.903796939068943,6.708947916595576,28.557111350824815,26.780818430378996,-57.18621920751484,0.5680299111552924,18.333333333333332
30,6,验证期16-25,60,19.184529350715763,17.990028390755988,1.6409554073553045,19.707707557552162,13.490479422643798,27.015589878226688,6.264370727163948,35.91554964472503,21.86075736085074,-28.810563417384472,0.8582218311540469,45.0
30,6,全期21年,60,17.173681467352054,14.511832058512507,3.014414966659462,17.097313282281085,12.179280528362227,21.291620766598818,8.083616216520117,28.052026478205704,25.421548124367483,-57.27557702961757,0.6378938997589232,21.666666666666668
30,8,训练期05-15,60,15.975109615852954,14.759228054022255,2.6986863594953725,16.247426293333806,11.310829894718394,21.23965851081171,6.84918728626962,26.335610833662983,24.327813283791603,-50.31122658918241,0.6724068161519863,18.333333333333332
30,8,验证期16-25,60,17.324486304817366,15.665095969082532,1.6073843121300002,17.67056841575,11.874264691059672,23.760809726431074,6.555537914211351,27.622606937585825,20.129414087280082,-29.22633857007309,0.8847966999303167,30.0
30,8,全期21年,60,16.19547089386003,14.037773133867438,2.8066566773487955,16.47662420204219,12.760908351223557,20.658563708339333,8.22189958656705,25.203007594605054,22.685845784565753,-50.31122658918241,0.7332467404853361,15.0
30,12,训练期05-15,60,16.577919922365158,14.52750523339883,1.9457275647441041,16.56161965641732,11.007460469191898,21.756466131753864,8.116579141621848,28.4711949660958,23.994833441795514,-52.19128405343248,0.7033124294428685,21.666666666666668
30,12,验证期16-25,60,19.624596772322633,17.97764125943381,0.6237932583653127,19.96176717189985,14.51214563982677,24.871597426654706,12.256604436720387,30.97827404906908,20.140437494152486,-26.29165502125835,1.017864241681595,46.666666666666664
30,12,全期21年,60,17.420221144084103,15.52764030874707,2.0239095797984663,17.838921115208805,14.882513527808257,21.317800140212707,13.730407404000267,24.042124956030285,22.219790537323462,-52.19128405343248,0.7946685145826821,16.666666666666664
30,16,训练期05-15,60,15.578709539223356,12.5619448710668,2.3922077022912935,15.36058875603812,11.904737196092938,19.062809530062648,9.926691402232791,22.371814916353316,23.501236586778276,-51.2016718509282,0.6607693848958842,6.666666666666667
30,16,验证期16-25,60,18.052343768256673,16.928058157952385,1.2410002299751088,18.48155380018094,13.465534229979026,23.320551246899992,9.834142767429288,25.33975277655587,18.436656979376675,-25.28362834071836,1.004413895751716,33.33333333333333
30,16,全期21年,60,16.427124710841035,13.742121741896973,2.2620540869628725,16.63246370544987,14.057120315115393,19.48366139612722,11.46681554668092,21.21616120170753,21.193679310379142,-51.2016718509282,0.7706339775091718,3.3333333333333335
30,20,训练期05-15,60,15.27906576953615,13.254009234819808,2.3584459094831756,15.284599851077326,11.595171340493138,19.447479049525434,7.702107888071552,22.14053141420691,23.387617443106265,-51.20905113588662,0.6479421784087356,8.333333333333332
30,20,验证期16-25,60,18.415500380414187,17.731848802602343,0.42097769576970867,19.052882948953506,14.752128897794927,24.79845957834385,11.927278525831419,29.019034155497515,18.577793533807395,-25.6566247431943,1.0076483713344604,33.33333333333333
30,20,全期21年,60,16.764735664302485,13.911897779602889,2.2054510690616036,16.840771697748096,13.938034828624463,20.33576578920877,12.65827963148707,22.14025124435457,21.14537170301039,-51.20905113588662,0.778286028584991,13.333333333333334
30,25,训练期05-15,60,14.343388212754181,12.532283001763155,2.125126068537342,14.86606255507409,11.965771322546484,17.80944912880738,11.422266899989575,23.2601146004354,23.297106057087348,-51.180623914419044,0.6126922868571619,5.0
30,25,验证期16-25,60,19.15152968097825,17.797993705348393,0.48847280315365005,18.901784125585277,14.778931405311765,22.602645729267408,12.053850629870343,25.265877317536976,17.97160568181264,-24.62449328164473,1.0482462785069913,35.0
30,25,全期21年,60,16.64664221927635,13.801295845991179,2.230765170907567,16.518197868357827,13.949090960244527,19.037381427782982,12.800171572476993,21.389541223228758,20.97493912512748,-51.180623914419044,0.7669907153227766,6.666666666666667
30,30,训练期05-15,60,14.332676296786262,12.010469732884,2.3055680187132,14.487348717521561,11.661534292922582,17.68631675844459,9.425704496006615,19.421007206981212,23.313453089584964,-51.016650812773754,0.6353222406971435,0.0
