池组,训练CAGR,验证CAGR,验证持有,验证超额,验证波动,验证夏普
训练期Top30池,34.34402629452965,18.11105068589066,15.90599255882431,1.8928873514051037,24.013248017451634,0.7276645854150867
随机池(基准),19.459422532396673,18.47311140418133,16.026148027356022,2.2258104253541355,24.037651537211495,0.7810880895407213
训练期Bottom30池,11.350893039233611,24.70509758672137,19.875070043781438,3.6608520089195906,25.144673011951465,0.9876911386648657
