N,配置,净CAGR,P25,最差,波动,回撤,夏普,过20占比
8,等权+月历,23.646238935665277,20.536362930429963,11.428199521558735,22.19640615195452,-31.124567977871664,1.0593430080668822,79.0
8,等权+月历+自适应,25.013541897244917,21.406173110301467,13.19362516193896,23.061259891658217,-31.156183948103866,1.0831656874730802,86.5
8,反波动+BAND10,22.580452785381077,19.335820195778275,9.794921232039489,21.656931674900633,-32.35780610086314,1.0572901245058788,67.75
8,反波动+BAND10+自适应,23.038998461406923,19.19668502380476,10.219140810597116,21.68774249892993,-30.90844283726728,1.0560082804079962,70.0
12,等权+月历,24.624605417695257,22.083712347919032,14.949272873181041,20.98660378850488,-29.10586927876559,1.1640795286176169,90.25
12,等权+月历+自适应,25.21387944950959,22.149913769596658,15.65910326182478,21.401424028382763,-29.142595466697784,1.157547178124799,89.5
12,反波动+BAND10,22.905901820356434,20.416054189277233,13.699336353088398,20.24872324903793,-29.39915263662473,1.152135971779404,79.0
12,反波动+BAND10+自适应,23.597566791950864,20.56238757726465,11.323151160930145,20.27504684110764,-29.51691570076104,1.1365417137424252,79.25
