sym,n_div,ann_div,yield_pct
AMD,1,0.01,0.0019769878612945317
MU,33,0.5290834165834166,0.05291151634932262
STX,86,3.131754735792622,0.3462951408501727
WDC,37,0.5942245119305857,0.12451272146730905
ON,0,0.0,0.0
ENTG,0,0.0,0.0
RCL,105,4.3818236714975844,1.6566441102070264
BIDU,0,0.0,0.0
TCOM,0,0.0,0.0
FSLR,0,0.0,0.0
WLDN,0,0.0,0.0
