N,波动档,权重,触发,信号,净CAGR,超额,波动,回撤,夏普,过20占比
6,55,IV,BAND10,NONE,24.8113647946307,4.449798024983387,23.383155596041867,-30.51298433554106,1.0643703116411058,100.0
6,55,EW,BAND10,NONE,24.643828564029413,4.226343582228265,23.278027470432036,-31.086466430031273,1.048546672179715,100.0
8,45,EW,月历,ADAPT,24.593943321464273,1.638541826861284,23.182186421356498,-31.474201420274216,1.0979498667211467,93.33333333333333
4,55,EW,月历,ADAPT,24.55744128932821,3.9761594288054147,25.40373716982368,-33.74448132264192,0.9661958611998214,80.0
4,55,EW,月历,NONE,24.47327828154684,3.836937370687199,25.123715422936534,-34.38961244663943,0.9678744710295006,80.0
4,55,EW,BAND10,NONE,24.461836584328445,3.340739572087792,25.45758028848507,-35.68106962114515,0.9535305197803268,86.66666666666667
6,55,EW,月历,NONE,24.45067215439789,4.169785223871825,23.09532816991903,-30.04486918176753,1.0778615616214915,100.0
8,45,RP,月历,ADAPT,24.352113124050277,0.9760217683634997,23.39596793074083,-32.61874267644933,1.1146825303140901,93.33333333333333
8,45,RP,BAND10,ADAPT,24.271119985599512,-0.055284179963144275,23.20423015941185,-32.490791741392655,1.06174927541029,76.66666666666667
8,45,EW,BAND10,ADAPT,24.271119985599512,0.5162362895160699,22.924907730745772,-32.15896934120008,1.0605113004364095,80.0
6,55,EW,月历,ADAPT,23.830839893157098,3.537429016839355,23.14608994882164,-29.74366962452244,1.0174603188664242,96.42857142857143
6,55,IV,月历,NONE,23.699360312680373,3.2767441692738597,22.99910629310773,-30.085239842688402,1.0353212575860855,100.0
6,55,RP,月历,NONE,23.680847448010233,3.4739703185258652,23.334475737049885,-30.13297234330567,1.0271227169486843,100.0
8,45,EW,月历,NONE,23.672219879525525,1.5947213666369753,22.355828654304172,-31.474201420274216,1.0909466398085952,86.66666666666667
4,55,IV,BAND10,NONE,23.645327810023563,3.10663151706001,25.314195943662313,-36.756801020918736,0.9399950550184517,73.33333333333333
6,55,IV,BAND10,ADAPT,23.62857410264807,3.4022613878694874,23.401855994556442,-30.51298433554106,1.0292965679610835,89.28571428571429
6,45,RP,BAND10,NONE,23.56051417177968,0.6637331469002916,23.638237044565226,-35.214621167174336,0.9038289862928275,60.0
6,55,RP,BAND10,NONE,23.395467437268834,2.8491673275167106,23.604014539395674,-31.3773358914302,0.9979642600884278,100.0
6,45,RP,月历,NONE,23.36616723417123,0.7090545593528175,23.801431316447626,-34.502196734480826,0.8988395837913281,60.0
8,45,IV,月历,ADAPT,23.34536040915065,1.3267517257920192,21.976175159689063,-30.452144209401283,1.0947409557442005,76.66666666666667
8,45,RP,BAND10,NONE,23.34414000880244,0.40062246532126533,22.127454043859252,-32.51051710176633,1.0601012973811663,73.33333333333333
4,55,IV,月历,NONE,23.271774506593488,2.596402785092078,25.134584625935936,-34.42999829747728,0.9478313521011043,73.33333333333333
6,55,EW,BAND10,ADAPT,23.17838058752183,2.5848864859892573,23.125714315527482,-31.086466430031273,1.0045990179627577,85.71428571428571
4,55,EW,BAND10,ADAPT,23.17160623582829,3.0218537283361324,25.483486332666637,-34.91173911204517,0.9209441263059229,76.66666666666667
6,45,EW,月历,ADAPT,23.16563095431591,2.330274548780642,24.266308874990465,-34.470269544082115,0.9164156406373709,70.0
8,45,IV,BAND10,ADAPT,23.066863648390914,0.06497975704979897,22.0459754106804,-32.62281891697876,1.080587020171082,73.33333333333333
