成本bp,触发,净CAGR,毛CAGR,成本拖累,年换手,调仓次数
0,月历,24.270207829944802,24.270207829944802,0.0,87.66213359044696,119.0
0,BAND10%,23.735156268677557,23.735156268677557,0.0,23.491326848475808,8.0
0,BAND20%,24.302595288404802,24.302595288404802,0.0,14.41221118760912,3.0
1,月历,24.258560822403563,24.270207829944802,0.011647007541238708,87.66213359044696,119.0
1,BAND10%,23.73289944297379,23.735156268677557,0.0022568257037676176,23.491326848475808,8.0
1,BAND20%,24.299854512987253,24.302595288404802,0.002740775417549912,14.41221118760912,3.0
5,月历,24.21198273802989,24.270207829944802,0.05822509191491321,87.66213359044696,119.0
5,BAND10%,23.723871857900615,23.735156268677557,0.0112844107769412,23.491326848475808,8.0
5,BAND20%,24.288890538269456,24.302595288404802,0.013704750135346444,14.41221118760912,3.0
10,月历,24.153782504849076,24.270207829944802,0.1164253250957259,87.66213359044696,119.0
10,BAND10%,23.71258674137452,23.735156268677557,0.022569527303037518,23.491326848475808,8.0
10,BAND20%,24.275183604923743,24.302595288404802,0.027411683481059157,14.41221118760912,3.0
