,sh688981,sz002049,sh603501,sz300782,sh688012,sh688008,sz300661,sh603986,sz002185,sh600584,sz002156,sz300223,sh688521,sz300373,sh688036,sz002415,sz002236,sh600745,sz002475,sz002241,sh603160,sz300750,sz002594,sz300124,sh688599,sz002459,sh601012,sz300274,sh688223,sz002460,sh603799,sz002466,sh600438,sz300316,sh688390,sz300827,sh605117,sz002812,sh688567,sh600276,sz300760,sh600196,sz300347,sh603259,sz300759,sh688180,sz300142,sh600521,sz002422,sh688185,sz300601,sh603087,sz300529,sh688399,sh600893,sz000768,sh600760,sz002179,sh600038,sz300699,sh600967,sz002013,sh600519,sz000858,sh600887,sh603288,sz000651,sz000333,sh600690,sz002714,sh600298,sh600809,sz000568,sh600132,sh603833,sz002572,sh600111,sh601899,sh600362,sh601600,sz000933,sh600188,sh601088,sh600028,sh601857,sz000983,sh600585,sz002001,sh600309,sz000792,sh603993,sz000630,sh601168,sz002128,sz000001,sh600036,sh601318,sh600030,sh601166,sz000776,sh600837,sh600000,sz300059,sh600570,sz002230,sh601688,sh601788,sz002736,sh601633,sh600104,sh601127,sh600066,sh600031,sz002008,sh601766,sz300450,sh600150,sz002050,sh601100,sz002472,sz002027,sh600637,sz300413,sh603000,sz002739,sh600845,sz300454,sh688111,sz300496,sh600588,sz002410,sh600346,sz002648,sh603260,sz002064,sh600426,sh688065,sz002497,sh600900,sh601985,sz003035,sh600025
2005-01-07,,,,,,,,,,9.89,,,,,,,,4.049,,,,,,,,,,,,,,,7.95,,,,,,,22.529,,22.745,,,,,,33.68,,,,,,,5.492,6.362,5.451,,14.702,,5.73,8.1,59.227,56.996,52.164,,76.175,,29.344,,9.35,7.727,37.668,17.164,,,9.002,,5.38,,15.608,12.405,,4.48,,13.37,7.84,13.54,70.487,34.625,,15.363,,,215.318,9.824,,6.104,,6.203,35.538,10.715,,11.14,,,,,,14.551,,26.041,15.4,18.45,,,8.404,,,,11.03,10.89,,,,13.823,,,,33.82,,5.29,,,,12.37,,,8.83,,,
2005-01-14,,,,,,,,,,9.778,,,,,,,,4.111,,,,,,,,,,,,,,,7.25,,,,,,,23.546,,22.846,,,,,,33.392,,,,,,,5.744,6.323,5.646,,14.747,,5.63,8.13,60.831,57.42,54.27,,75.96,,29.045,,9.43,7.704,37.861,16.952,,,8.909,,5.41,,16.296,12.405,,4.39,,13.74,7.94,13.1,74.622,34.586,,16.012,,,214.937,10.1,,6.004,,6.065,35.788,11.045,,11.04,,,,,,14.78,,26.322,16.21,18.26,,,8.602,,,,11.0,10.801,,,,13.801,,,,31.933,,5.29,,,,12.99,,,8.8,,,
2005-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-21,,,,,,,,,,10.066,,,,,,,,4.215,,,,,,,,,,,,,,,7.11,,,,,,,23.546,,22.339,,,,,,33.77,,,,,,,5.506,6.226,5.763,,14.297,,5.31,7.66,60.8,57.505,54.971,,74.457,,28.806,,9.05,7.495,38.152,16.168,,,8.568,,5.23,,,12.525,,4.32,,13.23,8.15,12.41,75.166,33.845,,16.162,,,211.511,10.412,,5.604,,6.778,35.988,11.75,,10.7,,,,,,16.221,,25.479,17.2,17.35,,,8.69,,,,10.84,10.521,,,,13.801,,,,30.551,,5.3,,,,12.17,,,8.56,,,
2005-01-28,,,,,,,,,,9.442,,,,,,,,3.26,,,,,,,,,,,,,,,7.07,,,,,,,24.314,,22.643,,,,,,32.636,,,,,,,4.765,5.602,5.178,,13.78,,4.99,7.35,62.672,58.776,57.778,,75.316,,28.148,,8.83,7.426,37.28,15.76,,,8.304,,5.27,,16.592,12.555,,4.36,,13.8,8.17,11.49,77.668,35.249,,16.411,,,202.373,10.34,,5.394,,6.502,37.036,11.825,,10.44,,,,,,15.566,,25.985,16.48,16.04,,,8.723,,,,10.32,9.696,,,,13.603,,,,29.428,,5.1,,,,12.55,,,8.59,,,
2005-02-04,,,,,,,,,,9.842,,,,,,,,2.721,,,,,,,,,,,,,,,7.67,,,,,,,25.524,,23.86,,,,,,33.698,,,,,,,4.662,5.582,4.905,,13.51,,4.94,7.44,63.568,62.08,62.69,,79.325,,29.165,,9.1,7.484,37.861,16.593,,,8.041,,5.63,,17.805,13.675,,4.7,,15.7,9.09,12.35,82.401,37.121,,16.511,,,218.745,11.108,,5.704,,6.525,39.782,12.845,,9.66,,,,,,17.99,,28.233,17.68,16.14,,,9.273,,,,10.16,9.504,,,,13.042,,,,30.148,,5.02,,,,13.11,,,8.99,,,
2005-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-18,,,,,,,,,,9.842,,,,,,,,3.198,,,,,,,,,,,,,,,7.53,,,,,,,24.794,,24.367,,,,,,33.644,,,,,,,5.299,5.738,5.412,,13.465,,4.9,,62.939,60.386,60.702,,79.253,,28.866,,8.98,7.449,37.087,17.507,,,8.211,,5.76,,17.685,13.835,,4.67,,16.0,8.85,12.3,84.196,35.99,,17.558,,,218.745,10.784,,5.594,,6.686,38.134,12.365,,9.58,,,,,,17.073,,27.362,18.23,16.1,,,8.954,,,,10.2,9.622,,,,13.581,,,,30.724,,4.99,,,,12.77,,,8.79,,,
2005-02-25,,,,,,,,,,10.434,,,,,,,,3.53,,,,,,,,,,,,,,,8.08,,,,,,,25.735,,24.924,,,,,,32.78,,,,,,,5.551,5.992,5.763,,14.544,,5.36,8.03,68.791,63.012,65.79,,80.47,,29.942,,9.56,7.796,39.12,17.409,,,8.909,,6.11,,18.1,14.325,,4.74,,16.5,8.88,13.4,87.46,38.213,,21.199,,,220.268,10.976,,5.774,,7.031,40.431,12.62,,10.41,,,,,,17.106,,27.558,18.47,17.53,,,9.68,,,,10.76,10.669,,,,14.219,,,,32.696,,5.26,,,,13.11,,,8.79,,,
2005-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-04,,,,,,,,,,9.426,,,,,,,,3.219,,,,,,,,,,,,,,,7.86,,,,,,,24.852,,24.924,,,,,,31.898,,,,,,,5.329,5.914,5.841,,14.072,,5.3,7.58,69.137,61.996,63.86,,75.602,,29.224,,9.24,7.356,40.089,16.984,,,9.11,,5.92,,17.335,13.605,,4.69,,15.66,7.9,13.85,87.46,40.241,,20.202,,,209.607,10.592,,5.664,,,38.434,12.155,,10.18,,,,,,15.959,,26.912,18.05,17.03,,,9.163,,,,10.93,10.433,,,,14.076,,,,32.855,,5.21,,,,13.22,,,8.89,,,
2005-03-11,,,,,,,,,,9.554,,,,,,,,3.364,,,,,,,,,,,,,,,8.13,,,,,,,27.06,,27.408,,,,,,31.448,,,,,,,5.462,5.933,6.387,,14.027,,5.37,7.65,74.139,59.962,67.427,,74.457,,28.806,,9.37,7.403,39.024,17.164,,,9.11,,6.17,,17.149,13.275,,4.65,,15.2,7.89,13.01,96.708,43.595,,21.599,,,200.469,10.364,,5.294,,8.297,38.683,11.78,,10.09,,,,,,15.632,,26.547,20.0,18.2,,,9.394,,,,12.35,10.521,,,,14.087,,,,32.293,,5.22,,,,14.17,,,8.9,,,
2005-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-18,,,,,,,,,,8.642,,,,,,,,2.534,,,,,,,,,,,,,,,7.55,,,,,,,26.599,,25.684,,,,,,31.772,,,,,,,4.736,6.85,5.763,,12.723,,4.82,7.12,75.334,57.59,71.813,,69.159,,27.49,,9.34,7.264,37.28,17.197,,,8.537,,5.82,,16.635,13.025,,4.45,,14.61,7.26,11.95,,41.84,,18.805,,,193.235,10.352,,5.124,,6.962,36.387,11.45,,10.16,,,,,,14.059,,24.721,18.47,16.7,,,9.625,,,,12.26,9.386,,,,13.141,,,,31.444,,4.76,,,,14.08,,,8.62,,,
2005-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-25,,,,,,,,,,8.002,,,,,,,,2.513,,,,,,,,,,,,,,,7.68,,,,,,,26.926,,26.647,,,,,,31.718,,,,,,,5.67,7.103,5.217,,12.453,,4.86,6.99,75.554,60.132,74.912,,69.016,,26.354,,8.9,7.495,37.377,15.972,,,8.165,,5.42,,16.92,12.605,,4.42,,15.26,6.72,12.12,97.415,40.124,,,,,173.055,10.472,,4.704,,7.261,38.933,10.955,,10.45,,,,,,13.633,,25.03,17.36,17.38,,,9.284,,,,12.73,9.386,,,,13.108,,,,29.86,,4.64,,,,13.765,,,8.82,,,
2005-03-31,,,,,,,,,,7.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-01,,,,,,,,,,,,,,,,,,2.451,,,,,,,,,,,,,,,7.51,,,,,,,28.769,,27.255,,,,,,32.15,,,,,,,6.277,7.142,4.905,,12.093,,4.62,6.91,78.213,60.555,76.14,,72.022,,26.115,,9.0,7.391,37.571,16.511,,,8.366,,5.36,,17.958,13.025,,4.64,,16.33,6.94,11.7,107.18,42.581,,18.456,,,180.67,10.88,,4.824,,6.732,39.232,11.525,,9.99,,,,,,13.24,,25.479,16.97,16.4,,,9.13,,,,12.67,9.327,,,,13.152,,,,27.743,,4.53,,,,14.71,,,8.97,,,
2005-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-08,,,,,,,,,,7.81,,,,,,,,2.555,,,,,,,,,,,,,,,7.63,,,,,,,29.786,,27.914,,,,,,,,,,,,,5.966,7.318,5.607,,12.745,,4.72,7.0,79.676,63.86,79.181,,72.667,,26.713,,9.1,7.553,39.702,16.707,,,8.475,,5.65,,18.439,13.415,,4.67,,16.81,7.21,12.37,115.242,46.481,,20.501,,,225.979,11.312,,5.274,,6.847,39.732,11.945,,10.32,,,,,,13.306,,26.491,17.97,17.45,,,9.845,,,,13.02,8.826,,,,13.383,,,,27.628,,4.55,,,,16.555,,,8.88,,,
2005-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-15,,,,,,,,,,7.394,,,,,,,,1.953,,,,,,,,,,,,,,,7.88,,,,,,,29.441,,27.154,,,,,,33.572,,,,,,,6.44,6.986,4.788,,12.475,,4.12,6.88,77.945,,77.661,,72.166,,26.594,,8.89,7.958,39.992,16.87,,,7.7,,5.39,,17.477,12.605,,4.64,,16.45,6.95,12.09,115.737,44.648,,19.553,,,219.887,10.904,,5.174,,6.019,39.682,11.555,,10.22,,,,,,12.814,,27.587,18.33,17.6,,,9.966,,,,13.2,8.664,,,,12.712,,,,26.98,,4.33,,,,16.165,,,8.65,,,
2005-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.997,,,,,,,,,,,,,,,,
2005-04-22,,,,,,,,,,6.69,,,,,,,,1.102,,,,,,,,,,,,,,,8.12,,,,,,,29.594,,27.357,,,,,,35.349,,,,,,,5.017,6.791,4.203,,11.553,,3.6,6.0,76.876,62.504,76.023,,75.53,,25.577,,8.85,8.306,39.024,16.348,,,6.661,,5.3,,18.035,12.355,,4.47,,16.43,6.9,11.13,112.13,43.634,,18.306,,,195.138,11.156,,4.824,,5.259,37.286,11.105,,11.29,,,,,,12.225,,27.022,16.84,16.25,,,10.032,,,,13.48,7.957,,,,,,,,25.9,,4.01,,,,16.675,,,8.31,,,
2005-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.583,,,,,,,,,,,,
2005-04-29,,,,,,,,,,6.914,,,,,,,,0.77,,,,,,,,,,,,,,,8.37,,,,,,,30.554,,27.762,,,,,,36.355,,,,,,,4.573,7.201,4.476,,11.283,,3.49,5.64,84.552,64.792,83.216,,80.041,,26.115,,8.86,8.688,43.575,16.184,,,,,5.42,,16.078,12.125,,4.44,,15.39,6.43,11.37,113.191,45.662,,17.658,,,203.515,11.372,,5.454,,5.006,32.344,11.195,,9.64,,,,,,12.323,,27.716,17.45,14.08,,,10.802,,,,13.25,7.603,,,,11.073,,,,,,4.1,,,,15.7,,,8.39,,,
2005-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-13,,,,,,,,,,7.074,,,,,,,,0.168,,,,,,,,,,,,,,,8.29,,,,,,,28.788,,25.786,,,,,,36.144,,,,,,,4.217,6.986,4.32,,10.518,,3.69,5.76,77.82,61.657,75.321,,77.678,,25.577,,8.74,8.063,41.445,13.67,,,6.18,,5.12,,16.056,11.815,,4.28,,14.8,6.6,11.65,95.511,43.088,,14.865,,,196.661,10.724,,5.314,,,29.398,11.135,,9.54,,,,,,12.519,,27.241,19.02,13.81,,,10.329,,,,12.62,7.78,,,,10.38,,,,26.72,,3.91,,,,14.815,,,7.66,,,
2005-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,
2005-05-20,,,,,,,,,,7.026,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,29.153,,25.735,,,,,,37.361,,,,,,,4.187,6.83,4.32,,10.608,,3.73,5.62,78.496,63.351,76.491,,80.256,,25.697,,8.83,8.132,39.895,13.964,,,6.211,,,,15.028,11.175,,4.09,,13.07,6.7,11.42,89.217,40.163,,13.767,,,203.896,10.748,,5.514,,5.029,30.496,11.285,,9.53,,,,,,12.421,,26.547,20.12,13.96,,,10.23,,,,12.66,7.691,,,,10.589,,,,27.844,,,,,,14.26,,,7.87,,,
2005-05-27,,,,,,,,,,6.898,,,,,,,,0.583,,,,,,,,,,,,,,,7.76,,,,,,,24.026,,22.846,,,,,,33.945,,,,,,,4.187,6.612,4.632,,10.294,,3.73,5.65,71.653,58.945,68.187,,74.528,,25.158,,8.75,7.588,37.861,13.834,,,5.994,,4.53,,14.504,11.045,,3.77,,12.14,6.34,11.06,79.67,37.979,,13.393,,,201.611,10.376,,5.284,,4.845,29.498,10.895,,9.34,,,,,,12.585,,25.926,20.41,13.7,,,9.559,,,,12.16,7.5,,,,10.512,,,,25.888,,3.98,,,,12.085,,,7.84,,,
2005-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-03,,,,,,,,,,6.978,,,,,,,,0.562,,,,,,,,,,,,,,,7.46,,,,,,,24.353,,22.289,,,,,,29.756,,,,,,,4.35,5.926,4.359,,10.316,,3.67,5.79,67.548,56.488,70.351,,71.664,,25.577,,8.5,6.928,35.925,11.564,,,5.901,,4.44,,13.17,10.605,,3.61,,11.165,6.47,9.8,75.568,32.402,,12.894,,,189.427,10.016,,4.924,,4.983,26.603,10.745,,8.955,,,,,,12.29,,23.698,,12.17,,,8.855,,,,10.58,7.323,,,,10.193,,,,24.627,,3.94,,,,10.465,,,7.79,,,
2005-06-10,,9.38,,,,,,,,7.474,,,,,,,,0.956,,,,,,,,,,,,,,,8.57,,,,,,,24.794,,23.201,,,,,,35.746,,,,,,,4.647,7.049,4.827,,11.081,,3.99,6.2,75.146,61.318,78.83,,76.533,,26.833,,8.77,7.6,36.99,13.703,,,6.723,,4.88,,13.771,10.675,,4.03,,12.05,6.88,10.74,88.015,37.979,,15.438,,,217.983,10.892,,6.274,,5.213,33.307,11.6,,9.675,,,,,,13.568,,26.912,,13.55,,,10.01,9.51,,,12.32,8.427,,,,11.139,,,,27.443,,4.1,,,,12.325,,,8.46,,,
2005-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-17,,8.83,,,,,,,,7.682,,,,,,,,0.521,,,,,,,,,,,,,,,8.76,,,,,,,24.142,,23.353,,,,,,32.049,,,,,,,4.543,7.236,4.866,,10.406,,4.05,6.39,77.474,62.504,77.368,,76.461,,26.833,,8.69,7.542,35.731,13.785,,,6.32,,4.79,,13.377,10.415,,3.98,,11.03,6.77,11.16,73.588,34.82,,15.438,,,,10.892,,6.034,,4.799,33.636,12.035,,9.93,,,,,,13.633,,26.657,23.724,14.3,,,10.417,8.79,,,12.48,7.908,,,,10.567,,,,27.875,,4.03,,,,11.29,,,8.47,,,
2005-06-24,,10.28,,,,,,,,7.858,,,,,,,,0.541,,,,,,,,,,,,,,,9.27,,,,,,,24.852,,24.164,,,,,,,,,,,,,4.365,7.298,4.827,,10.833,,4.07,6.66,83.781,65.47,80.351,,78.681,,26.653,,9.32,8.005,38.055,14.323,,,6.366,,4.87,,13.596,10.765,,3.97,,11.345,6.97,,82.711,40.319,,15.987,,,206.942,11.396,,,,4.983,32.703,12.275,,,,,,,,14.125,,27.935,22.576,14.72,,,10.89,10.06,,,13.42,7.843,,,,10.787,,,,27.599,,4.12,,,,12.49,,,,,,
2005-07-01,,9.98,,,,,,,,8.242,,,,,,,,,,,,,,,,,,,,,,,9.36,,,,,,,25.409,,24.012,,,,,,,,,,,,,4.513,7.142,4.359,,10.249,,3.86,5.98,83.545,63.436,74.678,,79.253,,25.457,,9.14,7.912,38.636,15.874,,,5.792,,4.52,,13.727,10.825,,3.85,,10.535,6.78,11.8,82.145,40.553,,14.84,,,187.904,11.0,,,,4.178,31.989,11.885,,,,,,,,13.863,,27.058,20.47,13.55,,,10.395,9.95,,,12.98,7.195,,,,10.413,,,,26.009,,3.75,,,,11.815,,,,,,
2005-07-08,,9.64,,,,,,,,7.986,,,,,,,,0.521,,,,,,,,,,,,,,,9.3,,,,,,,25.198,,23.86,,,,,,33.43,,,,,,,4.543,7.049,4.047,,10.361,,3.58,5.76,82.822,64.368,77.427,,78.251,,25.278,,9.19,8.086,39.12,14.944,,,5.11,,4.48,,13.104,9.985,,3.89,,9.77,6.47,11.71,76.841,40.241,,14.391,,,175.339,10.964,,5.534,,3.648,29.189,11.675,,10.965,,,,,,14.387,,26.182,20.065,12.89,,,9.922,9.22,,,12.62,6.433,,,,9.94,,,,25.456,,3.52,,,,11.035,,,8.59,,,
2005-07-15,,10.43,,,,,,,,8.322,,,,,,,,0.126,,,,,,,,,,,,,,,9.09,,,,,,,25.697,,23.657,,,,,,35.84,,,,,,,4.365,7.548,4.281,,9.709,,3.54,5.8,84.536,65.046,78.187,,80.327,,25.338,,9.17,8.271,38.249,14.96,,,4.769,,4.54,,12.973,9.765,,4.07,,9.575,6.58,11.99,81.297,42.308,,14.291,,,182.954,11.648,,6.024,,4.615,28.53,12.53,,11.325,,,,,,15.107,,26.766,19.012,13.19,,,10.01,9.6,,,13.56,6.222,,,,9.918,,,,26.234,,3.43,,,,11.545,,,8.72,,,
2005-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.04,,,
2005-07-22,,11.0,,,,,,,,7.938,,,,,,,,0.168,,,,,,,,,,,,,,,9.29,,,,,,,26.618,,24.519,,,,,,36.308,,,,,,,4.261,7.766,4.047,,10.001,,3.61,6.05,83.089,66.402,79.473,,79.468,,25.278,,8.8,8.549,40.283,15.858,,,5.234,,4.67,,13.88,10.515,,4.2,,9.995,6.86,12.63,79.458,39.071,,14.64,,,193.996,12.17,,6.254,,4.477,30.012,13.115,,,,,,,,15.238,,26.985,19.336,13.49,,,10.087,9.44,,,13.82,6.562,,,,9.742,,,,26.994,,3.37,,,,10.54,,,,,,
2005-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-29,,10.68,,,,,,,,7.826,,,,,,,,0.438,,,,,,,,,,,,,,,9.81,,,,,,,26.753,,24.519,,,,,,,,,,,,,4.35,8.141,4.32,,10.159,,3.78,6.44,84.804,67.673,79.941,,81.687,,25.278,,8.84,8.757,40.961,16.331,,,5.281,,4.79,,16.231,10.709,,4.45,,11.075,7.16,13.21,79.387,38.642,,16.336,,,193.235,12.44,,,,4.822,32.538,13.355,,,,,,,,15.959,,28.446,21.901,13.475,,,10.692,9.28,,,13.04,6.741,,,,9.797,,,,27.754,,3.49,,,,11.335,,,,,,
2005-08-05,,12.15,,,,,,,,8.562,,,,,,,,0.707,,,,,,,,,,,,,,,9.62,,,,,,,28.596,,25.076,,,,,,,,,,,,,4.706,8.234,4.671,,11.013,,4.19,7.01,90.026,69.452,78.772,,78.681,,26.115,,9.17,8.954,41.929,16.103,,,5.575,,5.0,,17.597,11.749,,4.61,,11.99,7.45,,89.854,40.592,,17.633,,,204.276,12.656,,,,4.914,34.79,13.475,,,,,,,,16.68,,28.081,23.143,15.335,,,11.132,10.29,,,14.84,7.243,,,,10.171,,,,28.29,,3.83,,,,11.995,,,,,,
2005-08-12,,11.71,,,,,,,,9.298,,,,,,,,1.185,,,,,,,,,,,,,,,10.25,,,,,,,27.732,,25.988,,,,,,,,,,,,,5.003,8.047,4.788,,10.856,,4.47,8.33,90.725,67.249,76.783,,79.182,,26.354,,9.14,9.047,43.285,16.87,,,5.808,,5.27,,17.291,12.405,,4.86,,11.915,7.6,,91.551,42.737,,17.184,,,203.515,12.728,,,,4.983,39.951,13.61,,12.81,,,,,,16.713,,29.177,23.278,16.61,,,11.704,10.74,,,15.2,7.551,,,,12.074,,,,32.023,,3.8,,,,12.505,,,,,,
2005-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-19,,11.53,,,,,,,,9.106,,,,,,,,0.811,,,,,,,,,,,,,,,10.23,,,,,,,27.694,,25.228,,,,,,38.711,,,,,,,5.833,8.203,4.905,,11.238,,4.47,7.86,90.857,65.046,76.549,,82.904,,25.517,,9.25,9.348,45.803,16.446,,,7.343,,5.22,,17.16,,,4.75,,11.15,7.18,14.124,88.722,42.815,,16.885,,,194.758,12.368,,6.792,,4.891,40.5,13.415,,12.6,,,,,,16.909,,27.862,20.848,15.89,,,12.122,11.41,,,16.68,7.859,,,,11.568,,,,33.612,,3.83,,,,12.37,,,9.875,,,
2005-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-26,,11.97,,,,,,,,9.97,,,,,,,,1.102,,,,,,,,,,,,,,,10.18,,,,,,,29.69,,24.924,,,,,,38.184,,,,,,,5.862,8.702,5.646,,12.07,,4.51,8.26,93.367,64.453,75.555,,83.262,,25.637,,9.24,9.232,46.965,17.197,,,6.831,,5.32,,,11.205,,4.99,,10.625,7.36,14.475,86.954,43.049,,17.384,,,201.611,12.638,,6.819,,5.121,39.457,13.61,,12.285,,,,,,16.68,,27.46,20.281,16.745,,,12.034,11.51,,,16.56,7.941,,,,12.019,,,,34.597,,4.07,,,,12.37,,,9.886,,,
2005-09-02,,11.96,,,,,,,,10.466,,,,,,,,1.351,,,,,,,,,,,,,,,10.47,,,,,,,30.458,,25.38,,,,,,38.038,,,,,,,6.277,9.139,5.217,,12.228,,4.8,8.7,97.407,66.402,76.783,,85.768,,26.055,,9.27,9.255,49.677,19.874,,,7.048,,5.29,,16.581,11.461,,4.8,,10.79,7.66,14.07,87.944,43.673,,17.533,,,205.799,12.656,,6.833,,5.489,40.391,13.79,,12.411,,,,,,16.156,,28.154,20.173,18.53,,,12.012,11.92,,,17.18,8.054,,,,12.008,,,,34.874,,4.24,,,,12.205,,,10.085,,,
2005-09-09,,11.56,,,,,,,,10.498,,,,,,,,1.413,,,,,,,,,,,,,,,10.29,,,,,,,31.111,,25.887,,,,,,43.04,,,,,,,6.144,9.295,5.568,,14.612,,4.77,8.97,95.972,66.317,78.889,,85.339,,27.191,,9.87,9.128,51.033,20.021,,,6.971,,5.55,,17.248,11.269,,4.7,,11.81,7.46,14.124,86.105,45.311,,19.379,,,205.419,12.638,,6.819,,5.328,38.414,13.565,,12.411,,,,,,16.713,,27.533,20.416,19.67,,,12.353,12.09,,,17.44,7.957,,,,12.184,,,,38.814,,4.2,,,,12.445,,,9.886,,,
2005-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
