date,equal_nav
2017-08-11,1.0
2017-08-18,1.1093370186970892
2017-08-25,1.1230634039935117
2017-09-01,0.9960322279946184
2017-09-08,0.8832738098149977
2017-09-15,0.9192556832524743
2017-09-22,1.0438601359353545
2017-09-29,1.0877621964808109
2017-10-06,1.2636381014431113
2017-10-13,1.2191700824092624
2017-10-20,1.2648240237346116
2017-10-27,1.3927703160432159
2017-11-03,1.2213039686976241
2017-11-10,1.5755588182017646
2017-11-17,1.8906291656146474
2017-11-24,2.135678910075813
2017-12-01,2.537560404576486
2017-12-08,3.4906680735156774
2017-12-15,2.751831705648585
2017-12-22,2.9053199740768796
2017-12-29,3.853572832624215
2018-01-05,3.900560171959216
2018-01-12,3.1644093050085913
2018-01-19,3.5465138404575716
2018-01-26,2.3782266580275246
2018-02-02,2.339073214650015
2018-02-09,2.7934224870949054
2018-02-16,2.579637989945027
2018-02-23,2.857759455968287
2018-03-02,2.371563016464563
2018-03-09,1.8998233734654844
2018-03-16,1.9119373582204315
2018-03-23,1.4665077596825662
2018-03-30,1.5280665090712418
2018-04-06,1.9147984129419258
2018-04-13,2.1131637208018423
2018-04-20,2.307393736295121
2018-04-27,2.50969692434988
2018-05-04,2.280842322298766
2018-05-11,2.2405560936398636
2018-05-18,1.851528858674512
2018-05-25,1.979794079858524
2018-06-01,1.7039118537205025
2018-06-08,1.62023658109194
2018-06-15,1.5105508721284613
2018-06-22,1.533588993464564
2018-06-29,1.6350196180672452
2018-07-06,1.52924572244657
2018-07-13,1.669573552203073
2018-07-20,1.7843734362105048
2018-07-27,1.5428493293897176
2018-08-03,1.3033005596678722
2018-08-10,1.2931279748632325
2018-08-17,1.2783401273372204
2018-08-24,1.387308217868232
2018-08-31,1.0921834871939233
2018-09-07,1.164008438860407
2018-09-14,1.2295196121881375
2018-09-21,1.200231165800313
2018-09-28,1.1874798342544821
2018-10-05,1.1050220697503605
2018-10-12,1.1532256067550797
2018-10-19,1.1367883395382892
2018-10-26,1.1481914829731146
2018-11-02,1.1445004379892076
2018-11-09,0.991985351414501
2018-11-16,0.6983160649454013
2018-11-23,0.7040107047897463
2018-11-30,0.5897138593211159
2018-12-07,0.536602580852968
2018-12-14,0.6965379028657545
2018-12-21,0.6955107443750272
2018-12-28,0.745129202207806
2019-01-04,0.6162629793978361
2019-01-11,0.6294400988454565
2019-01-18,0.621794069968238
2019-01-25,0.6026074046387236
2019-02-01,0.659454358333945
2019-02-08,0.6723539139558153
2019-02-15,0.678892580855987
2019-02-22,0.684239371124622
2019-03-01,0.7055591396115163
2019-03-08,0.7189459089462905
2019-03-15,0.7159838287326324
2019-03-22,0.7385032447375203
2019-03-29,0.9238598764708015
2019-04-05,0.9074231540870267
2019-04-12,0.9249721111401196
2019-04-19,0.913305125915095
2019-04-26,0.979274765016339
2019-05-03,1.1669827507757247
2019-05-10,1.4308692358551842
2019-05-17,1.4961411628928816
2019-05-24,1.517196013341868
2019-05-31,1.31950593252667
2019-06-07,1.5430922119226254
2019-06-14,1.850218118730968
2019-06-21,1.8174130450659238
2019-06-28,1.9050667198346454
2019-07-05,1.6224658525948312
2019-07-12,1.6724927574784307
2019-07-19,1.5212677505976742
2019-07-26,1.7080670302830994
2019-08-02,1.7750440821987532
2019-08-09,1.5859994315180077
2019-08-16,1.5528989161160387
