date,cap_nav
2017-08-11,1.0
2017-08-18,1.071315505657688
2017-08-25,1.109413131264053
2017-09-01,1.0063093750239795
2017-09-08,0.8987299041658978
2017-09-15,0.9028368342509634
2017-09-22,1.0631152154128416
2017-09-29,1.1210153888736167
2017-10-06,1.3567728232116636
2017-10-13,1.384191132799496
2017-10-20,1.4355389843713737
2017-10-27,1.674654865605538
2017-11-03,1.361147596817129
2017-11-10,1.848249723019483
2017-11-17,2.129664509571409
2017-11-24,2.551310397815201
2017-12-01,3.3098399779756473
2017-12-08,4.274089360387827
2017-12-15,3.136238245630385
2017-12-22,3.2196983935484798
2017-12-29,3.922301476463869
2018-01-05,3.4805952129936064
2018-01-12,2.925658078743849
2018-01-19,3.101270153097461
2018-01-26,2.1168701257482656
2018-02-02,2.0843749368717623
2018-02-09,2.6176345086092754
2018-02-16,2.4175126753315097
2018-02-23,2.830038171170522
2018-03-02,2.3447467723592093
2018-03-09,1.9725656316080817
2018-03-16,2.0239958798601485
2018-03-23,1.6063524447645503
2018-03-30,1.6599754732408356
2018-04-06,2.0052366050460586
2018-04-13,2.139075883784216
2018-04-20,2.3057437685412556
2018-04-27,2.408049624008188
2018-05-04,2.1716723360747716
2018-05-11,2.13341298948871
2018-05-18,1.812854327721415
2018-05-25,1.9157462409757002
2018-06-01,1.6702155277423474
2018-06-08,1.5910642970967706
2018-06-15,1.5044863705601803
2018-06-22,1.5489502428571114
2018-06-29,1.6402926699833018
2018-07-06,1.546984414464047
2018-07-13,1.7671451462694656
2018-07-20,1.9411096950675446
2018-07-27,1.6655169116032544
2018-08-03,1.4707980183817473
2018-08-10,1.496551300549087
2018-08-17,1.5299839097219279
2018-08-24,1.665667770150102
2018-08-31,1.3969230962173536
2018-09-07,1.4620479887130868
2018-09-14,1.5165313124396251
2018-09-21,1.4937628432526415
2018-09-28,1.4879652132644967
2018-10-05,1.4159095152542764
2018-10-12,1.4732827553530863
2018-10-19,1.4512184286437788
2018-10-26,1.4539836484236124
2018-11-02,1.446720384635161
2018-11-09,1.2661507386090554
2018-11-16,0.9083570153623379
2018-11-23,0.9229083539672313
2018-11-30,0.7832840432034345
2018-12-07,0.7131834794320996
2018-12-14,0.8812149162283254
2018-12-21,0.8591194145616915
2018-12-28,0.9058290380505171
2019-01-04,0.7796550645688006
2019-01-11,0.7943022426459689
2019-01-18,0.7939522261914874
2019-01-25,0.7723233709221385
2019-02-01,0.8274073151337807
2019-02-08,0.8291948736172216
2019-02-15,0.8441301994503643
2019-02-22,0.8566941805054791
2019-03-01,0.8817555841167035
2019-03-08,0.8967817237987391
2019-03-15,0.897764572736792
2019-03-22,0.9236502700298667
2019-03-29,1.1616593880343813
2019-04-05,1.1500285986492493
2019-04-12,1.176633653081752
2019-04-19,1.1818507452164366
2019-04-26,1.2816600527753907
2019-05-03,1.541752345195329
2019-05-10,1.8231703885909485
2019-05-17,1.9224014801713842
2019-05-24,1.947805206731376
2019-05-31,1.700678738002354
2019-06-07,1.9944165530522118
2019-06-14,2.4204727547885994
2019-06-21,2.4016585660955303
2019-06-28,2.5223734106657045
2019-07-05,2.2266015572197912
2019-07-12,2.3125675267168115
2019-07-19,2.08805481172379
2019-07-26,2.3812799351628526
2019-08-02,2.5074127816362357
2019-08-09,2.2381365514013236
2019-08-16,2.200121613555455
2019-08-23,2.1053949134348486
2019-08-30,2.2469146967742213
2019-09-06,2.2344575279855223
2019-09-13,2.189004825168601
2019-09-20,1.7556479328671029
2019-09-27,1.716732076570419
2019-10-04,1.8096009368520525
2019-10-11,1.7959497421456803
2019-10-18,2.0715055136630585
2019-10-25,2.000797199327556
2019-11-01,1.9723358538336586
2019-11-08,1.8582397504048522
2019-11-15,1.5040327635373416
2019-11-22,1.610717896819305
2019-11-29,1.6353192250504445
2019-12-06,1.54999651501053
2019-12-13,1.6242099896479578
2019-12-20,1.6018628402889328
2019-12-27,1.5962535175619
2020-01-03,1.7734344960912964
2020-01-10,1.890971935591755
2020-01-17,1.8735170333174889
2020-01-24,2.0326955821695827
2020-01-31,2.2232847385901557
2020-02-07,2.190012339741382
2020-02-14,2.2019129980957306
2020-02-21,1.8816034626264502
2020-02-28,1.7687824192628787
2020-03-06,1.1757300922833163
2020-03-13,1.2694183815137765
2020-03-20,1.2840652179483434
2020-03-27,1.4783226664896196
2020-04-03,1.5135901454592477
2020-04-10,1.5695031230615135
2020-04-17,1.697119421094708
2020-04-24,1.9527746173111775
2020-05-01,1.9058728288229667
2020-05-08,2.114461677742253
2020-05-15,1.9116389627270869
2020-05-22,2.0788144113991502
2020-05-29,2.1474148126624684
2020-06-05,2.0568764264926487
2020-06-12,2.045142422346367
2020-06-19,2.00654367106938
2020-06-26,1.9981338359609162
2020-07-03,2.054298650737392
2020-07-10,2.0329683823108886
2020-07-17,2.2194317313677905
2020-07-24,2.487200871084679
2020-07-31,2.6228869367661125
2020-08-07,2.6925492583086306
2020-08-14,2.616211589029855
2020-08-21,2.6486908946555894
2020-08-28,2.3080330320457563
2020-09-04,2.3308501812254407
2020-09-11,2.4551406782517065
2020-09-18,2.4179525443165293
2020-09-25,2.3930145763636044
2020-10-02,2.5498758713110106
2020-10-09,2.579721306176145
2020-10-16,2.9105121747359615
2020-10-23,3.057942178060837
2020-10-30,3.4428995593176626
2020-11-06,3.539779878517318
2020-11-13,4.106704302280914
2020-11-20,4.0673298933731115
2020-11-27,4.323926411385739
2020-12-04,4.2801459683208805
2020-12-11,5.192813788826293
2020-12-18,5.803290962881567
2020-12-25,7.346670731646029
2021-01-01,8.555741770025696
2021-01-08,8.0627888328698
2021-01-15,7.4031759455681545
2021-01-22,7.535546128569733
2021-01-29,8.871077752977778
2021-02-05,10.997492338961916
2021-02-12,12.898172736953363
2021-02-19,10.089539320992799
2021-02-26,11.456771783537157
2021-03-05,13.178612587487496
2021-03-12,12.809960067613769
2021-03-19,12.4345453424349
2021-03-26,13.135001796629867
2021-04-02,13.547134020617493
2021-04-09,12.790181505392962
2021-04-16,11.362843802991415
2021-04-23,13.241261318402406
2021-04-30,14.080735653510894
2021-05-07,11.455847083032655
2021-05-14,8.25751581967811
2021-05-21,8.609117177868756
2021-05-28,8.80665972870696
2021-06-04,9.373192830904802
2021-06-11,8.528284046395529
2021-06-18,8.20898474110025
2021-06-25,8.503365056158552
2021-07-02,8.197610477348562
2021-07-09,7.5564787130504945
2021-07-16,8.455560213295751
2021-07-23,9.567944349499594
2021-07-30,10.619111148553436
2021-08-06,11.428905193169383
2021-08-13,11.864120210930679
2021-08-20,11.758894577706304
2021-08-27,12.748116605276342
2021-09-03,11.281264519729408
2021-09-10,11.495446586047125
2021-09-17,10.511719584495896
2021-09-24,11.739576311588166
2021-10-01,13.078594215555334
2021-10-08,14.724058983396228
2021-10-15,14.703173226557464
2021-10-22,14.90002603224693
2021-10-29,15.474832284636431
2021-11-05,15.948026597743723
2021-11-12,14.329493496055997
2021-11-19,14.068347760438222
2021-11-26,12.38297716107474
2021-12-03,12.485772920056895
2021-12-10,11.681213966234276
2021-12-17,12.601858361774951
2021-12-24,11.758155876962409
2021-12-31,10.289607991460286
2022-01-07,10.63905632520607
2022-01-14,8.811986254352213
2022-01-21,9.183643039844773
2022-01-28,10.34757385294211
2022-02-04,10.186372250634665
2022-02-11,9.298804992369249
2022-02-18,9.153384796170325
2022-02-25,9.269978263778455
2022-03-04,9.118321473808527
2022-03-11,10.017110774385918
2022-03-18,11.39278129283889
2022-03-25,11.420297823800265
2022-04-01,10.376595363999218
2022-04-08,9.752564215862776
2022-04-15,9.6712151998855
2022-04-22,9.418611162420929
2022-04-29,8.344228047149254
2022-05-06,7.591816967766602
2022-05-13,7.325177254237016
2022-05-20,7.037287037125012
2022-05-27,7.127172050569349
2022-06-03,6.244445506102848
2022-06-10,4.843417441805933
2022-06-17,4.974889580966655
2022-06-24,4.554705765391139
2022-07-01,4.923506754536118
2022-07-08,4.99654968562206
2022-07-15,5.497792258162448
2022-07-22,5.686733516471133
2022-07-29,5.673241983031351
2022-08-05,6.02727394934494
2022-08-12,5.287270476607669
2022-08-19,4.783313810198313
2022-08-26,4.953003018951481
2022-09-02,5.426958161853687
2022-09-09,4.707569065970096
2022-09-16,4.560958228304291
2022-09-23,4.603648196689529
2022-09-30,4.706536951968869
2022-10-07,4.66127755038823
2022-10-14,4.754645599869693
2022-10-21,5.0888588469076526
2022-10-28,5.135351324929286
2022-11-04,4.009550700903651
2022-11-11,3.9590293319688756
2022-11-18,4.016079911101096
2022-11-25,4.199991039936636
2022-12-02,4.187384207982967
2022-12-09,4.074824093224152
2022-12-16,4.112301221019695
2022-12-23,4.0583772670204885
2022-12-30,4.210038698958363
2023-01-06,5.120276223704727
2023-01-13,5.539492759740909
2023-01-20,5.762990926988778
2023-01-27,5.58700750986071
2023-02-03,5.290482167464351
2023-02-10,5.890671319162632
2023-02-17,5.722374231512028
2023-02-24,5.449967853754812
2023-03-03,5.368046356209088
2023-03-10,6.710176074278504
2023-03-17,6.705725680169085
2023-03-24,6.758502112709441
2023-03-31,6.822709383881712
2023-04-07,7.365693590681721
2023-04-14,6.672077891685998
2023-04-21,7.017165704449241
2023-04-28,6.850608244633969
2023-05-05,6.5005212825604985
2023-05-12,6.468156571865036
2023-05-19,6.7942186486883
2023-05-26,6.587603628098305
2023-06-02,6.271015654726377
2023-06-09,6.340905529354867
2023-06-16,7.286948205836708
2023-06-23,7.3386167526589015
2023-06-30,7.20600369277591
2023-07-07,7.25089005180488
2023-07-14,7.203182845932396
2023-07-21,7.022894123406252
2023-07-28,6.966912555382426
2023-08-04,7.016932395636387
2023-08-11,6.291655049842804
2023-08-18,6.259689590471717
2023-08-25,6.221177309904533
2023-09-01,6.184929135559897
2023-09-08,6.329879739967163
2023-09-15,6.2507450689099215
2023-09-22,6.690476936486782
2023-09-29,6.62358529052743
2023-10-06,6.427132527633431
2023-10-13,7.0700683557634365
2023-10-20,8.077830006148318
2023-10-27,8.227707555934762
2023-11-03,8.73133269063634
2023-11-10,8.775873874224306
2023-11-17,8.819854898002324
2023-11-24,9.410242452558105
2023-12-01,10.283540031528142
2023-12-08,9.70317073436136
2023-12-15,10.073066672349132
2023-12-22,9.935152669998443
2023-12-29,10.2460557198876
2024-01-05,9.917624374704868
2024-01-12,9.87804116449155
2024-01-19,9.87006497700261
2024-01-26,10.0013013205474
2024-02-02,11.298398892387986
2024-02-09,12.284784594608663
2024-02-16,12.317309642694937
2024-02-23,14.87106542263659
2024-03-01,16.281959210191886
2024-03-08,16.04661971097045
2024-03-15,15.704687994335668
2024-03-22,16.64611839563894
2024-03-29,16.15068612067247
2024-04-05,15.231180753211271
2024-04-12,15.077800777538526
2024-04-19,14.758206683273222
2024-04-26,14.879209344975413
2024-05-03,14.24935110559921
2024-05-10,15.315684002507258
2024-05-17,16.16253586574374
2024-05-24,15.985384592547849
2024-05-31,16.338367129700117
2024-06-07,15.679976033207527
2024-06-14,14.857061807390291
2024-06-21,14.774890355341988
2024-06-28,13.082300060083758
2024-07-05,14.267139190217879
2024-07-12,15.944068777046388
2024-07-19,15.826790755054386
2024-07-26,13.437597170377364
2024-08-02,13.484351239626161
2024-08-09,13.453940275429257
2024-08-16,14.724387512171738
2024-08-23,13.125722752289523
2024-08-30,12.555740248744888
2024-09-06,13.450021717129328
2024-09-13,14.507499791371162
2024-09-20,14.966370458973747
2024-09-27,14.278454865853544
2024-10-04,14.303508642018441
2024-10-11,15.723687014444318
2024-10-18,15.392657430115122
2024-10-25,15.523835900344395
2024-11-01,18.29865304259916
2024-11-08,20.213423099850203
2024-11-15,22.027948483965925
2024-11-22,22.055296601910708
2024-11-29,23.02039375330962
2024-12-06,23.693861466407423
2024-12-13,21.42434008940015
2024-12-20,21.1616124232793
2024-12-27,22.263587867778256
2025-01-03,21.28386212999318
2025-01-10,22.66617710549066
2025-01-17,22.94251083858074
2025-01-24,21.737183719152576
2025-01-31,21.357198003997322
2025-02-07,21.303023318507286
2025-02-14,21.4123603168437
2025-02-21,20.846678657841675
2025-02-28,17.784368719338968
2025-03-07,18.09867837695897
2025-03-14,18.88725222665654
2025-03-21,18.020159594520738
2025-03-28,17.082966224808995
2025-04-04,18.19802642291223
2025-04-11,18.48736516960998
2025-04-18,20.369852574994354
2025-04-25,20.48843837907101
2025-05-02,22.889193801974802
2025-05-09,23.365651626120258
2025-05-16,23.922094057113995
2025-05-23,23.21824911607488
2025-05-30,23.2222487271759
2025-06-06,23.212355539997162
2025-06-13,22.088902177422334
2025-06-20,23.761792010364495
2025-06-27,23.973243862902123
2025-07-04,26.228562297168754
2025-07-11,26.2485191380235
2025-07-18,26.753469883668316
2025-07-25,25.48218879990484
2025-08-01,26.92024809977774
2025-08-08,26.640622313149063
2025-08-15,25.984830206635685
2025-08-22,24.698568983187204
2025-08-29,25.25525171920536
2025-09-05,26.264058542548007
2025-09-12,26.175714659724942
2025-09-19,25.385145072663157
2025-09-26,27.92348996067272
2025-10-03,25.970457212568512
2025-10-10,24.573238655654926
2025-10-17,25.890677406804066
2025-10-24,24.928660029744943
2025-10-31,23.557052662604264
2025-11-07,21.137721051663245
2025-11-14,19.446342077801017
2025-11-21,20.27505779312661
2025-11-28,20.317185268514528
2025-12-05,19.857543336001484
2025-12-12,19.927383071998864
2025-12-19,19.754866407409924
2025-12-26,20.595722202655637
2026-01-02,20.477810290883575
2026-01-09,21.11135096737185
2026-01-16,19.42067591667243
2026-01-23,17.129265030540125
2026-01-30,15.659814682041489
2026-02-06,15.286409274222967
2026-02-13,15.035107463303603
2026-02-20,14.6383704419908
2026-02-27,14.67746962095702
2026-03-06,16.220566809224824
2026-03-13,15.128602056656927
2026-03-20,14.709835382735788
2026-03-27,15.401105864349821
2026-04-03,15.796751420760165
2026-04-10,16.46846881845585
2026-04-17,17.530321632252207
2026-04-24,17.488112734876616
2026-05-01,18.26870495757992
2026-05-08,17.160275647657375
2026-05-15,17.062951129707773
2026-05-22,16.312014542212925
2026-05-29,14.00450770353491
2026-06-05,14.523524935640832
2026-06-12,14.008687215533637
2026-06-19,13.164877004148723
2026-06-26,14.118785255984982
2026-07-03,14.156501469196401
2026-07-10,14.385354419049563
2026-07-17,14.567833292840449
2026-07-24,14.424039514377053
2026-07-31,14.442014293595268
2026-08-07,14.222161141521505
