,cap_monthly
2017-01-06,1.0
2017-01-13,0.9195798975499098
2017-01-20,0.9986958893907283
2017-01-27,1.0209369866764166
2017-02-03,1.1326420516342763
2017-02-10,1.0971893610818981
2017-02-17,1.17253084816469
2017-02-24,1.2984142839234516
2017-03-03,1.4937943088657302
2017-03-10,1.3363630777333284
2017-03-17,1.6226597668987544
2017-03-24,1.455605465003277
2017-03-31,1.6174436482890695
2017-04-07,1.7102239581206489
2017-04-14,1.7337695705284266
2017-04-21,1.805592931286938
2017-04-28,2.0537563565179995
2017-05-05,2.4802218783411005
2017-05-12,2.682427853687208
2017-05-19,3.224062558838902
2017-05-26,3.6392960135051067
2017-06-02,4.265881074796704
2017-06-09,4.925082989354801
2017-06-16,4.724040447300164
2017-06-23,5.023018691779361
2017-06-30,4.507119919977762
2017-07-07,4.445727662881998
2017-07-14,3.8889324189310495
2017-07-21,4.582709714524215
2017-07-28,4.702443399284011
2017-08-04,4.940922204759037
2017-08-11,6.9166523537004
2017-08-18,7.415667903397245
2017-08-25,7.682010074734244
2017-09-01,6.966730027589667
2017-09-08,6.2205007237245225
2017-09-15,6.2581164488104974
2017-09-22,7.368441273307025
2017-09-29,7.765918872460761
2017-10-06,9.37834630161246
2017-10-13,9.514431537940393
2017-10-20,9.86796259586128
2017-10-27,11.39894363756009
2017-11-03,9.457368502592685
2017-11-10,12.61687934624492
2017-11-17,14.663673688860381
2017-11-24,17.43375215892839
2017-12-01,21.979719747908657
2017-12-08,30.39942550598549
2017-12-15,22.968744518446325
2017-12-22,24.402599964251884
2017-12-29,31.251859532970627
2018-01-05,28.215628290820458
2018-01-12,23.58201823380956
2018-01-19,24.814037711385218
2018-01-26,16.88037203623916
2018-02-02,16.669087901404964
2018-02-09,21.014048233562715
2018-02-16,19.363090474397186
2018-02-23,22.6585858711582
2018-03-02,18.73713163294596
2018-03-09,15.98102382316075
2018-03-16,16.711063883847338
2018-03-23,13.275004521462055
2018-03-30,13.772410493674672
2018-04-06,16.616019814432526
2018-04-13,17.70441057183797
2018-04-20,19.169656951940315
2018-04-27,19.93360214059254
2018-05-04,18.030747821332543
2018-05-11,17.774975077966634
2018-05-18,15.152133821979039
